Var1	Var2
IM4ACte	Transport, extracellular
EX_im4ac[e]	Exchange/demand reaction
EX_mlthf[e]	Exchange/demand reaction
SPHGNte	Transport, extracellular
EX_sphgn[e]	Exchange/demand reaction
SELMETHt2e	Transport, extracellular
EX_N1aspmd[e]	Exchange/demand reaction
C13856te	Transport, extracellular
EX_1a25dhvitd3[e]	Exchange/demand reaction
CE2049te	Transport, extracellular
EX_CE2049[e]	Exchange/demand reaction
CE2047te	Transport, extracellular
EX_CE2047[e]	Exchange/demand reaction
FDPte	Transport, extracellular
EX_fdp[e]	Exchange/demand reaction
UDPG4DOPA	Tyrosine metabolism
UDPG3DOPA	Tyrosine metabolism
DOPA4GLCURt	Transport, extracellular
EX_dopa4glcur[e]	Exchange/demand reaction
DOPA3GLCURt	Transport, extracellular
EX_dopa3glcur[e]	Exchange/demand reaction
CE5026t	Transport, extracellular
GGTe_1	Tyrosine metabolism
CE1261t	Transport, extracellular
DOPACCL	Tyrosine metabolism
NADPQNOXR	Tyrosine metabolism
NADQNOXR	Tyrosine metabolism
DACT	Tyrosine metabolism
DACGST	Tyrosine metabolism
CE5025t	Transport, extracellular
EX_CE5025[e]	Exchange/demand reaction
CE2172t	Transport, extracellular
EX_CE2172[e]	Exchange/demand reaction
CE5629t	Transport, extracellular
EX_CE5629[e]	Exchange/demand reaction
ACER22g	Sphingolipid metabolism
BGAL1e	Sphingolipid metabolism
BGAL1l	Sphingolipid metabolism
BGAL2l	Sphingolipid metabolism
BGAL3l	Sphingolipid metabolism
CRMte	Sphingolipid metabolism
EX_gd3_hs[e]	Exchange/demand reaction
EX_gluside_hs[e]	Exchange/demand reaction
EX_gm3_hs[e]	Exchange/demand reaction
GA1tl	Transport, extracellular
GBA2e	Sphingolipid metabolism
GD3tg	Transport, extracellular
GM1tg	Transport, extracellular
GM1tl	Transport, extracellular
HEXA2l	Sphingolipid metabolism
HEXA3e	Sphingolipid metabolism
HEXAHBl	Sphingolipid metabolism
NEU11l	Sphingolipid metabolism
NEU22	Sphingolipid metabolism
NEU23	Sphingolipid metabolism
NEU24	Sphingolipid metabolism
SMS1S2	Sphingolipid metabolism
SMS21e	Sphingolipid metabolism
SMSn	Sphingolipid metabolism
SPMD3n	Sphingolipid metabolism
RE3477C1	Eicosanoid metabolism
NH4tr	Transport, endoplasmic reticular
UDPGALt2r	Transport, endoplasmic reticular
TETTET6COAtm	Transport, mitochondrial
TETPENT6COAtm	Transport, mitochondrial
TETPENT3COAtm	Transport, mitochondrial
PCHOL_HStn	Transport, nuclear
CHOLPtn	Transport, nuclear
DAG_HStg	Transport, golgi apparatus
SPHGNtg	Transport, golgi apparatus
DHCRMtg	Transport, golgi apparatus
sink_34dhpac[c]	Exchange/demand reaction
GALSIDEter	Transport, endoplasmic reticular
Rtotaltg	Transport, golgi apparatus
GD1Atg	Transport, golgi apparatus
ATPtg	Transport, golgi apparatus
GD1Btl	Transport, lysosomal
GD3tlc	Transport, lysosomal
S2L2N2M2Mtl	Miscellaneous
DM_na1[g]	Exchange/demand reaction
DM_retn[n]	Exchange/demand reaction
sink_Ser_Gly_Ala_X_Gly[r]	Exchange/demand reaction
EX_CE1243[e]	Miscellaneous
EX_CE5026[e]	Miscellaneous
EX_5cysgly34dhphe[e]	Miscellaneous
EX_CE1261[e]	Miscellaneous
EX_galgluside_hs[e]	Miscellaneous
EX_ga1_hs[e]	Miscellaneous
EX_gm1_hs[e]	Miscellaneous
EX_gm2_hs[e]	Miscellaneous
HMR_0003	Glycerophospholipid metabolism
HMR_0008	Transport, extracellular
HMR_0019	Transport, extracellular
HMR_0020	Transport, endoplasmic reticular
HMR_0155	Transport, extracellular
HMR_0164	Transport, extracellular
HMR_0165	Fatty acid synthesis
HMR_0166	Transport, mitochondrial
HMR_0167	Transport, extracellular
HMR_0170	Transport, extracellular
HMR_0171	Fatty acid synthesis
HMR_0172	Transport, mitochondrial
HMR_0176	Transport, extracellular
HMR_0182	Transport, mitochondrial
HMR_0183	Transport, extracellular
HMR_0184	Fatty acid synthesis
HMR_0185	Transport, mitochondrial
HMR_0188	Fatty acid synthesis
HMR_0189	Fatty acid oxidation
HMR_0191	Transport, extracellular
HMR_0192	Fatty acid synthesis
HMR_0193	Fatty acid oxidation
HMR_0194	Transport, extracellular
HMR_0197	Fatty acid oxidation
HMR_0200	Fatty acid synthesis
HMR_0201	Fatty acid oxidation
HMR_0203	Transport, extracellular
HMR_0204	Fatty acid synthesis
HMR_0206	Fatty acid oxidation
HMR_0207	Transport, extracellular
HMR_0208	Transport, extracellular
HMR_0209	Fatty acid synthesis
HMR_0210	Fatty acid oxidation
HMR_0211	Transport, extracellular
HMR_0214	Fatty acid oxidation
HMR_0215	Transport, extracellular
HMR_0230	Fatty acid oxidation
HMR_0232	Transport, extracellular
HMR_0233	Fatty acid synthesis
HMR_0234	Fatty acid oxidation
HMR_0235	Transport, extracellular
HMR_0238	Fatty acid oxidation
HMR_0239	Transport, extracellular
HMR_0240	Transport, extracellular
HMR_0241	Fatty acid synthesis
HMR_0242	Fatty acid oxidation
HMR_0243	Transport, extracellular
HMR_0244	Transport, extracellular
HMR_0245	Fatty acid synthesis
HMR_0246	Fatty acid oxidation
HMR_0247	Transport, extracellular
HMR_0253	Transport, extracellular
HMR_0254	Transport, extracellular
HMR_0255	Fatty acid synthesis
HMR_0256	Fatty acid oxidation
HMR_0257	Transport, extracellular
HMR_0259	Fatty acid synthesis
HMR_0260	Fatty acid oxidation
HMR_0261	Transport, extracellular
HMR_0267	Fatty acid synthesis
HMR_0268	Fatty acid oxidation
HMR_0270	Transport, extracellular
HMR_0271	Fatty acid synthesis
HMR_0272	Fatty acid oxidation
HMR_0273	Transport, extracellular
HMR_0276	Fatty acid oxidation
HMR_0277	Transport, extracellular
HMR_0278	Transport, extracellular
HMR_0279	Fatty acid synthesis
HMR_0280	Fatty acid oxidation
HMR_0281	Transport, extracellular
HMR_0287	Transport, extracellular
HMR_0288	Transport, extracellular
HMR_0289	Fatty acid synthesis
HMR_0290	Fatty acid oxidation
HMR_0291	Transport, extracellular
HMR_0292	Transport, extracellular
HMR_0293	Fatty acid synthesis
HMR_0296	Transport, extracellular
HMR_0297	Fatty acid synthesis
HMR_0298	Fatty acid oxidation
HMR_0299	Transport, extracellular
HMR_0300	Transport, extracellular
HMR_0301	Fatty acid synthesis
HMR_0302	Fatty acid oxidation
HMR_0303	Transport, extracellular
HMR_0304	Transport, extracellular
HMR_0305	Fatty acid synthesis
HMR_0306	Fatty acid oxidation
HMR_0307	Transport, extracellular
HMR_0308	Transport, extracellular
HMR_0309	Fatty acid synthesis
HMR_0310	Fatty acid oxidation
HMR_0311	Transport, extracellular
HMR_0317	Transport, extracellular
HMR_0319	Fatty acid synthesis
HMR_0321	Transport, extracellular
HMR_0322	Transport, extracellular
HMR_0323	Fatty acid synthesis
HMR_0324	Fatty acid oxidation
HMR_0325	Transport, extracellular
HMR_0326	Transport, extracellular
HMR_0327	Fatty acid synthesis
HMR_0328	Fatty acid oxidation
HMR_0329	Transport, extracellular
HMR_0342	Fatty acid oxidation
HMR_0343	Transport, extracellular
HMR_0344	Transport, extracellular
HMR_0345	Fatty acid synthesis
HMR_0346	Fatty acid oxidation
HMR_0347	Transport, extracellular
HMR_0350	Fatty acid oxidation
HMR_0354	Fatty acid oxidation
HMR_0358	Fatty acid oxidation
HMR_0359	Transport, extracellular
HMR_0362	Fatty acid oxidation
HMR_0363	Transport, extracellular
HMR_0366	Fatty acid oxidation
HMR_0367	Transport, extracellular
HMR_0370	Fatty acid oxidation
HMR_0371	Transport, extracellular
HMR_0374	Fatty acid oxidation
HMR_0375	Transport, extracellular
HMR_0378	Fatty acid oxidation
HMR_0380	Transport, extracellular
HMR_0381	Fatty acid synthesis
HMR_0382	Fatty acid oxidation
HMR_0383	Transport, extracellular
HMR_0384	Transport, extracellular
HMR_0385	Fatty acid synthesis
HMR_0386	Fatty acid oxidation
HMR_0387	Transport, extracellular
HMR_0388	Transport, extracellular
HMR_0389	Fatty acid synthesis
HMR_0390	Fatty acid oxidation
HMR_0391	Transport, extracellular
HMR_0392	Transport, extracellular
HMR_0393	Fatty acid synthesis
HMR_0394	Fatty acid oxidation
HMR_0395	Transport, extracellular
HMR_0398	Fatty acid oxidation
HMR_0402	Fatty acid oxidation
HMR_0406	Fatty acid oxidation
HMR_0410	Fatty acid oxidation
HMR_0414	Fatty acid oxidation
HMR_0415	Transport, extracellular
HMR_0418	Fatty acid oxidation
HMR_0419	Transport, extracellular
HMR_0422	Fatty acid oxidation
HMR_0423	Transport, extracellular
HMR_0426	Fatty acid oxidation
HMR_0427	Transport, extracellular
HMR_0428	Transport, extracellular
HMR_0429	Fatty acid synthesis
HMR_0430	Fatty acid oxidation
HMR_0431	Transport, extracellular
HMR_0432	Transport, extracellular
HMR_0433	Fatty acid synthesis
HMR_0434	Fatty acid oxidation
HMR_0435	Transport, extracellular
HMR_0436	Transport, extracellular
HMR_0437	Fatty acid synthesis
HMR_0438	Fatty acid oxidation
HMR_0439	Transport, extracellular
HMR_0467	Transport, endoplasmic reticular
HMR_0482	Glycerophospholipid metabolism
HMR_0582	Glycerophospholipid metabolism
HMR_0593	Glycerophospholipid metabolism
HMR_0597	Glycerophospholipid metabolism
HMR_0598	Glycerophospholipid metabolism
HMR_0601	Glycerophospholipid metabolism
HMR_0614	Glycerophospholipid metabolism
HMR_0625	Glycerophospholipid metabolism
HMR_0629	Glycerophospholipid metabolism
HMR_0642	Glycerophospholipid metabolism
HMR_0653	Glycerophospholipid metabolism
HMR_0654	Glycerophospholipid metabolism
HMR_0657	Glycerophospholipid metabolism
HMR_0672	Glycerophospholipid metabolism
HMR_0678	Glycerophospholipid metabolism
HMR_0750	Sphingolipid metabolism
HMR_0753	Sphingolipid metabolism
HMR_0758	Sphingolipid metabolism
HMR_0761	Sphingolipid metabolism
HMR_0765	Sphingolipid metabolism
HMR_0767	Sphingolipid metabolism
HMR_0770	Transport, extracellular
HMR_0775	Sphingolipid metabolism
HMR_0793	Glycosphingolipid metabolism
HMR_0809	Glycosphingolipid metabolism
HMR_0812	Glycosphingolipid metabolism
HMR_0814	Glycosphingolipid metabolism
HMR_0815	Glycosphingolipid metabolism
HMR_0817	Glycosphingolipid metabolism
HMR_0819	Glycosphingolipid metabolism
HMR_0821	Glycosphingolipid metabolism
HMR_0822	Glycosphingolipid metabolism
HMR_0824	Glycosphingolipid metabolism
HMR_0827	Glycosphingolipid metabolism
HMR_0828	Glycosphingolipid metabolism
HMR_0830	Glycosphingolipid metabolism
HMR_0831	Transport, lysosomal
HMR_0835	Glycosphingolipid metabolism
HMR_0836	Glycosphingolipid metabolism
HMR_0837	Glycosphingolipid metabolism
HMR_0839	Glycosphingolipid metabolism
HMR_0841	Glycosphingolipid metabolism
HMR_0842	Glycosphingolipid metabolism
HMR_0843	Glycosphingolipid metabolism
HMR_0844	Glycosphingolipid metabolism
HMR_0846	Glycosphingolipid metabolism
HMR_0851	Glycosphingolipid metabolism
HMR_0852	Glycosphingolipid metabolism
HMR_0853	Glycosphingolipid metabolism
HMR_0854	Glycosphingolipid metabolism
HMR_0855	Glycosphingolipid metabolism
HMR_0859	Glycosphingolipid metabolism
HMR_0875	Glycosphingolipid metabolism
HMR_0876	Glycosphingolipid metabolism
HMR_0877	Glycosphingolipid metabolism
HMR_0889	Glycosphingolipid metabolism
HMR_0890	Glycosphingolipid metabolism
HMR_0906	Glycosphingolipid metabolism
HMR_0907	Glycosphingolipid metabolism
HMR_0908	Glycosphingolipid metabolism
HMR_0909	Glycosphingolipid metabolism
HMR_0910	Glycosphingolipid metabolism
HMR_0942	Arachidonic acid metabolism
HMR_0946	Arachidonic acid metabolism
HMR_0950	Arachidonic acid metabolism
HMR_0954	Arachidonic acid metabolism
HMR_0960	Arachidonic acid metabolism
HMR_0962	Transport, mitochondrial
HMR_0963	Arachidonic acid metabolism
HMR_0979	Arachidonic acid metabolism
HMR_0981	Arachidonic acid metabolism
HMR_1085	Leukotriene metabolism
HMR_1095	Transport, nuclear
HMR_1102	Leukotriene metabolism
HMR_1104	Transport, peroxisomal
HMR_1126	Leukotriene metabolism
HMR_1127	Leukotriene metabolism
HMR_1129	Leukotriene metabolism
HMR_1243	Transport, mitochondrial
HMR_1280	Leukotriene metabolism
HMR_1283	Transport, peroxisomal
HMR_1284	Transport, mitochondrial
HMR_1305	Eicosanoid metabolism
HMR_1307	Eicosanoid metabolism
HMR_1311	Transport, endoplasmic reticular
HMR_1315	Eicosanoid metabolism
HMR_1316	Transport, endoplasmic reticular
HMR_1317	Eicosanoid metabolism
HMR_1321	Eicosanoid metabolism
HMR_1325	Eicosanoid metabolism
HMR_1329	Eicosanoid metabolism
HMR_1331	Transport, endoplasmic reticular
HMR_1332	Eicosanoid metabolism
HMR_1373	Eicosanoid metabolism
HMR_1390	Eicosanoid metabolism
HMR_1392	Transport, endoplasmic reticular
HMR_1465	Cholesterol metabolism
HMR_1470	Cholesterol metabolism
HMR_1473	Cholesterol metabolism
HMR_1490	Cholesterol metabolism
HMR_1493	Cholesterol metabolism
HMR_1494	Cholesterol metabolism
HMR_1495	Cholesterol metabolism
HMR_1496	Cholesterol metabolism
HMR_1502	Cholesterol metabolism
HMR_1503	Cholesterol metabolism
HMR_1504	Cholesterol metabolism
HMR_1505	Cholesterol metabolism
HMR_1509	Cholesterol metabolism
HMR_1512	Cholesterol metabolism
HMR_1516	Cholesterol metabolism
HMR_1526	Cholesterol metabolism
HMR_1532	N-glycan metabolism
HMR_1536	Cholesterol metabolism
HMR_1538	Cholesterol metabolism
HMR_1539	Cholesterol metabolism
HMR_1540	Cholesterol metabolism
HMR_1543	Cholesterol metabolism
HMR_1544	Cholesterol metabolism
HMR_1545	Cholesterol metabolism
HMR_1546	Cholesterol metabolism
HMR_1547	Cholesterol metabolism
HMR_1548	Cholesterol metabolism
HMR_1549	Cholesterol metabolism
HMR_1550	Cholesterol metabolism
HMR_1551	Cholesterol metabolism
HMR_1552	Cholesterol metabolism
HMR_1565	Cholesterol metabolism
HMR_1620	Transport, mitochondrial
HMR_1623	Transport, peroxisomal
HMR_1627	Bile acid synthesis
HMR_1629	Transport, peroxisomal
HMR_1630	Transport, mitochondrial
HMR_1637	Bile acid synthesis
HMR_1651	Steroid metabolism
HMR_1653	Bile acid synthesis
HMR_1665	Transport, peroxisomal
HMR_1666	Transport, mitochondrial
HMR_1681	Bile acid synthesis
HMR_1685	Bile acid synthesis
HMR_1706	Bile acid synthesis
HMR_1738	Bile acid synthesis
HMR_1739	Bile acid synthesis
HMR_1740	Bile acid synthesis
HMR_1741	Bile acid synthesis
HMR_1742	Bile acid synthesis
HMR_1743	Bile acid synthesis
HMR_1744	Transport, mitochondrial
HMR_1745	Transport, mitochondrial
HMR_1746	Bile acid synthesis
HMR_1747	Bile acid synthesis
HMR_1748	Bile acid synthesis
HMR_1749	Bile acid synthesis
HMR_1750	Bile acid synthesis
HMR_1751	Bile acid synthesis
HMR_1752	Transport, mitochondrial
HMR_1753	Transport, mitochondrial
HMR_1754	Bile acid synthesis
HMR_1756	Bile acid synthesis
HMR_1758	Transport, peroxisomal
HMR_1759	Transport, peroxisomal
HMR_1760	Bile acid synthesis
HMR_1761	Bile acid synthesis
HMR_1762	Bile acid synthesis
HMR_1764	Transport, mitochondrial
HMR_1765	Bile acid synthesis
HMR_1807	Bile acid synthesis
HMR_1834	Bile acid synthesis
HMR_1916	Transport, golgi apparatus
HMR_2014	Androgen and estrogen synthesis and metabolism
HMR_2016	Androgen and estrogen synthesis and metabolism
HMR_2018	Androgen and estrogen synthesis and metabolism
HMR_2029	Androgen and estrogen synthesis and metabolism
HMR_2041	Steroid metabolism
HMR_2087	Transport, lysosomal
HMR_2088	Androgen and estrogen synthesis and metabolism
HMR_2089	Androgen and estrogen synthesis and metabolism
HMR_2090	Transport, lysosomal
HMR_2215	Fatty acid synthesis
HMR_2217	Fatty acid synthesis
HMR_2218	Fatty acid synthesis
HMR_2219	Fatty acid synthesis
HMR_2259	Fatty acid synthesis
HMR_2260	Fatty acid synthesis
HMR_2261	Fatty acid synthesis
HMR_2262	Fatty acid synthesis
HMR_2263	Fatty acid synthesis
HMR_2264	Fatty acid synthesis
HMR_2265	Fatty acid synthesis
HMR_2266	Fatty acid synthesis
HMR_2267	Fatty acid synthesis
HMR_2268	Fatty acid synthesis
HMR_2269	Fatty acid synthesis
HMR_2270	Fatty acid synthesis
HMR_2281	Fatty acid synthesis
HMR_2282	Fatty acid synthesis
HMR_2284	Fatty acid synthesis
HMR_2286	Fatty acid synthesis
HMR_2287	Fatty acid synthesis
HMR_2288	Fatty acid synthesis
HMR_2289	Fatty acid synthesis
HMR_2292	Fatty acid synthesis
HMR_2293	Fatty acid synthesis
HMR_2294	Fatty acid synthesis
HMR_2295	Fatty acid synthesis
HMR_2296	Fatty acid synthesis
HMR_2332	Fatty acid synthesis
HMR_2334	Fatty acid synthesis
HMR_2336	Fatty acid synthesis
HMR_2338	Fatty acid synthesis
HMR_2342	Fatty acid synthesis
HMR_2343	Fatty acid synthesis
HMR_2344	Fatty acid synthesis
HMR_2345	Fatty acid synthesis
HMR_2347	Fatty acid synthesis
HMR_2348	Fatty acid synthesis
HMR_2349	Fatty acid synthesis
HMR_2350	Fatty acid synthesis
HMR_2353	Fatty acid synthesis
HMR_2354	Fatty acid synthesis
HMR_2355	Fatty acid synthesis
HMR_2356	Fatty acid synthesis
HMR_2359	Fatty acid synthesis
HMR_2361	Fatty acid synthesis
HMR_2362	Fatty acid synthesis
HMR_2363	Fatty acid synthesis
HMR_2364	Fatty acid synthesis
HMR_2365	Fatty acid synthesis
HMR_2368	Fatty acid synthesis
HMR_2374	Fatty acid synthesis
HMR_2376	Fatty acid synthesis
HMR_2380	Fatty acid synthesis
HMR_2391	Fatty acid synthesis
HMR_2433	Fatty acid synthesis
HMR_2434	Fatty acid synthesis
HMR_2435	Fatty acid synthesis
HMR_2436	Fatty acid synthesis
HMR_2457	Linoleate metabolism
HMR_2472	Fatty acid synthesis
HMR_2484	Fatty acid synthesis
HMR_2530	Fatty acid synthesis
HMR_2533	Fatty acid synthesis
HMR_2535	Fatty acid synthesis
HMR_2537	Fatty acid synthesis
HMR_2540	Fatty acid synthesis
HMR_2541	Fatty acid synthesis
HMR_2542	Fatty acid synthesis
HMR_2543	Fatty acid synthesis
HMR_2558	Fatty acid synthesis
HMR_2560	Fatty acid synthesis
HMR_2569	Transport, endoplasmic reticular
HMR_2571	Fatty acid synthesis
HMR_2581	Fatty acid synthesis
HMR_2585	Transport, nuclear
HMR_2602	Fatty acid oxidation
HMR_2603	Transport, mitochondrial
HMR_2604	Transport, mitochondrial
HMR_2608	Fatty acid oxidation
HMR_2609	Transport, mitochondrial
HMR_2610	Transport, mitochondrial
HMR_2611	Fatty acid oxidation
HMR_2612	Transport, mitochondrial
HMR_2613	Transport, mitochondrial
HMR_2620	Fatty acid oxidation
HMR_2621	Transport, mitochondrial
HMR_2622	Transport, mitochondrial
HMR_2624	Transport, mitochondrial
HMR_2633	Fatty acid oxidation
HMR_2634	Transport, mitochondrial
HMR_2635	Transport, mitochondrial
HMR_2644	Transport, mitochondrial
HMR_2648	Fatty acid oxidation
HMR_2649	Transport, mitochondrial
HMR_2650	Transport, mitochondrial
HMR_2651	Fatty acid oxidation
HMR_2652	Transport, mitochondrial
HMR_2653	Transport, mitochondrial
HMR_2655	Transport, mitochondrial
HMR_2657	Fatty acid oxidation
HMR_2659	Transport, mitochondrial
HMR_2660	Fatty acid oxidation
HMR_2661	Transport, mitochondrial
HMR_2662	Transport, mitochondrial
HMR_2666	Fatty acid oxidation
HMR_2667	Transport, mitochondrial
HMR_2668	Transport, mitochondrial
HMR_2669	Fatty acid oxidation
HMR_2670	Transport, mitochondrial
HMR_2671	Transport, mitochondrial
HMR_2673	Transport, mitochondrial
HMR_2675	Fatty acid oxidation
HMR_2676	Transport, mitochondrial
HMR_2677	Transport, mitochondrial
HMR_2679	Transport, mitochondrial
HMR_2681	Fatty acid oxidation
HMR_2682	Transport, mitochondrial
HMR_2683	Transport, mitochondrial
HMR_2684	Fatty acid oxidation
HMR_2685	Transport, mitochondrial
HMR_2686	Transport, mitochondrial
HMR_2687	Fatty acid oxidation
HMR_2688	Transport, mitochondrial
HMR_2689	Transport, mitochondrial
HMR_2690	Fatty acid oxidation
HMR_2691	Transport, mitochondrial
HMR_2692	Transport, mitochondrial
HMR_2693	Fatty acid oxidation
HMR_2695	Transport, mitochondrial
HMR_2697	Transport, mitochondrial
HMR_2699	Fatty acid oxidation
HMR_2700	Transport, mitochondrial
HMR_2701	Transport, mitochondrial
HMR_2702	Fatty acid oxidation
HMR_2703	Transport, mitochondrial
HMR_2704	Transport, mitochondrial
HMR_2705	Fatty acid oxidation
HMR_2706	Transport, mitochondrial
HMR_2707	Transport, mitochondrial
HMR_2708	Fatty acid oxidation
HMR_2709	Transport, mitochondrial
HMR_2710	Transport, mitochondrial
HMR_2711	Fatty acid oxidation
HMR_2715	Transport, mitochondrial
HMR_2718	Transport, mitochondrial
HMR_2722	Transport, mitochondrial
HMR_2727	Transport, mitochondrial
HMR_2731	Transport, mitochondrial
HMR_2733	Fatty acid oxidation
HMR_2734	Transport, mitochondrial
HMR_2735	Transport, mitochondrial
HMR_2736	Fatty acid oxidation
HMR_2737	Transport, mitochondrial
HMR_2738	Transport, mitochondrial
HMR_2739	Fatty acid oxidation
HMR_2740	Transport, mitochondrial
HMR_2741	Transport, mitochondrial
HMR_2744	Transport, mitochondrial
HMR_2748	Transport, mitochondrial
HMR_2753	Transport, mitochondrial
HMR_2757	Transport, mitochondrial
HMR_2760	Transport, mitochondrial
HMR_2764	Transport, mitochondrial
HMR_2768	Fatty acid oxidation
HMR_2769	Transport, mitochondrial
HMR_2770	Transport, mitochondrial
HMR_2771	Fatty acid oxidation
HMR_2772	Transport, mitochondrial
HMR_2773	Transport, mitochondrial
HMR_2774	Fatty acid oxidation
HMR_2775	Transport, mitochondrial
HMR_2776	Transport, mitochondrial
HMR_2817	Transport, endoplasmic reticular
HMR_2819	Transport, endoplasmic reticular
HMR_2851	Transport, endoplasmic reticular
HMR_2852	Transport, endoplasmic reticular
HMR_2857	Transport, endoplasmic reticular
HMR_2859	Transport, endoplasmic reticular
HMR_2861	Transport, endoplasmic reticular
HMR_2862	Transport, endoplasmic reticular
HMR_2865	Transport, endoplasmic reticular
HMR_2866	Transport, endoplasmic reticular
HMR_2888	Transport, endoplasmic reticular
HMR_2890	Transport, endoplasmic reticular
HMR_2942	Fatty acid synthesis
HMR_2943	Fatty acid synthesis
HMR_2944	Fatty acid synthesis
HMR_2945	Fatty acid synthesis
HMR_2946	Fatty acid synthesis
HMR_2947	Fatty acid synthesis
HMR_2948	Fatty acid synthesis
HMR_2951	Fatty acid synthesis
HMR_2954	Fatty acid synthesis
HMR_2955	Fatty acid synthesis
HMR_2956	Fatty acid synthesis
HMR_2961	Fatty acid synthesis
HMR_2962	Fatty acid synthesis
HMR_2963	Fatty acid synthesis
HMR_2964	Fatty acid synthesis
HMR_2965	Fatty acid synthesis
HMR_2966	Fatty acid synthesis
HMR_2967	Fatty acid synthesis
HMR_2968	Fatty acid synthesis
HMR_2969	Fatty acid synthesis
HMR_2970	Fatty acid synthesis
HMR_2971	Fatty acid synthesis
HMR_2972	Fatty acid synthesis
HMR_2973	Fatty acid synthesis
HMR_2974	Fatty acid synthesis
HMR_2975	Fatty acid synthesis
HMR_2976	Fatty acid synthesis
HMR_2977	Fatty acid synthesis
HMR_2978	Fatty acid synthesis
HMR_2979	Fatty acid synthesis
HMR_2980	Fatty acid synthesis
HMR_2982	Fatty acid synthesis
HMR_2983	Fatty acid synthesis
HMR_2985	Fatty acid synthesis
HMR_2986	Fatty acid synthesis
HMR_2988	Fatty acid synthesis
HMR_2989	Fatty acid synthesis
HMR_2990	Fatty acid synthesis
HMR_2994	Fatty acid synthesis
HMR_2998	Fatty acid synthesis
HMR_2999	Fatty acid synthesis
HMR_3001	Fatty acid synthesis
HMR_3002	Fatty acid synthesis
HMR_3003	Fatty acid synthesis
HMR_3023	Transport, peroxisomal
HMR_3057	Fatty acid oxidation
HMR_3058	Fatty acid oxidation
HMR_3059	Fatty acid oxidation
HMR_3062	Fatty acid oxidation
HMR_3063	Fatty acid oxidation
HMR_3064	Fatty acid oxidation
HMR_3065	Fatty acid oxidation
HMR_3066	Fatty acid oxidation
HMR_3067	Fatty acid oxidation
HMR_3068	Fatty acid oxidation
HMR_3069	Fatty acid oxidation
HMR_3070	Fatty acid oxidation
HMR_3071	Fatty acid oxidation
HMR_3072	Fatty acid oxidation
HMR_3073	Fatty acid oxidation
HMR_3074	Fatty acid oxidation
HMR_3075	Fatty acid oxidation
HMR_3076	Fatty acid oxidation
HMR_3094	Fatty acid oxidation
HMR_3095	Fatty acid oxidation
HMR_3096	Fatty acid oxidation
HMR_3097	Fatty acid oxidation
HMR_3098	Fatty acid oxidation
HMR_3099	Fatty acid oxidation
HMR_3100	Fatty acid oxidation
HMR_3101	Fatty acid oxidation
HMR_3102	Fatty acid oxidation
HMR_3106	Transport, peroxisomal
HMR_3107	Fatty acid oxidation
HMR_3108	Fatty acid oxidation
HMR_3109	Fatty acid oxidation
HMR_3110	Fatty acid oxidation
HMR_3111	Fatty acid oxidation
HMR_3112	Fatty acid oxidation
HMR_3113	Fatty acid oxidation
HMR_3114	Fatty acid oxidation
HMR_3115	Fatty acid oxidation
HMR_3116	Fatty acid oxidation
HMR_3117	Fatty acid oxidation
HMR_3118	Fatty acid oxidation
HMR_3121	Fatty acid oxidation
HMR_3128	Fatty acid oxidation
HMR_3135	Fatty acid oxidation
HMR_3142	Fatty acid oxidation
HMR_3149	Fatty acid oxidation
HMR_3170	Fatty acid oxidation
HMR_3171	Fatty acid oxidation
HMR_3172	Fatty acid oxidation
HMR_3173	Fatty acid oxidation
HMR_3174	Fatty acid oxidation
HMR_3175	Fatty acid oxidation
HMR_3176	Fatty acid oxidation
HMR_3177	Fatty acid oxidation
HMR_3178	Fatty acid oxidation
HMR_3179	Fatty acid oxidation
HMR_3180	Fatty acid oxidation
HMR_3181	Fatty acid oxidation
HMR_3182	Fatty acid oxidation
HMR_3183	Fatty acid oxidation
HMR_3184	Fatty acid oxidation
HMR_3185	Fatty acid oxidation
HMR_3186	Fatty acid oxidation
HMR_3187	Fatty acid oxidation
HMR_3188	Fatty acid oxidation
HMR_3189	Fatty acid oxidation
HMR_3190	Fatty acid oxidation
HMR_3191	Fatty acid oxidation
HMR_3192	Fatty acid oxidation
HMR_3193	Fatty acid oxidation
HMR_3194	Fatty acid oxidation
HMR_3195	Fatty acid oxidation
HMR_3196	Fatty acid oxidation
HMR_3197	Fatty acid oxidation
HMR_3198	Fatty acid oxidation
HMR_3199	Fatty acid oxidation
HMR_3200	Fatty acid oxidation
HMR_3201	Fatty acid oxidation
HMR_3202	Fatty acid oxidation
HMR_3203	Fatty acid oxidation
HMR_3204	Fatty acid oxidation
HMR_3205	Fatty acid oxidation
HMR_3218	Fatty acid oxidation
HMR_3219	Fatty acid oxidation
HMR_3220	Fatty acid oxidation
HMR_3221	Fatty acid oxidation
HMR_3222	Fatty acid oxidation
HMR_3223	Fatty acid oxidation
HMR_3224	Fatty acid oxidation
HMR_3225	Fatty acid oxidation
HMR_3229	Fatty acid oxidation
HMR_3230	Fatty acid oxidation
HMR_3231	Fatty acid oxidation
HMR_3232	Fatty acid oxidation
HMR_3233	Fatty acid oxidation
HMR_3234	Fatty acid oxidation
HMR_3235	Fatty acid oxidation
HMR_3236	Fatty acid oxidation
HMR_3237	Fatty acid oxidation
HMR_3240	Fatty acid oxidation
HMR_3241	Fatty acid oxidation
