SYMBOL	ENTREZID	Bipolar disorder 1a BD1a_NA	Bipolar disorder 1b BD1b_NA	Bipolar disorder 2a BD2a_NA	Bipolar disorder 2a BD2a_NA2	Bipolar disorder 3a BD3a_NA	Bipolar disorder 3b BD3b_NA	Bipolar disorder 4a BD4a_NA	Bipolar disorder 4b BD4b_NA	Bipolar disorder 5a BD5a_NA	Bipolar disorder 5b BD5b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
PTHLH	5744	3.70103	3.77939	6.19495	7.17033	3.36731	4.32299	2.05545	1.78914	20.0261	15.978	NA	NA	NA	NA
PTK2	5747	80.5652	77.9882	99.5882	97.8448	112.126	111.89	87.3375	98.3233	105.954	98.9876	NA	NA	NA	NA
PTK2B	2185	0.580001	1.02761	0.794566	0.565993	1.77903	1.19379	0.924639	1.32431	1.17378	1.75673	NA	NA	NA	NA
PTK7	5754	173.131	204.96	95.2449	107.814	145.995	147.957	98.5914	97.2097	161.891	148.355	NA	NA	NA	NA
PTMA	5757	167.121	188.343	248.391	238.541	215.717	195.733	259.027	235.112	220.637	207.34	cerebral-cortex	glial-cells	Low	Approved
PTMAP2	5759	0.482208	1.0567	0.879274	1.42714	0.795476	0.281788	1.38387	0.753461	0.874087	1.05002	NA	NA	NA	NA
PTMAP3	5760	3.77266	3.10092	3.87043	3.95537	4.92562	2.48074	5.86603	5.65053	7.41036	4.3653	NA	NA	NA	NA
PTMAP4	5761	1.32174	1.60901	0.390897	0.782527	0.874277	0.617999	1.01813	1.57605	1.59752	0.575687	NA	NA	NA	NA
PTMAP5	150928	10.1946	10.0704	11.5168	12.1788	8.8467	10.2117	10.7357	15.9481	11.1158	7.50333	NA	NA	NA	NA
PTMAP8	728873	0	0.237475	0.197612	0.213832	0	0	0	0.451586	0	0.236013	NA	NA	NA	NA
PTMS	5763	391.245	394.626	360.05	362.532	371.082	381.581	330.983	335.819	487.635	428.084	cerebral-cortex	glial-cells	Low	Approved
PTN	5764	1.97986	2.16869	6.90864	5.73212	1.2175	0.737569	3.89487	4.01237	3.84144	3.84365	NA	NA	NA	NA
PTOV1	53635	87.9076	110.841	106.338	98.9746	97.9702	101.664	88.2334	81.6226	124.528	103.733	cerebral-cortex	glial-cells	Low	Approved
PTOV1-AS1	100506033	4.23585	4.01534	3.82198	4.02058	4.80714	4.50483	4.81274	4.53847	3.52769	3.1135	NA	NA	NA	NA
PTP4A1	7803	278.03	294.969	253.125	259.03	406.629	279.333	328.954	261.205	324.968	372.769	NA	NA	NA	NA
PTP4A1P1	100421652	5.77906	4.18514	5.09142	6.76572	4.77984	6.29766	5.43768	5.6131	6.51385	4.80167	NA	NA	NA	NA
PTP4A2	8073	239.721	215.142	236.43	243.711	200.022	193.615	259.072	290.699	211.81	204.761	NA	NA	NA	NA
PTP4A2P1	5767	3.22023	6.56957	5.67069	6.79347	4.58186	6.23077	3.9324	3.47092	10.7408	4.23369	NA	NA	NA	NA
PTP4A2P2	5769	3.16768	3.47045	3.72741	6.0498	3.10398	4.6586	3.22752	3.5134	5.43632	3.56205	NA	NA	NA	NA
PTP4A3	11156	0.519167	1.17525	0.67882	0.841799	0.652912	0.703768	0.622796	0.886517	1.00215	1.01058	NA	NA	NA	NA
PTPDC1	138639	3.56655	3.69421	2.5894	2.23483	2.93927	2.85561	2.67667	2.58347	3.33277	3.71257	NA	NA	NA	NA
PTPMT1	114971	44.7445	45.6002	42.726	45.2519	46.6963	45.0291	42.7604	40.983	50.1478	44.8213	cerebral-cortex	glial-cells	Low	Approved
PTPN1	5770	29.6496	31.9203	38.9933	37.7294	43.249	44.2281	32.4086	32.2775	30.808	28.1102	NA	NA	NA	NA
PTPN11	5781	46.6677	40.2907	45.6432	44.6959	36.102	36.1771	38.5703	41.2335	30.396	39.6141	cerebral-cortex	glial-cells	High	Approved
PTPN12	5782	137.519	94.548	99.448	77.9977	83.2398	118.237	99.538	63.4675	84.0979	126.211	cerebral-cortex	glial-cells	High	Approved
PTPN13	5783	12.3944	10.5275	10.9702	11.1596	10.4191	10.2205	9.94776	8.48855	6.63734	10.0043	NA	NA	NA	NA
PTPN14	5784	21.9878	24.2532	21.32	20.7908	21.1924	17.587	20.1197	18.3264	24.7159	19.6782	NA	NA	NA	NA
PTPN18	26469	6.80011	6.85044	6.87626	6.45683	7.12371	7.52566	6.15141	6.32125	8.43458	8.11293	NA	NA	NA	NA
PTPN2	5771	33.7616	22.6327	22.2071	22.6677	22.1136	21.0277	23.6983	23.6131	17.3707	21.2439	cerebral-cortex	glial-cells	Low	Enhanced
PTPN21	11099	14.2001	17.8927	15.7956	15.2958	16.4988	16.4517	13.9941	14.0521	18.6342	18.9658	NA	NA	NA	NA
PTPN22	26191	0.331031	0.13689	0.0857264	0.110753	0.333752	0.572882	0.245002	0.116946	0.11636	0.184907	NA	NA	NA	NA
PTPN23	25930	16.3385	10.0449	9.28941	10.8382	10.5632	11.8841	11.1139	7.91621	12.2152	10.6723	cerebral-cortex	glial-cells	Low	Approved
PTPN2P1	646981	0.423596	0.309327	0.418461	0.557293	0.380375	0.24758	0.304116	0.331001	0.341503	0.307667	NA	NA	NA	NA
PTPN2P2	646758	0.448292	0.20461	0.306609	0.368629	0.16106	0.349365	0.286095	0.155694	0.316235	0.244213	NA	NA	NA	NA
PTPN3	5774	3.46932	2.23059	2.17237	2.50317	4.28258	4.28928	2.03342	2.04866	1.9987	1.86253	cerebral-cortex	glial-cells	Low	Approved
PTPN4	5775	8.45291	8.60762	7.24069	6.24007	5.69203	7.62028	7.63314	7.25731	8.52456	12.27	NA	NA	NA	NA
PTPN9	5780	27.4883	24.9696	25.3186	25.218	23.7991	21.3461	24.9807	23.257	30.4034	28.9055	NA	NA	NA	NA
PTPRA	5786	28.5374	26.2396	25.9361	26.3793	26.3807	24.1711	24.6137	24.1871	35.5565	31.0509	cerebral-cortex	glial-cells	Low	Approved
PTPRB	5787	1.15556	1.63066	1.44332	1.3537	2.17434	2.70845	0.811364	0.951025	1.05232	0.716635	NA	NA	NA	NA
PTPRCAP	5790	0.281791	0.339589	0.0513945	0.13903	0.273099	0.230588	0.431617	0.352324	0.477085	0.24562	NA	NA	NA	NA
PTPRD	5789	0.709489	0.43938	0.237992	0.351971	1.11032	1.48281	0.135456	0.369519	0.0676773	0.257314	NA	NA	NA	NA
PTPRE	5791	0.990182	1.77406	0.202594	0.72223	0.583834	0.370721	0.454204	0.258716	1.06702	0.483138	NA	NA	NA	NA
PTPRF	5792	29.3868	34.226	45.4633	57.3373	87.4876	92.6249	53.3998	56.7945	51.7268	41.8447	NA	NA	NA	NA
PTPRG	5793	9.55268	9.68897	8.70802	9.07453	9.78432	9.07006	9.95336	9.92155	15.8445	18.0682	NA	NA	NA	NA
PTPRG-AS1	100506994	0.409785	0.314906	0.070169	0.368741	0.732355	0.471438	0.0640172	0.36105	0.567722	0.23267	NA	NA	NA	NA
PTPRH	5794	0.575653	0.275857	0.309035	0.474091	0.417997	0.396228	0.511111	0.200311	1.49526	1.31311	NA	NA	NA	NA
PTPRJ	5795	5.54753	5.80674	5.43428	4.83101	4.58067	4.87704	5.20236	5.39499	5.16597	5.05864	NA	NA	NA	NA
PTPRK	5796	21.6782	21.3371	32.1948	29.1362	31.3083	31.2852	25.0001	24.7444	42.2363	36.2031	NA	NA	NA	NA
PTPRM	5797	115.992	102.967	87.0429	90.7636	98.4497	111.147	76.0847	79.3377	99.428	99.5991	cerebral-cortex	glial-cells	Low	Supported
PTPRN	5798	6.09248	5.12038	7.84296	9.18838	3.49195	2.01456	9.55096	7.34023	6.03235	3.81154	NA	NA	NA	NA
PTPRO	5800	0.715636	1.16353	1.15723	1.11917	0.448851	1.20631	0.178371	0.849358	0.832985	1.35548	NA	NA	NA	NA
PTPRQ	374462	0.646455	0.0654556	0.71705	0.567568	0.764978	0.66333	0.493491	0.371863	0.00555935	0.00500874	NA	NA	NA	NA
PTPRR	5801	0.993771	0.661132	0.99074	0.972779	2.12145	2.26061	0.597074	0.859458	0.900238	0.986839	NA	NA	NA	NA
PTPRS	5802	14.2905	15.9944	17.2489	16.7068	20.6069	18.0355	16.5553	16.6622	17.133	16.8059	NA	NA	NA	NA
PTPRU	10076	6.23952	7.90819	7.26058	6.28017	10.6213	9.11946	3.91634	5.17798	6.91284	5.41232	cerebral-cortex	glial-cells	Low	Approved
PTPRZ1	5803	0.138426	0.0152145	0.179593	0.305607	0.743579	0.205833	0.454555	0.518285	0.446977	0.287867	cerebral-cortex	glial-cells	Medium	Enhanced
PTRH1	138428	6.94861	8.18236	9.78773	8.69436	13.8031	12.1192	8.29132	10.2672	8.08836	7.80783	NA	NA	NA	NA
PTRH2	51651	31.8877	28.8341	40.3752	39.1384	41.4093	44.534	34.553	33.7813	31.3929	27.4069	cerebral-cortex	glial-cells	High	Supported
PTRHD1	391356	52.9613	55.8119	50.0731	50.5318	56.6292	56.6346	56.5648	57.1163	60.9972	44.0654	NA	NA	NA	NA
PTS	5805	55.7643	46.6911	57.3043	56.5934	45.3331	47.3516	50.7121	47.6202	44.6337	42.0549	NA	NA	NA	NA
PTTG1	9232	22.1484	18.5937	18.5394	20.3822	12.3933	6.61105	32.8822	37.5257	10.9248	8.33577	NA	NA	NA	NA
PTTG1IP	754	167.186	164.872	98.8758	115.926	128.261	137.185	138.736	147.044	173.313	162.042	NA	NA	NA	NA
PTTG3P	26255	2.12608	0.748615	1.86954	1.04886	0.575098	1.24267	1.67158	2.29419	1.19357	0.413524	NA	NA	NA	NA
PTTG4P	326315	0.608537	0.444574	1.66482	0.20016	1.11151	0.948499	0	0.211349	0	0.22092	NA	NA	NA	NA
PTX3	5806	7.03331	7.95838	127.883	155.207	39.1454	28.559	279.473	282.339	25.5251	17.0268	NA	NA	NA	NA
PUF60	22827	0.473851	0.230701	0	0.36367	0.397844	0.307737	0.604795	0.0548538	0	0.40153	cerebral-cortex	glial-cells	Medium	Enhanced
PUM1	9698	41.4112	46.6835	40.0912	42.6017	38.6846	42.835	34.7776	43.3901	39.3574	35.3019	cerebral-cortex	glial-cells	Low	Approved
PUM2	23369	24.1518	20.5828	19.5037	21.7642	19.0135	19.9235	19.6826	20.5636	20.9666	20.5871	cerebral-cortex	glial-cells	Medium	Approved
PURA	5813	6.98408	8.73316	6.71389	7.1637	7.38361	6.65319	8.51925	7.12767	7.62137	9.58633	NA	NA	NA	NA
PURB	5814	5.62892	6.42778	7.58438	6.53609	6.06384	6.41582	6.70758	6.0815	6.06498	7.09137	NA	NA	NA	NA
PURG	29942	0.520706	0.975739	0.542471	0.953813	0.163297	0.163057	0.711903	0.281115	0.539374	0.468073	cerebral-cortex	glial-cells	Low	Enhanced
PUS1	80324	7.75124	9.30176	12.112	10.8876	11.2504	12.6041	11.552	11.0853	10.2537	10.212	cerebral-cortex	glial-cells	Medium	Approved
PUS10	150962	2.9523	2.61903	2.64309	3.06667	2.98068	2.65217	2.38393	3.10538	2.51298	2.40101	NA	NA	NA	NA
PUS3	83480	6.38418	8.09688	7.06986	6.55539	6.4677	8.57495	7.52908	7.50224	6.57256	7.41011	NA	NA	NA	NA
PUS7	54517	14.9914	12.0115	11.5656	13.4911	11.7754	13.847	9.57937	9.41775	8.81017	15.716	NA	NA	NA	NA
PUS7L	83448	5.78724	7.7294	5.77285	5.87783	5.50619	6.99049	7.8333	6.82096	4.45802	5.07338	NA	NA	NA	NA
PUSL1	126789	11.9903	12.5475	16.1909	15.5194	17.6193	17.6188	16.683	13.4906	13.8732	12.7812	NA	NA	NA	NA
PVR	5817	66.7301	84.1961	132.488	141.258	116.193	119.771	120.634	106.866	93.4158	67.2866	NA	NA	NA	NA
PVRIG	79037	0.0919714	0.352248	0.0977317	0.454553	0.376359	0.728217	0.316035	1.28519	0	0.798409	NA	NA	NA	NA
PVRIG2P	101752334	2.02143	1.6077	2.2528	0.581083	1.69789	2.53707	1.89166	1.57887	1.91025	2.72694	NA	NA	NA	NA
PVT1	5820	14.4888	15.8212	20.8815	22.8943	33.5601	38.6122	25.7458	30.6079	24.3462	22.9462	NA	NA	NA	NA
PWAR6	100506965	0.71078	1.20911	0.638	0.544642	1.34009	1.59653	0.940757	0.705845	0.698573	1.39734	NA	NA	NA	NA
PWP1	11137	57.5523	56.7493	57.1481	59.9678	52.2869	55.8532	53.9234	56.9845	54.9979	47.5791	NA	NA	NA	NA
PWP2	5822	9.70072	12.7137	12.9084	13.7304	12.8498	9.4131	11.4205	9.6934	9.23426	10.2501	NA	NA	NA	NA
PWWP2A	114825	13.0557	12.6227	13.5429	14.673	13.6099	11.5753	12.3653	14.5682	8.10768	14.227	NA	NA	NA	NA
PWWP2B	170394	2.72296	2.94374	2.68373	2.66524	2.67871	2.47902	2.93274	2.63162	4.47836	3.65546	cerebral-cortex	glial-cells	Low	Approved
PXDC1	221749	104.71	113.074	99.2284	107.73	115.16	125.874	99.9259	94.1837	114.711	99.0329	NA	NA	NA	NA
PXDN	7837	512.988	536.889	381.729	396.044	545.603	467.745	488.377	476.095	646.827	567.52	NA	NA	NA	NA
PXDNL	137902	0.378649	0.386722	0.215205	0.237152	0.742481	0.660654	0.32987	0.40956	0.149862	0.177134	NA	NA	NA	NA
PXK	54899	10.0848	9.61614	11.9256	11.0393	6.05906	6.36834	14.134	16.0419	12.9232	15.9484	cerebral-cortex	glial-cells	Medium	Approved
PXMP2	5827	10.289	10.4977	9.79261	9.47969	6.80628	7.42674	10.624	13.5051	9.6299	8.12561	NA	NA	NA	NA
PXMP4	11264	2.71432	1.94848	1.60855	1.43567	1.24666	1.51295	1.33344	0.740363	1.76694	1.42274	cerebral-cortex	glial-cells	Low	Approved
PXN	5829	63.7181	79.2131	84.6744	77.1341	117.573	119.441	82.7212	85.1618	64.7601	55.606	cerebral-cortex	glial-cells	Medium	Supported
PXN-AS1	100506649	3.75553	2.83176	2.54453	1.36201	1.89719	0.696684	1.64892	1.48148	1.81269	2.6963	NA	NA	NA	NA
PYCARD	29108	3.30457	3.6562	4.39241	5.24967	3.65938	3.74099	5.54881	4.82795	4.78683	5.34544	cerebral-cortex	glial-cells	Medium	Enhanced
PYCR1	5831	123.514	144.493	158.044	148.429	150.758	160.288	134.003	120.692	172.321	153.756	NA	NA	NA	NA
PYCR2	29920	18.3551	25.5266	29.5784	24.2971	22.8048	22.9085	23.4725	22.2162	31.5121	26.3238	NA	NA	NA	NA
PYGB	5834	65.1843	72.8949	115.657	111.172	72.9694	62.7245	80.2683	73.625	162.187	145.318	cerebral-cortex	glial-cells	Medium	Approved
PYGL	5836	28.5791	26.1634	22.9295	24.5417	40.9602	39.1975	23.4115	22.1973	21.4737	23.892	cerebral-cortex	glial-cells	Low	Enhanced
PYGO1	26108	1.74573	1.84784	1.24982	1.27341	0.754278	1.22977	1.34625	1.20209	0.855547	1.11366	NA	NA	NA	NA
PYGO2	90780	8.59625	7.99186	6.20742	7.29847	6.22719	5.89072	7.5466	6.86334	8.73545	8.23422	cerebral-cortex	glial-cells	Low	Supported
PYROXD1	79912	5.72325	7.01471	5.98217	4.30742	4.0486	3.66096	4.45511	4.94865	3.6237	5.91077	NA	NA	NA	NA
PYROXD2	84795	4.01682	10.0298	4.0924	5.26651	3.83256	0.880324	4.14101	4.18967	7.6108	11.3699	NA	NA	NA	NA
PYURF	100996939	34.974	30.8623	31.0476	25.9113	18.3955	22.3186	27.915	32.5602	26.5542	26.0342	NA	NA	NA	NA
PYY2	23615	0.698974	0.794422	0.792691	1.23556	1.03896	2.74418	1.79706	1.47858	0.679854	1.53223	NA	NA	NA	NA
QDPR	5860	23.1498	26.1951	30.7612	34.229	33.1028	35.9771	26.217	25.041	28.9425	23.9129	cerebral-cortex	glial-cells	Medium	Enhanced
QKI	9444	83.9098	80.5975	62.4025	62.3456	68.3532	66.4264	60.692	61.7709	75.7392	81.5653	cerebral-cortex	glial-cells	High	Enhanced
QPCT	25797	31.783	28.8711	16.5024	15.1777	24.5516	24.1517	14.1037	19.214	40.629	40.8123	NA	NA	NA	NA
QPCTL	54814	8.79904	16.105	14.7188	21.5784	23.6093	25.6351	16.7496	12.4792	14.8238	13.4882	NA	NA	NA	NA
QPRT	23475	9.78842	15.8338	11.8013	11.9308	42.8433	44.0519	23.4406	18.7084	9.63989	7.04671	cerebral-cortex	glial-cells	Low	Approved
QRFP	347148	0.292957	0.160496	0.133577	0	0.159625	0.68493	0.981305	0.610476	0	0.159551	NA	NA	NA	NA
QRICH1	54870	92.3591	91.3822	72.7214	86.9431	88.0192	78.4256	87.7847	86.1258	93.6905	84.6508	cerebral-cortex	glial-cells	High	Approved
QRICH2	84074	2.01768	2.69653	1.13929	1.37768	2.39149	1.32131	2.5156	1.85943	2.82962	1.97812	NA	NA	NA	NA
QRSL1	55278	4.33889	3.89145	3.78511	5.44754	3.75829	4.32911	5.40981	4.68596	5.92642	6.82885	cerebral-cortex	glial-cells	Low	Approved
QSER1	79832	12.1012	16.1629	8.39664	9.54715	10.18	9.18786	13.0528	12.2939	9.32194	12.7824	NA	NA	NA	NA
QSOX1	5768	232.233	253.149	532.215	527.252	438.832	419.421	490.009	463.248	398.879	316.53	NA	NA	NA	NA
QSOX2	169714	9.48333	8.12239	11.4767	10.7411	8.61021	7.17823	11.2969	10.7109	7.56898	8.4307	NA	NA	NA	NA
QTRT1	81890	10.9532	19.0475	23.0067	21.6199	23.9423	27.0804	25.5453	13.8866	23.6643	24.9205	NA	NA	NA	NA
R3HCC1	203069	16.805	22.7157	20.1842	21.2366	20.6196	19.6692	13.5508	13.6789	27.2111	22.5114	NA	NA	NA	NA
R3HCC1L	27291	5.79244	5.0098	4.09788	4.27513	4.87924	4.44328	4.62516	5.07185	4.51186	6.05227	cerebral-cortex	glial-cells	Medium	Enhanced
R3HDM1	23518	26.765	32.7899	31.2799	22.8205	21.9576	29.5493	30.7271	26.7188	29.3777	22.3511	NA	NA	NA	NA
R3HDM2	22864	43.0446	35.2112	27.9769	25.2798	31.414	11.504	25.3935	21.4669	23.479	33.1821	cerebral-cortex	glial-cells	Low	Approved
R3HDM4	91300	35.3107	42.4136	41.7411	45.0656	41.1035	38.5549	35.9592	33.2899	48.5468	40.133	NA	NA	NA	NA
RAB10	10890	133.549	118.034	108.25	111.607	110.943	113.715	114.729	117.869	117.818	121.098	cerebral-cortex	glial-cells	Low	Approved
RAB11A	8766	334.223	323.931	365.706	390.885	446.104	442.205	331.613	376.821	340.929	307.145	NA	NA	NA	NA
RAB11B	9230	51.9304	53.6453	54.9072	51.5615	57.2562	59.9899	50.2588	45.1673	63.8964	56.5878	NA	NA	NA	NA
RAB11B-AS1	100507567	6.13404	7.12374	4.24125	4.6056	9.91054	10.7666	4.23301	7.41962	7.88865	7.73194	NA	NA	NA	NA
RAB11FIP1	80223	3.62493	3.38441	2.63753	3.23557	2.52597	2.82223	2.29142	2.49841	5.00271	4.96853	cerebral-cortex	glial-cells	Low	Enhanced
RAB11FIP1P1	646080	2.45722	3.22574	1.19762	1.85184	2.30191	2.26987	3.10489	3.00138	2.07493	2.39222	NA	NA	NA	NA
RAB11FIP2	22841	13.4364	12.3234	12.6594	12.5684	9.7822	8.76118	7.6815	10.8368	9.3617	14.3184	cerebral-cortex	glial-cells	Low	Approved
RAB11FIP3	9727	21.1052	21.098	25.103	23.0586	24.278	24.9244	20.6587	19.435	32.8285	22.8213	NA	NA	NA	NA
RAB11FIP4	84440	0.882194	0.33878	1.39171	0.748978	0.829355	0.840479	2.01185	0.960016	0.972443	1.26168	NA	NA	NA	NA
RAB11FIP5	26056	51.3658	56.7902	65.7109	64.9291	70.0183	65.3836	60.2223	56.1871	73.4939	62.6707	NA	NA	NA	NA
RAB12	201475	20.4248	18.8644	16.4892	14.678	16.3946	17.2751	16.0929	16.1342	19.3633	21.7404	cerebral-cortex	glial-cells	High	Approved
RAB13	5872	95.9686	93.004	134.524	127.862	112.635	109.696	96.6571	103.574	84.2193	86.7857	NA	NA	NA	NA
RAB14	51552	32.2879	30.0554	34.013	30.1543	30.1432	26.6424	27.2559	30.6508	31.3621	26.7301	cerebral-cortex	glial-cells	Low	Approved
RAB15	376267	23.6423	26.606	7.06433	8.13091	9.88821	11.2257	4.59762	5.91307	24.0111	23.6631	NA	NA	NA	NA
RAB17	64284	0.263801	0.48477	0.194482	0.578573	0.808152	1.69842	0.537533	0.242071	0.253805	0.217427	NA	NA	NA	NA
RAB18	22931	118.52	113.087	107.345	104.433	108.15	122.751	102.297	100.871	92.445	118.516	NA	NA	NA	NA
RAB1A	5861	244.424	214.21	243.722	234.533	231.978	240.627	216.645	221.037	180.595	207.97	NA	NA	NA	NA
RAB1B	81876	84.2553	92.663	105.562	100.921	105.007	107.07	98.0073	94.1917	99.1776	84.4817	NA	NA	NA	NA
RAB1C	441400	2.05016	1.74689	2.00807	1.79828	1.72534	2.48544	1.01757	1.81966	1.83638	2.06808	NA	NA	NA	NA
RAB20	55647	0.725833	0.820708	0.576498	0.785534	0.781231	0.656898	0.87417	0.683073	1.55734	1.19901	NA	NA	NA	NA
RAB21	23011	37.4713	32.609	35.8439	35.7442	39.739	34.9221	31.8781	31.8766	22.5962	26.6083	cerebral-cortex	glial-cells	Medium	Approved
RAB22A	57403	7.86847	8.20848	9.05778	9.77017	9.16787	9.57098	9.00054	8.13658	6.85874	7.75838	cerebral-cortex	glial-cells	High	Approved
RAB23	51715	58.4054	53.5199	31.3072	33.0301	22.9696	25.8882	24.4267	26.0081	26.1745	37.7261	cerebral-cortex	glial-cells	Medium	Enhanced
RAB24	53917	20.7794	23.5468	21.0669	19.9876	20.926	21.2244	21.7664	19.8373	23.8049	22.3927	NA	NA	NA	NA
RAB26	25837	0.557025	0.598162	1.19111	1.08643	1.18855	1.31714	0.799994	0.657057	0.571738	0.822684	NA	NA	NA	NA
RAB27A	5873	12.5432	11.367	7.84424	7.49345	7.64617	6.64511	8.77757	8.67804	11.8175	12.506	NA	NA	NA	NA
RAB27B	5874	0.380246	0.337359	0.628592	0.695362	0.28677	0.769879	0.456116	0.27611	0.282011	1.45007	NA	NA	NA	NA
RAB28	9364	12.0881	10.0272	5.61392	5.63298	9.09963	7.87693	7.03517	6.4973	6.72258	9.35189	cerebral-cortex	glial-cells	Medium	Approved
RAB2A	5862	245.688	192.212	219.336	218.958	180.53	179.143	199.875	202.022	187.082	190.179	cerebral-cortex	glial-cells	Medium	Approved
RAB2B	84932	18.6293	16.0774	13.7695	14.7024	12.9603	13.141	13.6901	12.4112	22.3687	20.3538	NA	NA	NA	NA
RAB30	27314	14.9625	17.7696	13.8285	12.2793	8.93659	8.59604	14.2893	12.8743	8.51765	10.1852	NA	NA	NA	NA
RAB31	11031	120.964	106.119	65.0146	73.5227	79.5783	61.9824	58.2812	53.4543	83.9598	81.1027	cerebral-cortex	glial-cells	Medium	Approved
RAB32	10981	59.6721	55.8183	63.5226	67.6007	68.377	72.7629	60.832	57.6649	66.7829	56.3772	NA	NA	NA	NA
RAB33A	9363	3.40303	3.85509	1.29967	1.72203	8.05012	5.23615	2.08829	2.75775	8.47689	7.22535	NA	NA	NA	NA
RAB33B	83452	2.39648	2.5897	2.29868	2.25079	2.33224	2.47257	2.36787	2.68258	2.49947	3.14344	NA	NA	NA	NA
RAB34	83871	133.12	139.979	149.783	153.243	130.072	130.527	131.158	129.404	165.479	132.74	cerebral-cortex	glial-cells	Low	Approved
RAB35	11021	47.3134	48.9355	56.4008	51.945	46.1673	56.1899	53.0825	52.088	56.3058	46.7901	NA	NA	NA	NA
RAB36	9609	1.56846	2.16631	1.69683	2.09732	2.18507	1.61493	1.59994	1.59493	1.01295	1.04743	NA	NA	NA	NA
RAB38	23682	0.266868	0.363632	0.416601	0.376373	0.51263	0.31073	0.659071	0.670216	0.204565	0.291566	NA	NA	NA	NA
RAB3A	5864	3.37503	4.16242	3.91349	3.1567	2.64698	3.44345	2.86245	2.52392	1.68681	2.08859	NA	NA	NA	NA
RAB3B	5865	11.5583	11.8425	13.1587	11.8995	16.5899	17.6213	9.89937	10.1455	16.6101	16.9546	NA	NA	NA	NA
RAB3D	9545	0.727292	0.856022	0.511041	0.387568	0.325026	0.201482	0.330803	0.402227	0.945668	0.806355	cerebral-cortex	glial-cells	Low	Approved
RAB3GAP1	22930	37.1499	39.4466	32.081	31.7622	33.6297	34.7751	35.0735	40.7359	39.246	37.7828	NA	NA	NA	NA
RAB3GAP2	25782	23.1719	20.0413	21.9082	19.1185	24.1917	21.4391	19.1145	18.3921	10.8082	14.0532	cerebral-cortex	glial-cells	Medium	Approved
RAB3IL1	5866	1.60245	1.05992	0.7842	1.33001	2.11025	2.14155	1.51807	2.60339	1.47307	3.66099	NA	NA	NA	NA
RAB3IP	117177	10.0504	7.31402	3.38537	3.49862	10.5676	11.4666	5.19783	3.40815	10.5002	10.6026	NA	NA	NA	NA
RAB40A	142684	0.136688	0.156809	0.139188	0.17834	0.258674	0.138921	0.17104	0.186839	0.227323	0.213038	NA	NA	NA	NA
RAB40B	10966	11.492	17.2094	14.5172	15.5154	18.8981	20.219	11.7148	10.4697	13.7794	8.52037	NA	NA	NA	NA
RAB40C	57799	6.9588	7.7713	7.29036	6.64478	6.943	8.95634	7.73732	7.44863	8.16717	7.86495	NA	NA	NA	NA
RAB41	347517	0.259209	0.335713	0.354351	0.197963	0.279752	0.303049	0.361079	0.306905	0.540137	0.269382	NA	NA	NA	NA
RAB42	115273	0.527298	0.759812	0.44004	0.537801	1.145	1.04631	1.15423	1.10207	0.807736	0.631982	NA	NA	NA	NA
RAB43	339122	3.34287	4.48483	3.51727	4.77037	5.34212	6.00243	5.03947	3.83369	4.59402	3.06346	NA	NA	NA	NA
RAB43P1	440375	1.82298	1.56296	2.09609	1.95526	3.51735	2.68697	2.12428	2.56006	2.30014	2.15868	NA	NA	NA	NA
RAB4A	5867	46.0483	41.2492	37.3333	35.8605	37.5051	43.0582	31.3064	33.6979	48.4232	40.3076	NA	NA	NA	NA
RAB4B	53916	13.8063	18.1074	23.4019	17.8479	16.5523	17.3672	18.4041	17.7576	21.9313	18.711	NA	NA	NA	NA
RAB5A	5868	74.3777	64.6816	65.6634	68.6928	75.65	77.8065	56.3064	63.9893	61.3967	64.255	cerebral-cortex	glial-cells	Low	Approved
RAB5B	5869	37.8983	44.2335	37.5615	37.0028	41.6593	42.9172	37.2384	35.9457	43.176	41.6749	cerebral-cortex	glial-cells	Low	Approved
RAB5C	5878	177.231	192.457	224.56	231.035	244.764	229.135	203.024	185.245	210.309	177.983	cerebral-cortex	glial-cells	Low	Approved
RAB6A	5870	101.538	99.0999	75.3923	81.8767	82.7862	93.3574	82.8266	86.1248	92.9956	97.8398	cerebral-cortex	glial-cells	Low	Approved
RAB6B	51560	8.13103	10.5228	8.349	7.54011	15.5031	20.2811	5.2602	4.77737	7.0553	7.65824	NA	NA	NA	NA
RAB7A	7879	352.318	314.816	368.558	358.926	424.395	395.268	354.245	357.623	329.591	298.396	cerebral-cortex	glial-cells	Medium	Supported
RAB8A	4218	88.4203	80.5528	90.6349	93.5803	79.4997	68.2896	88.2372	80.0142	85.4714	73.8279	NA	NA	NA	NA
RAB8B	51762	11.283	9.17262	10.4554	10.1261	10.7585	11.0189	10.3166	11.002	11.2059	14.2414	NA	NA	NA	NA
RAB9A	9367	27.1281	23.6816	19.5836	21.8057	19.1851	18.7795	15.8929	19.0616	19.4943	17.633	cerebral-cortex	glial-cells	Medium	Supported
RAB9B	51209	0.866643	0.560067	0.663863	0.684134	1.08044	1.07388	0.879462	0.731407	0.503085	0.65156	NA	NA	NA	NA
RABEP1	9135	26.5081	24.508	25.8701	22.9689	24.5402	22.1865	21.2156	25.9856	16.5579	21.7635	NA	NA	NA	NA
