	SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2
NR1D2	NR1D2	9975	10.7264	10.3273
NR1H2	NR1H2	7376	15.4664	18.8356
NR1H3	NR1H3	10062	3.36392	6.04459
NR1I3	NR1I3	9970	0.51709	0.444195
NR2C1	NR2C1	7181	28.9308	30.4462
NR2C2	NR2C2	7182	15.273	6.94202
NR2C2AP	NR2C2AP	126382	5.9878	6.04286
NR2E3	NR2E3	10002	0.12639	0.111934
NR2F1	NR2F1	7025	7.84159	5.26404
NR2F1-AS1	NR2F1-AS1	441094	12.8612	11.6602
NR2F2	NR2F2	7026	12.9048	11.7602
NR2F2-AS1	NR2F2-AS1	644192	1.03873	0.768851
NR2F6	NR2F6	2063	19.6751	18.2925
NR3C1	NR3C1	2908	7.42603	4.67053
NR3C2	NR3C2	4306	1.16651	0.791006
NR4A1	NR4A1	3164	4.39569	4.64876
NR4A2	NR4A2	4929	0.23964	0.140716
NR4A3	NR4A3	8013	0.145793	0.0932239
NR5A2	NR5A2	2494	11.0047	5.49411
NR6A1	NR6A1	2649	1.72651	1.16553
NRARP	NRARP	441478	7.25293	14.9675
NRAS	NRAS	4893	40.769	35.372
NRBF2	NRBF2	29982	10.7646	14.6111
NRBF2P5	NRBF2P5	100118954	0.382313	0.821229
NRBP1	NRBP1	29959	60.4828	67.3065
NRBP2	NRBP2	340371	0.134233	0.356513
NRCAM	NRCAM	4897	44.4207	52.5761
NRDE2	NRDE2	55051	6.96031	5.35959
NREP	NREP	9315	439.485	320.603
NRF1	NRF1	4899	15.166	13.8254
NRG1	NRG1	3084	3.79767	9.799
NRG2	NRG2	9542	4.98753	3.67906
NRG3	NRG3	10718	0.920649	0.973107
NRG4	NRG4	145957	2.92275	3.17789
NRGN	NRGN	4900	54.8293	48.4639
NRIP1	NRIP1	8204	8.59495	5.49601
NRIP2	NRIP2	83714	1.21202	0.691871
NRIP3	NRIP3	56675	3.11026	3.58842
NRK	NRK	203447	1.84448	1.64703
NRL	NRL	4901	0.337481	0.398175
NRN1	NRN1	51299	0.858524	0.908578
NRN1L	NRN1L	123904	0	0.287222
NRP1	NRP1	8829	44.3665	41.8175
NRP2	NRP2	8828	312.505	108.185
NRSN1	NRSN1	140767	0.629255	0.70074
NRSN2	NRSN2	80023	33.8726	41.9509
NRTN	NRTN	4902	0.496709	0.221976
NRXN1	NRXN1	9378	1.41067	1.20167
NRXN2	NRXN2	9379	13.734	14.1342
NRXN3	NRXN3	9369	1.22917	1.25444
NSA2	NSA2	10412	49.1903	64.8905
NSD1	NSD1	64324	19.5131	11.5863
NSDHL	NSDHL	50814	0.460455	0.517558
NSF	NSF	4905	13.4235	15.8286
NSFL1C	NSFL1C	55968	56.3511	63.6422
NSFP1	NSFP1	728806	1.60215	2.03508
NSG1	NSG1	27065	3.34446	4.47043
NSG2	NSG2	51617	4.26755	4.458
NSL1	NSL1	25936	24.3512	31.1502
NSMAF	NSMAF	8439	17.0482	17.4518
NSMCE1	NSMCE1	197370	12.2649	12.9844
NSMCE2	NSMCE2	286053	20.523	24.0124
NSMCE4A	NSMCE4A	54780	42.8095	36.3572
NSMF	NSMF	26012	32.6922	38.3002
NSRP1	NSRP1	84081	24.0645	28.0436
NSRP1P1	NSRP1P1	100420557	0.121339	0.568786
NSUN2	NSUN2	54888	41.5223	35.656
NSUN3	NSUN3	63899	4.82028	3.82306
NSUN4	NSUN4	387338	9.348	8.30661
NSUN5	NSUN5	55695	2.52589	1.35578
NSUN5P1	NSUN5P1	155400	4.71243	5.93499
NSUN6	NSUN6	221078	5.54162	5.14923
NSUN7	NSUN7	79730	1.76143	1.54936
NT5C	NT5C	30833	35.3909	38.8301
NT5C2	NT5C2	22978	40.4221	29.5957
NT5C3A	NT5C3A	51251	17.0635	15.8734
NT5C3AP1	NT5C3AP1	90859	0.496304	0.543883
NT5DC1	NT5DC1	221294	6.57343	8.83777
NT5DC2	NT5DC2	64943	129.185	119.425
NT5DC3	NT5DC3	51559	0.973191	1.13754
NT5E	NT5E	4907	16.5263	19.2063
NT5M	NT5M	56953	2.66701	3.10042
NTAN1	NTAN1	123803	40.4012	43.8381
NTAN1P2	NTAN1P2	100420307	0.304528	0.272345
NTF3	NTF3	4908	0.412277	0.0596761
NTF4	NTF4	4909	0.27329	0.330356
NTHL1	NTHL1	4913	9.52006	16.0381
NTM	NTM	50863	13.4417	8.21815
NTMT1	NTMT1	28989	18.8937	25.1661
NTN1	NTN1	9423	70.5959	81.5038
NTN3	NTN3	4917	0.558318	0.339803
NTN4	NTN4	59277	1.37323	1.24836
NTN5	NTN5	126147	0.203564	0.240282
NTNG1	NTNG1	22854	5.15401	3.57661
NTNG2	NTNG2	84628	1.85442	2.41368
NTPCR	NTPCR	84284	33.098	46.1518
NTRK1	NTRK1	4914	0.230252	0.0994053
NTRK2	NTRK2	4915	5.27024	11.5908
NTRK3	NTRK3	4916	13.0196	12.5377
NTS	NTS	4922	0.0871642	0
NTSR1	NTSR1	4923	0.0830824	0.117855
NUAK1	NUAK1	9891	8.46342	9.92249
NUAK2	NUAK2	81788	4.54767	4.46146
NUB1	NUB1	51667	22.3524	25.6119
NUBP1	NUBP1	4682	21.1476	24.2247
NUBP2	NUBP2	10101	30.4272	40.1727
NUBPL	NUBPL	80224	5.96927	5.9054
NUCB1	NUCB1	4924	78.8272	73.4289
NUCB2	NUCB2	4925	34.9696	45.6341
NUCKS1	NUCKS1	64710	159.79	115.283
NUDC	NUDC	10726	53.0774	62.501
NUDCD1	NUDCD1	84955	9.43371	9.77107
NUDCD2	NUDCD2	134492	15.9569	29.2383
NUDCD3	NUDCD3	23386	31.9198	34.7275
NUDT1	NUDT1	4521	41.6224	56.606
NUDT10	NUDT10	170685	0.0791754	0.0706801
NUDT11	NUDT11	55190	0.0830361	0.0741032
NUDT12	NUDT12	83594	11.4367	14.823
NUDT13	NUDT13	25961	2.88683	3.13054
NUDT14	NUDT14	256281	11.4753	13.1216
NUDT15	NUDT15	55270	18.1838	17.9599
NUDT16	NUDT16	131870	11.8354	8.2511
NUDT16L1	NUDT16L1	84309	22.447	27.1799
NUDT18	NUDT18	79873	0.58248	1.9708
NUDT19	NUDT19	390916	3.75651	4.05414
NUDT19P3	NUDT19P3	100422450	0	0.112686
NUDT2	NUDT2	318	17.201	24.5578
NUDT21	NUDT21	11051	73.4401	54.7123
NUDT22	NUDT22	84304	16.2811	20.5279
NUDT3	NUDT3	11165	28.703	19.2915
NUDT4	NUDT4	11163	9.59352	7.98179
NUDT5	NUDT5	11164	33.29	36.9168
NUDT6	NUDT6	11162	5.09761	7.50421
NUDT7	NUDT7	283927	3.51189	8.22014
NUDT8	NUDT8	254552	3.86441	5.97485
NUDT9	NUDT9	53343	15.5324	22.1892
NUF2	NUF2	83540	30.412	28.3887
NUFIP1	NUFIP1	26747	4.35878	4.01149
NUFIP2	NUFIP2	57532	21.9826	17.7456
NUMA1	NUMA1	4926	75.7437	61.1628
NUMB	NUMB	8650	20.4901	19.5644
NUMBL	NUMBL	9253	12.3812	9.5993
NUP107	NUP107	57122	41.9455	28.8745
NUP133	NUP133	55746	23.743	26.5185
NUP153	NUP153	9972	28.5246	20.5497
NUP155	NUP155	9631	13.0727	8.71512
NUP160	NUP160	23279	25.3481	20.4151
NUP188	NUP188	23511	28.104	24.5805
NUP205	NUP205	23165	29.2636	30.8464
NUP210	NUP210	23225	18.1518	10.7917
NUP214	NUP214	8021	17.0213	13.3583
NUP35	NUP35	129401	13.4548	13.5109
NUP37	NUP37	79023	15.8497	19.4368
NUP43	NUP43	348995	21.4865	19.1069
NUP50	NUP50	10762	41.7121	29.7164
NUP54	NUP54	53371	41.0322	37.2585
NUP62	NUP62	23636	37.6413	28.2615
NUP62CL	NUP62CL	54830	0.950596	1.06725
NUP85	NUP85	79902	34.8632	33.3034
NUP88	NUP88	4927	28.3644	31.7519
NUP93	NUP93	9688	48.4274	46.43
NUP98	NUP98	4928	27.5682	20.3514
NUPR1	NUPR1	26471	0.127333	0.412871
NUS1	NUS1	116150	15.9671	16.4867
NUS1P1	NUS1P1	729148	1.91491	2.83531
NUS1P2	NUS1P2	646208	4.15254	3.84877
NUSAP1	NUSAP1	51203	119.204	89.8509
NUTF2	NUTF2	10204	117.669	142.089
NUTF2P2	NUTF2P2	326613	0.350309	0.474421
NUTM2A	NUTM2A	728118	0.480605	0.206746
NUTM2A-AS1	NUTM2A-AS1	728190	11.6914	11.0543
NUTM2B	NUTM2B	729262	0.21853	0.232457
NUTM2D	NUTM2D	728130	2.37456	1.25705
NUTM2E	NUTM2E	283008	0.328834	0.230625
NUTM2G	NUTM2G	441457	0.25465	0.209761
NVL	NVL	4931	16.1223	19.5861
NXF1	NXF1	10482	40.6219	50.3596
NXN	NXN	64359	58.77	48.1303
NXNL2	NXNL2	158046	0.131123	0.117159
NXPE3	NXPE3	91775	12.2544	10.2642
NXPH1	NXPH1	30010	9.49954	4.02639
NXPH2	NXPH2	11249	2.38348	0.946973
NXPH3	NXPH3	11248	0.189208	0.155392
NXPH4	NXPH4	11247	0.64963	0.353026
NXT1	NXT1	29107	14.3834	16.9654
NXT2	NXT2	55916	8.29035	8.00503
NYAP1	NYAP1	222950	2.39517	3.01214
NYNRIN	NYNRIN	57523	7.2316	6.08216
OAF	OAF	220323	5.83019	6.02995
OARD1	OARD1	221443	20.7139	28.8899
OAS1	OAS1	4938	0.663064	0.378971
OAS2	OAS2	4939	0.0665281	0.0237398
OAS3	OAS3	4940	1.28026	0.943994
OAT	OAT	4942	28.1592	40.5153
OAZ1	OAZ1	4946	257.627	378.31
OAZ2	OAZ2	4947	59.3083	67.3805
OAZ3	OAZ3	51686	0.810635	0.586439
OBSCN	OBSCN	84033	6.48115	4.72934
OBSL1	OBSL1	23363	67.1943	85.5402
OCA2	OCA2	4948	0.0549884	0.112967
OCEL1	OCEL1	79629	5.108	10.0588
OCIAD1	OCIAD1	54940	92.7345	102.507
OCIAD2	OCIAD2	132299	2.8694	3.82834
OCLM	OCLM	10896	0.790083	0.412282
OCLN	OCLN	100506658	0.043721	0.106275
OCRL	OCRL	4952	14.1633	10.7141
ODC1	ODC1	4953	101.922	96.1975
ODCP	ODCP	4954	0.283207	0.112392
ODF2	ODF2	4957	45.9441	37.7774
ODF2-AS1	ODF2-AS1	107080620	1.26467	1.89636
ODF2L	ODF2L	57489	24.6152	21.957
ODF3B	ODF3B	440836	0.841132	0.502882
ODF3L1	ODF3L1	161753	0.0907264	0.243215
OFD1	OFD1	8481	7.72879	8.39351
OGDH	OGDH	4967	22.997	18.4293
OGDHL	OGDHL	55753	6.72816	6.36046
OGFOD1	OGFOD1	55239	22.5338	19.2378
OGFOD2	OGFOD2	79676	6.84884	8.14213
OGFOD3	OGFOD3	79701	11.5985	12.891
OGFR	OGFR	11054	11.8489	12.4076
OGFR-AS1	OGFR-AS1	101409261	0.287295	0.600614
OGFRL1	OGFRL1	79627	4.80566	3.50941
OGG1	OGG1	4968	27.1629	19.9912
OGN	OGN	4969	0.0982821	0.063698
OGT	OGT	8473	80.5134	52.0532
OIP5	OIP5	11339	18.0788	17.7789
OIP5-AS1	OIP5-AS1	729082	37.1826	26.9555
OLA1	OLA1	29789	67.2321	73.7514
OLFM1	OLFM1	10439	29.8273	29.6025
OLFM2	OLFM2	93145	6.50146	8.50124
OLFM3	OLFM3	118427	2.5189	1.93593
OLFM4	OLFM4	10562	0.100972	1.21622
OLFML1	OLFML1	283298	0.489227	0.232686
OLFML2A	OLFML2A	169611	1.40638	2.83564
OLFML2B	OLFML2B	25903	1.99655	3.2938
OLFML3	OLFML3	56944	0.544771	1.4869
OLIG1	OLIG1	116448	1.22019	1.66175
OLIG2	OLIG2	10215	0.228951	0.476707
OMA1	OMA1	115209	4.80401	6.07054
OMG	OMG	4974	0.437089	0.419299
ONECUT1	ONECUT1	3175	0.518983	0
ONECUT2	ONECUT2	9480	0.562838	0.305674
OPA1	OPA1	4976	25.3781	17.0412
OPA3	OPA3	80207	4.62939	4.56686
OPCML	OPCML	4978	0.152555	0.23983
OPHN1	OPHN1	4983	4.15169	3.99668
OPN1SW	OPN1SW	611	0.856559	0.54043
OPN3	OPN3	23596	16.8938	14.0751
OPN5	OPN5	221391	0.225229	0.263385
OPRK1	OPRK1	4986	0.226538	0.334513
OPRL1	OPRL1	4987	0.73594	1.62185
OPTN	OPTN	10133	10.2531	15.5478
OR13E1P	OR13E1P	392308	0.436863	0.893087
OR1F1	OR1F1	4992	0	0
OR2B6	OR2B6	26212	0.121486	0.488908
OR2L13	OR2L13	284521	0.182128	0.135514
OR2W3	OR2W3	343171	0.667063	0.389931
OR5AK2	OR5AK2	390181	0.566591	0.557258
OR6L2P	OR6L2P	81356	0.310772	0.222354
OR7E126P	OR7E126P	81176	0.916447	0.527017
OR7E128P	OR7E128P	81175	0.602256	0.440535
OR7E14P	OR7E14P	10819	0.448599	3.5902
OR7E38P	OR7E38P	389537	1.55104	1.64369
OR7E7P	OR7E7P	392752	1.22215	0.347672
ORAI2	ORAI2	80228	19.8855	18.2934
ORAI3	ORAI3	93129	5.35006	9.26298
ORC1	ORC1	4998	8.28792	5.70373
ORC2	ORC2	4999	8.43011	10.6932
ORC3	ORC3	23595	21.8343	25.1302
ORC4	ORC4	5000	23.0088	24.8502
ORC5	ORC5	5001	13.1397	13.294
ORC6	ORC6	23594	40.3513	33.1028
ORMDL1	ORMDL1	94101	61.7333	69.8133
ORMDL2	ORMDL2	29095	21.9475	25.0169
ORMDL3	ORMDL3	94103	32.5615	35.5134
OS9	OS9	10956	106.595	106.149
OSBP	OSBP	5007	19.5991	18.4517
OSBP2	OSBP2	23762	1.37564	1.85712
OSBPL10	OSBPL10	114884	0.456708	1.14267
OSBPL11	OSBPL11	114885	11.826	10.0917
OSBPL1A	OSBPL1A	114876	8.84422	7.66097
OSBPL2	OSBPL2	9885	11.1018	13.5925
OSBPL3	OSBPL3	26031	10.638	7.0378
OSBPL5	OSBPL5	114879	9.7973	10.5132
OSBPL6	OSBPL6	114880	5.14858	7.25479
OSBPL7	OSBPL7	114881	8.46167	7.47621
OSBPL8	OSBPL8	114882	32.5299	19.885
OSBPL9	OSBPL9	114883	40.4175	46.9796
OSCP1	OSCP1	127700	4.30951	9.65536
OSER1	OSER1	51526	15.1122	20.6258
OSGEP	OSGEP	55644	29.9997	29.5828
OSGEPL1	OSGEPL1	64172	9.13866	10.3953
OSGEPL1-AS1	OSGEPL1-AS1	101409258	1.24851	0.545318
OSGIN1	OSGIN1	29948	0.286501	0.813768
OSGIN2	OSGIN2	734	6.03648	4.71842
OSMR	OSMR	9180	9.89857	8.67599
OSR1	OSR1	130497	6.84227	9.01518
OSR2	OSR2	116039	0.102942	0
OST4	OST4	100128731	185.942	270.692
OSTC	OSTC	58505	94.2563	131.955
OSTCP1	OSTCP1	202459	0.090817	0.284034
OSTCP5	OSTCP5	100874386	0.348604	0.626784
OSTCP8	OSTCP8	100874388	0	0
OSTF1	OSTF1	26578	7.07153	8.55548
OSTM1	OSTM1	28962	15.6869	17.8087
OTOGL	OTOGL	283310	0.065798	0.172056
OTUB1	OTUB1	55611	62.646	66.4448
OTUB2	OTUB2	78990	3.03857	3.73369
OTUD1	OTUD1	220213	1.26315	2.07305
OTUD3	OTUD3	23252	11.1192	7.71518
OTUD4	OTUD4	54726	9.99956	8.35659
OTUD6B	OTUD6B	51633	11.1725	9.60235
OTUD7A	OTUD7A	161725	1.29038	0.883439
OTX1	OTX1	5013	0.230904	0.10653
OVCA2	OVCA2	124641	18.3544	25.9792
OVGP1	OVGP1	5016	0.68098	1.07791
OXA1L	OXA1L	5018	40.061	50.5192
OXCT1	OXCT1	5019	17.7054	17.4319
OXCT1-AS1	OXCT1-AS1	100874002	0.628549	0.139738
OXER1	OXER1	165140	0.0580757	0.233328
OXLD1	OXLD1	339229	9.99237	18.4344
OXNAD1	OXNAD1	92106	3.474	5.52219
OXR1	OXR1	55074	12.4704	14.3123
OXSM	OXSM	54995	4.90933	7.72762
OXSR1	OXSR1	9943	21.9647	19.8466
OXTR	OXTR	5021	1.19069	1.36238
P2RX3	P2RX3	5024	0.439474	0.124
P2RX4	P2RX4	5025	4.58135	7.84346
P2RX5	P2RX5	5026	0.0675623	0.378274
P2RX5-TAX1BP3	P2RX5-TAX1BP3	100533970	0.400378	0.451709
P2RX6	P2RX6	9127	0.490108	0.829125
P2RX6P	P2RX6P	440799	0	0.244327
P2RY1	P2RY1	5028	1.51526	0.947714
P2RY11	P2RY11	5032	4.51473	4.4589
P4HA1	P4HA1	5033	19.3889	20.4157
P4HA2	P4HA2	8974	2.04941	4.90194
P4HA3	P4HA3	283208	0.28223	0.152537
P4HB	P4HB	5034	217.067	269.293
P4HTM	P4HTM	54681	9.85361	14.4645
PA2G4	PA2G4	5036	66.6543	67.4358
PA2G4P1	PA2G4P1	389884	0.271908	0.364458
PA2G4P2	PA2G4P2	170533	0.316281	0.72674
PA2G4P4	PA2G4P4	647033	3.4964	5.75553
PAAF1	PAAF1	80227	15.438	19.2587
PABPC1	PABPC1	26986	383.479	384.88
PABPC1L	PABPC1L	80336	28.9528	28.2952
PABPC1P1	PABPC1P1	26980	0.228524	0.204938
PABPC1P3	PABPC1P3	26978	0.340871	0.766005
PABPC1P4	PABPC1P4	341315	0.378738	0.748664
PABPC3	PABPC3	5042	1.69641	1.55555
PABPC4	PABPC4	8761	61.0791	45.9236
PABPC4L	PABPC4L	132430	0.316079	0.247739
PABPC5	PABPC5	140886	3.97908	3.49957
PABPN1	PABPN1	8106	174.647	143.366
PACRG	PACRG	135138	2.73859	5.65273
PACRGL	PACRGL	133015	7.53872	10.7981
PACS1	PACS1	55690	25.1028	17.2347
PACS2	PACS2	23241	3.94677	0.635956
PACSIN2	PACSIN2	11252	35.5983	33.747
PACSIN3	PACSIN3	29763	2.16483	3.65406
PADI2	PADI2	11240	0	0.037841
PAF1	PAF1	54623	38.7259	41.0696
PAFAH1B1	PAFAH1B1	5048	80.0527	68.124
PAFAH1B2	PAFAH1B2	5049	39.4226	32.6862
PAFAH1B3	PAFAH1B3	5050	76.6025	79.6332
PAFAH2	PAFAH2	5051	3.94986	4.49268
PAG1	PAG1	55824	9.44857	6.79578
PAICS	PAICS	10606	151.174	104.052
PAICSP1	PAICSP1	780814	0.311032	0.357324
PAICSP4	PAICSP4	780813	1.4165	0.997138
PAIP1	PAIP1	10605	73.7088	68.6847
PAIP2	PAIP2	51247	122.127	157.772
PAIP2B	PAIP2B	400961	1.36833	1.18026
PAK1	PAK1	5058	19.7517	23.0172
PAK1IP1	PAK1IP1	55003	9.99524	11.4262
PAK2	PAK2	5062	44.8858	35.2385
PAK3	PAK3	5063	5.82572	4.82963
PAK4	PAK4	10298	19.4369	19.6431
PAK6	PAK6	56924	0.240159	0.1881
PALB2	PALB2	79728	11.3872	7.68882
PALD1	PALD1	27143	2.6811	2.69843
PALLD	PALLD	23022	54.2479	42.9574
PALM	PALM	5064	31.5434	30.9521
PALM3	PALM3	342979	3.86969	4.2264
PALMD	PALMD	54873	2.61418	1.56397
PAM	PAM	5066	205.844	288.323
PAM16	PAM16	51025	13.8072	18.5844
PAMR1	PAMR1	25891	0.117889	0.258388
PAN2	PAN2	9924	30.2285	35.3787
PAN3	PAN3	255967	28.9181	21.8338
PAN3-AS1	PAN3-AS1	100288730	1.80744	1.82518
PANK1	PANK1	53354	11.736	12.4547
PANK2	PANK2	80025	21.5553	20.8594
PANK3	PANK3	79646	38.0013	24.9957
PANK4	PANK4	55229	16.2614	13.5033
PANX1	PANX1	24145	20.8621	12.4361
PANX2	PANX2	56666	1.36928	2.45567
PAOX	PAOX	196743	3.64119	4.79635
PAPLN	PAPLN	89932	1.15057	0.463736
PAPOLA	PAPOLA	10914	92.9501	77.8828
PAPOLG	PAPOLG	64895	7.11521	6.0903
PAPPA	PAPPA	5069	0.486054	0.413146
PAPPA-AS1	PAPPA-AS1	493913	0.303008	0.265243
PAPPA2	PAPPA2	60676	0.00479422	0.0170994
PAPSS1	PAPSS1	9061	45.5992	40.7843
PAPSS2	PAPSS2	9060	4.05183	3.42473
PAQR3	PAQR3	152559	10.2696	10.6592
PAQR4	PAQR4	124222	28.0489	20.5806
PAQR5	PAQR5	54852	0.0707671	0.0867875
PAQR6	PAQR6	79957	10.5726	12.828
PAQR7	PAQR7	164091	2.30163	2.61296
PAQR8	PAQR8	85315	10.7319	12.898
PAQR9	PAQR9	344838	0.22586	0.170114
PARD3	PARD3	56288	24.5368	24.3477
PARD3-AS1	PARD3-AS1	100505601	0.779332	1.40267
PARD3B	PARD3B	117583	7.50949	5.34532
PARD6A	PARD6A	50855	3.88186	7.2147
PARD6B	PARD6B	84612	0.535119	0.734289
PARD6G	PARD6G	84552	9.65279	7.36361
PARG	PARG	8505	8.93307	9.10508
PARGP1	PARGP1	728407	1.14117	0.584614
PARK7	PARK7	11315	207.859	263.352
PARL	PARL	55486	32.8874	39.7752
PARM1	PARM1	25849	0.661245	1.55185
PARN	PARN	5073	16.7681	14.2069
PARP1	PARP1	142	168.819	106.003
PARP10	PARP10	84875	0.206209	0.197515
PARP11	PARP11	57097	10.4084	8.17631
PARP12	PARP12	64761	5.31457	3.28892
PARP14	PARP14	54625	12.8087	11.1414
PARP16	PARP16	54956	4.86242	3.81004
PARP2	PARP2	10038	41.4712	46.7515
PARP3	PARP3	10039	2.13897	2.59782
PARP4	PARP4	143	17.0747	14.4203
PARP6	PARP6	56965	35.1783	35.1239
PARP8	PARP8	79668	4.55967	3.84239
PARP9	PARP9	83666	5.19505	8.51383
PARPBP	PARPBP	55010	12.1886	10.1958
PARS2	PARS2	25973	2.47165	3.09189
PARVA	PARVA	55742	37.8846	30.9908
PARVB	PARVB	29780	0.813656	0.679693
PASK	PASK	23178	10.1442	8.45299
PATL1	PATL1	219988	19.1074	14.8278
PATL2	PATL2	197135	0.137699	0.311999
PATZ1	PATZ1	23598	41.814	31.8897
PAWR	PAWR	5074	18.3624	14.6515
PAX2	PAX2	5076	0	0
PAX3	PAX3	5077	32.0138	35.2366
PAX5	PAX5	5079	0.185452	0.0875475
PAX6	PAX6	5080	2.10803	3.59778
PAX7	PAX7	5081	0	0.00759295
PAX8	PAX8	7849	0.136061	0.360301
PAX8-AS1	PAX8-AS1	654433	0.0562507	0.18825
PAXBP1	PAXBP1	94104	39.8703	32.1425
PAXBP1-AS1	PAXBP1-AS1	100506215	2.40255	1.81236
PAXIP1	PAXIP1	22976	9.0135	6.50285
PAXIP1-AS1	PAXIP1-AS1	202781	4.23494	4.84263
PAXIP1-AS2	PAXIP1-AS2	100132707	1.27806	1.18178
PBDC1	PBDC1	51260	0.406244	0.484011
PBK	PBK	55872	37.5802	39.1603
PBLD	PBLD	64081	7.33328	4.73375
PBRM1	PBRM1	55193	42.2133	22.8145
PBX1	PBX1	5087	81.6469	68.7881
PBX2	PBX2	5089	0.392023	0.497136
PBX2P1	PBX2P1	5088	34.5696	26.0678
PBX3	PBX3	5090	40.0741	34.5065
PBX4	PBX4	80714	6.1615	7.28427
PBXIP1	PBXIP1	57326	24.7478	31.3989
PC	PC	5091	15.2761	16.4424
PCAT6	PCAT6	100506696	1.73087	2.48214
PCAT7	PCAT7	101928099	2.33902	3.13826
PCBD1	PCBD1	5092	14.8147	24.9847
PCBD2	PCBD2	84105	11.1904	11.9018
PCBP1	PCBP1	5093	165.066	169.059
PCBP1-AS1	PCBP1-AS1	400960	13.8715	14.844
PCBP2	PCBP2	5094	396.022	431.396
PCBP2P1	PCBP2P1	101060045	0.232128	0.051891
PCBP3	PCBP3	54039	0.653756	1.33223
PCBP4	PCBP4	57060	36.4281	34.3314
PCCA	PCCA	5095	13.7207	15.0625
PCCB	PCCB	5096	26.5709	27.9608
PCDH1	PCDH1	5097	10.5825	4.492
PCDH10	PCDH10	57575	2.69161	2.41611
PCDH11X	PCDH11X	27328	1.27577	0.755286
PCDH12	PCDH12	51294	0.457278	0.344074
PCDH15	PCDH15	65217	1.09305	0.401462
PCDH17	PCDH17	27253	3.51963	3.05363
PCDH18	PCDH18	54510	35.2448	25.7627
PCDH19	PCDH19	57526	4.93768	3.13493
PCDH20	PCDH20	64881	5.76638	5.23162
PCDH7	PCDH7	5099	24.3174	10.1766
PCDH8	PCDH8	5100	50.0809	109.149
PCDH9	PCDH9	5101	15.8914	8.41706
PCDHB3	PCDHB3	56132	0.427562	0.136234
PCDHGA1	PCDHGA1	56114	0.419289	0.224255
PCDHGA10	PCDHGA10	56106	46.8524	34.6067
PCDHGA11	PCDHGA11	56105	0.824768	0.34029
PCDHGA12	PCDHGA12	26025	0.39325	0.145314
PCDHGA2	PCDHGA2	56113	0.459232	0.179107
PCDHGA3	PCDHGA3	56112	0.159116	0.0895537
PCDHGA4	PCDHGA4	56111	1.13519	0.560638
PCDHGA5	PCDHGA5	56110	0.219072	0.134553
PCDHGA6	PCDHGA6	56109	0.39779	0.179107
PCDHGA7	PCDHGA7	56108	0.198895	0.0895537
PCDHGA8	PCDHGA8	9708	0.914917	0.470155
PCDHGA9	PCDHGA9	56107	0.517127	0.358214
PCDHGB1	PCDHGB1	56104	2.90303	1.51256
PCDHGB2	PCDHGB2	56103	1.33435	0.762468
PCDHGB3	PCDHGB3	56102	0.585334	0.209741
PCDHGB4	PCDHGB4	8641	26.9102	17.1138
PCDHGB6	PCDHGB6	56100	32.3856	20.5759
PCDHGB7	PCDHGB7	56099	11.0623	7.89759
PCDHGB8P	PCDHGB8P	56120	0.334894	0.159735
PCDHGC3	PCDHGC3	5098	23.9789	13.6294
PCDHGC4	PCDHGC4	56098	2.42729	1.59608
PCDHGC5	PCDHGC5	56097	0.841988	0.658546
PCED1A	PCED1A	64773	23.6253	27.4855
PCED1B	PCED1B	91523	0.961795	1.84148
PCF11	PCF11	51585	19.4206	12.5222
PCGF1	PCGF1	84759	7.54095	10.6925
PCGF2	PCGF2	7703	25.4014	26.727
PCGF3	PCGF3	10336	36.1283	28.8147
PCGF5	PCGF5	84333	5.02399	5.79469
PCGF6	PCGF6	84108	8.72354	11.2304
PCID2	PCID2	55795	18.403	20.4774
PCIF1	PCIF1	63935	17.3451	16.7274
PCK2	PCK2	5106	1.23111	2.53004
PCLO	PCLO	27445	1.19059	1.77571
PCM1	PCM1	5108	72.2158	62.7067
PCMT1	PCMT1	5110	57.0231	64.3324
PCMTD1	PCMTD1	115294	24.0576	20.2775
PCMTD2	PCMTD2	55251	33.7607	33.645
PCNA	PCNA	5111	182.462	186.945
PCNP	PCNP	57092	101.329	103.372
PCNPP1	PCNPP1	654427	1.14313	1.15452
PCNPP5	PCNPP5	100507361	1.73349	2.12385
PCNT	PCNT	5116	21.1613	15.3209
PCOLCE	PCOLCE	5118	9.78245	15.4524
PCOLCE-AS1	PCOLCE-AS1	100129845	0.102357	0.198709
PCOLCE2	PCOLCE2	26577	1.3975	1.98331
PCP4	PCP4	5121	1.22271	1.55742
PCP4L1	PCP4L1	654790	0.406588	0.198086
PCSK1	PCSK1	5122	0.00930673	0
PCSK1N	PCSK1N	27344	1.69887	1.09157
PCSK2	PCSK2	5126	3.09615	1.90603
PCSK4	PCSK4	54760	3.50535	6.90679
PCSK5	PCSK5	5125	0.726328	0.951912
PCSK6	PCSK6	5046	3.24033	1.42189
PCSK7	PCSK7	9159	17.4421	15.4209
PCSK9	PCSK9	255738	4.22758	2.49152
PCTP	PCTP	58488	5.33408	5.80859
PCYOX1	PCYOX1	51449	22.8833	19.469
PCYOX1L	PCYOX1L	78991	11.8476	13.0217
PCYT1A	PCYT1A	5130	19.3812	18.8908
PCYT1B	PCYT1B	9468	12.0823	10.7672
PCYT2	PCYT2	5833	12.0982	13.3387
PDAP1	PDAP1	11333	87.4492	95.4939
