	SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2
ITGA8	ITGA8	8516	4.32744	1.77312
ITGA9	ITGA9	3680	0.577366	0.323159
ITGAE	ITGAE	3682	39.4949	36.8828
ITGAV	ITGAV	3685	89.4494	74.7421
ITGB1	ITGB1	3688	227.728	203.251
ITGB1BP1	ITGB1BP1	9270	52.9042	53.17
ITGB1BP2	ITGB1BP2	26548	0.771752	0.348377
ITGB1P1	ITGB1P1	100422691	64.0773	51.462
ITGB2	ITGB2	3689	0.0237426	0
ITGB3BP	ITGB3BP	23421	17.5863	17.0381
ITGB4	ITGB4	3691	5.73112	17.2226
ITGB5	ITGB5	3693	169.842	227.517
ITGB5-AS1	ITGB5-AS1	100873992	0.170873	0.380991
ITGB7	ITGB7	3695	0.592798	0.579102
ITGB8	ITGB8	3696	32.6352	38.7187
ITGBL1	ITGBL1	9358	1.28575	0.189899
ITIH3	ITIH3	3699	0.241607	0.434062
ITIH4	ITIH4	3700	1.31733	2.18536
ITIH5	ITIH5	80760	0.414879	0.0406845
ITM2A	ITM2A	9452	3.78333	0.469393
ITM2B	ITM2B	9445	239.35	241.635
ITM2BP1	ITM2BP1	100420308	0.19455	0
ITM2C	ITM2C	81618	174.078	304.099
ITPA	ITPA	3704	58.3103	63.6456
ITPK1	ITPK1	3705	33.6419	36.1514
ITPKA	ITPKA	3706	0.885437	0.599553
ITPKB	ITPKB	3707	21.213	23.9581
ITPKC	ITPKC	80271	9.25639	8.19152
ITPR1	ITPR1	3708	1.81563	1.54835
ITPR2	ITPR2	3709	6.65035	10.0064
ITPR3	ITPR3	3710	1.1621	3.88529
ITPRIP	ITPRIP	85450	15.8547	12.7306
ITPRIPL1	ITPRIPL1	150771	1.33481	2.56667
ITPRIPL2	ITPRIPL2	162073	6.94916	6.2719
ITSN1	ITSN1	6453	35.0416	49.0834
ITSN2	ITSN2	50618	4.99442	4.54644
IVD	IVD	3712	32.9227	44.1835
IVNS1ABP	IVNS1ABP	10625	27.9003	32.2843
IWS1	IWS1	55677	26.9162	24.1684
IZUMO4	IZUMO4	113177	6.87105	8.03242
JADE1	JADE1	79960	10.9596	8.03039
JADE2	JADE2	23338	1.7046	1.66362
JAG2	JAG2	3714	0.471077	0.401438
JAGN1	JAGN1	84522	30.1054	28.303
JAK1	JAK1	3716	19.556	15.7464
JAK2	JAK2	3717	2.90161	2.0471
JAK3	JAK3	3718	0.16239	0.176635
JAKMIP2	JAKMIP2	9832	15.7754	18.3085
JAKMIP3	JAKMIP3	282973	0.218569	0.250885
JAM2	JAM2	58494	32.5015	28.8686
JAM3	JAM3	83700	60.0336	61.2025
JARID2	JARID2	3720	12.6787	10.0913
JAZF1	JAZF1	221895	7.38725	6.40763
JDP2	JDP2	122953	6.98802	2.84676
JKAMP	JKAMP	51528	59.2559	66.8755
JMJD1C	JMJD1C	221037	33.4761	26.1723
JMJD1C-AS1	JMJD1C-AS1	84989	0.385148	0
JMJD4	JMJD4	65094	5.89916	7.79085
JMJD6	JMJD6	23210	24.5144	12.9054
JMJD7	JMJD7	100137047	4.77075	6.4506
JMJD7-PLA2G4B	JMJD7-PLA2G4B	8681	2.44323	4.7434
JMJD8	JMJD8	339123	19.3529	20.2467
JMY	JMY	133746	4.32295	2.35333
JOSD1	JOSD1	9929	22.6973	19.5156
JOSD2	JOSD2	126119	18.1314	19.0677
JPH1	JPH1	56704	0.833224	1.30077
JPH3	JPH3	57338	0.71179	0.36263
JPH4	JPH4	84502	6.03869	7.52941
JPX	JPX	554203	25.9708	27.6627
JRKL	JRKL	8690	11.8125	9.97914
JSRP1	JSRP1	126306	0.298262	0.575414
JTB	JTB	10899	59.0095	54.0361
JUN	JUN	3725	120.756	106.026
JUNB	JUNB	3726	12.1818	9.43682
JUND	JUND	3727	57.1557	59.6144
KALRN	KALRN	8997	11.1092	10.2358
KANK1	KANK1	23189	21.4013	14.6955
KANK2	KANK2	25959	15.1735	15.4942
KANK3	KANK3	256949	0.202974	0.431362
KANK4	KANK4	163782	0.133247	0.0259249
KANSL1	KANSL1	284058	8.42527	8.61152
KANSL1-AS1	KANSL1-AS1	644246	0.141235	0.221076
KANSL1L	KANSL1L	151050	13.4018	9.95679
KANSL2	KANSL2	54934	23.8851	22.691
KANSL3	KANSL3	55683	13.8161	15.7645
KAT2A	KAT2A	2648	0.288902	0.75901
KAT2B	KAT2B	8850	20.9677	30.8003
KAT5	KAT5	10524	23.3636	34.6377
KAT6A	KAT6A	7994	10.9539	10.2185
KAT6B	KAT6B	23522	6.57433	8.37032
KAT7	KAT7	11143	49.9595	65.1655
KAT8	KAT8	84148	25.3247	30.6415
KATNA1	KATNA1	11104	13.7524	10.7156
KATNAL1	KATNAL1	84056	12.915	10.2224
KATNAL2	KATNAL2	83473	1.75534	1.84682
KATNB1	KATNB1	10300	7.03119	8.36526
KATNBL1	KATNBL1	79768	30.6271	35.4152
KATNBL1P6	KATNBL1P6	729176	1.71745	1.29438
KAZALD1	KAZALD1	81621	1.32972	1.37578
KAZN	KAZN	23254	18.8332	22.4014
KBTBD11	KBTBD11	9920	6.10438	7.32794
KBTBD11-OT1	KBTBD11-OT1	104266957	0.0736904	0.319087
KBTBD2	KBTBD2	25948	32.0394	24.5253
KBTBD3	KBTBD3	143879	4.78754	3.77536
KBTBD6	KBTBD6	89890	9.36995	8.68687
KBTBD7	KBTBD7	84078	3.89007	4.52791
KBTBD8	KBTBD8	84541	1.53524	1.08578
KCMF1	KCMF1	56888	30.9837	23.6174
KCNA1	KCNA1	3736	1.1593	0.549734
KCNA2	KCNA2	3737	3.42825	1.95965
KCNA3	KCNA3	3738	0.247367	0.092835
KCNA4	KCNA4	3739	0.0461237	0.0122501
KCNA6	KCNA6	3742	1.56365	0.5455
KCNAB1	KCNAB1	7881	0.391181	0.455127
KCNAB2	KCNAB2	8514	1.91759	1.40966
KCNAB3	KCNAB3	9196	3.92549	4.31011
KCNB1	KCNB1	3745	0.0787291	0.0751043
KCNB2	KCNB2	9312	0	0
KCNC1	KCNC1	3746	0.577181	1.41436
KCNC3	KCNC3	3748	3.34098	1.76829
KCNC4	KCNC4	3749	1.50136	1.82172
KCND2	KCND2	3751	2.06288	5.6762
KCND3	KCND3	3752	26.059	27.738
KCNE1	KCNE1	3753	0.331596	0.163688
KCNE2	KCNE2	9992	0.320633	0.0902675
KCNE4	KCNE4	23704	0.248794	0.126028
KCNF1	KCNF1	3754	13.8388	7.14049
KCNG1	KCNG1	3755	6.46671	5.16048
KCNG2	KCNG2	26251	0.136401	0.203271
KCNH1	KCNH1	3756	0.381023	0.268418
KCNH2	KCNH2	3757	3.17352	4.73434
KCNH3	KCNH3	23416	0.18732	0.119439
KCNH7	KCNH7	90134	0.0819475	0.174513
KCNH8	KCNH8	131096	0.576653	0.112698
KCNIP1	KCNIP1	30820	24.7963	20.5586
KCNIP2	KCNIP2	30819	13.049	19.0785
KCNIP2-AS1	KCNIP2-AS1	100289509	0.558155	0.495369
KCNIP3	KCNIP3	30818	1.74905	1.86254
KCNIP4	KCNIP4	80333	2.68289	1.884
KCNJ10	KCNJ10	3766	26.7564	18.8772
KCNJ11	KCNJ11	3767	0.0704643	0.0755572
KCNJ13	KCNJ13	3769	0.066562	0.601596
KCNJ14	KCNJ14	3770	1.06859	0.374858
KCNJ16	KCNJ16	3773	5.22873	5.08836
KCNJ2	KCNJ2	3759	8.72427	4.90898
KCNJ2-AS1	KCNJ2-AS1	400617	0.846241	0.738746
KCNJ3	KCNJ3	3760	0.00950354	0
KCNJ4	KCNJ4	3761	2.81799	1.72485
KCNJ5	KCNJ5	3762	0.00798403	0.0169459
KCNJ6	KCNJ6	3763	0.729575	1.25679
KCNJ8	KCNJ8	3764	5.45231	7.87839
KCNJ9	KCNJ9	3765	0.173051	0.257381
KCNK1	KCNK1	3775	0.138586	0
KCNK10	KCNK10	54207	3.92266	4.70355
KCNK12	KCNK12	56660	0.193289	0.08876
KCNK2	KCNK2	3776	1.91813	1.46991
KCNK3	KCNK3	3777	0.0230614	0.1142
KCNK5	KCNK5	8645	0.0772617	0.0136856
KCNK6	KCNK6	9424	0.241162	0.316977
KCNK7	KCNK7	10089	0.87192	0.0444894
KCNK9	KCNK9	51305	0.680379	0.0894051
KCNMA1	KCNMA1	3778	11.8315	7.91654
KCNMB1	KCNMB1	3779	0.245518	0.170061
KCNMB2	KCNMB2	10242	0.152187	0.53443
KCNMB3	KCNMB3	27094	0.789393	1.48068
KCNMB4	KCNMB4	27345	3.16467	2.79156
KCNN1	KCNN1	3780	0.775704	0.369458
KCNN2	KCNN2	3781	0.315841	0.452602
KCNN3	KCNN3	3782	1.80792	1.10599
KCNN4	KCNN4	3783	8.39426	15.4477
KCNQ1	KCNQ1	3784	0.115892	0.582671
KCNQ1OT1	KCNQ1OT1	10984	0.168561	0.156705
KCNQ2	KCNQ2	3785	29.8574	39.399
KCNQ3	KCNQ3	3786	2.57422	0.877844
KCNQ4	KCNQ4	9132	0.258323	0.248582
KCNQ5	KCNQ5	56479	0.529551	0.45111
KCNRG	KCNRG	283518	0.277671	0.516652
KCNS3	KCNS3	3790	0.150049	0.0228334
KCNT2	KCNT2	343450	3.32298	2.94008
KCNV2	KCNV2	169522	0.115085	0.122687
KCP	KCP	375616	0.0775292	0.109837
KCTD1	KCTD1	284252	8.30323	12.2441
KCTD10	KCTD10	83892	38.5851	45.8373
KCTD11	KCTD11	147040	6.82234	7.83827
KCTD12	KCTD12	115207	9.60976	13.4964
KCTD13	KCTD13	253980	13.9174	15.0824
KCTD14	KCTD14	65987	0.272622	0.39259
KCTD15	KCTD15	79047	12.491	13.4455
KCTD16	KCTD16	57528	0.246945	1.43872
KCTD17	KCTD17	79734	21.5175	29.4497
KCTD18	KCTD18	130535	7.36775	6.9318
KCTD2	KCTD2	23510	16.7162	18.2333
KCTD20	KCTD20	222658	37.9606	33.1484
KCTD21	KCTD21	283219	7.28227	6.59631
KCTD21-AS1	KCTD21-AS1	100289388	1.23006	1.54846
KCTD3	KCTD3	51133	27.6094	27.3143
KCTD4	KCTD4	386618	0.0274244	0.146414
KCTD5	KCTD5	54442	33.8359	31.0797
KCTD6	KCTD6	200845	25.2367	24.1295
KCTD7	KCTD7	154881	12.9897	13.7323
KCTD8	KCTD8	386617	0	0.0204046
KCTD9	KCTD9	54793	10.9887	9.76047
KCTD9P2	KCTD9P2	643535	0.223652	0.120401
KDELR1	KDELR1	10945	112.805	132.261
KDELR2	KDELR2	11014	103.715	92.6728
KDELR3	KDELR3	11015	8.10107	8.55464
KDM1A	KDM1A	23028	67.4449	64.057
KDM1B	KDM1B	221656	7.67616	8.60196
KDM2A	KDM2A	22992	18.8476	17.8819
KDM2B	KDM2B	84678	1.06388	1.15356
KDM3A	KDM3A	55818	21.4158	17.3765
KDM3B	KDM3B	51780	36.58	44.7991
KDM4A	KDM4A	9682	29.203	30.4801
KDM4A-AS1	KDM4A-AS1	100132774	2.43945	3.59196
KDM4B	KDM4B	23030	12.061	14.0765
KDM4C	KDM4C	23081	5.35315	6.14605
KDM5A	KDM5A	5927	9.13379	7.32819
KDM5B	KDM5B	10765	33.4633	27.6316
KDM5D	KDM5D	8284	0.0101771	0
KDM6A	KDM6A	7403	10.7286	8.267
KDM6B	KDM6B	23135	9.12905	8.88949
KDM7A	KDM7A	80853	2.13136	1.18049
KDM8	KDM8	79831	2.10644	3.86685
KDR	KDR	3791	23.4069	26.8727
KDSR	KDSR	2531	21.3527	14.6572
KEAP1	KEAP1	9817	32.4906	32.1969
KHDC1	KHDC1	80759	1.4167	1.73304
KHDC1L	KHDC1L	100129128	0	0
KHDRBS1	KHDRBS1	10657	92.0035	95.5579
KHDRBS2	KHDRBS2	202559	0.193019	0.022852
KHDRBS3	KHDRBS3	10656	72.4716	73.5857
KHK	KHK	3795	2.50442	3.26541
KHNYN	KHNYN	23351	17.5827	22.9487
KHSRP	KHSRP	8570	113.858	135.493
KIAA0040	KIAA0040	9674	4.95168	0.537525
KIAA0100	KIAA0100	9703	29.5988	46.8736
KIAA0232	KIAA0232	9778	14.0502	12.9086
KIAA0319	KIAA0319	9856	0.149925	0.113601
KIAA0319L	KIAA0319L	79932	24.5876	37.3589
KIAA0355	KIAA0355	9710	6.31494	6.10822
KIAA0408	KIAA0408	9729	22.5369	26.4661
KIAA0513	KIAA0513	9764	3.8878	5.7011
KIAA0556	KIAA0556	23247	6.46715	10.9816
KIAA0586	KIAA0586	9786	12.8507	8.16423
KIAA0753	KIAA0753	9851	12.4622	12.1352
KIAA0754	KIAA0754	643314	8.97788	11.2703
KIAA0825	KIAA0825	285600	0.694534	0.519542
KIAA0895	KIAA0895	23366	5.07413	5.90657
KIAA0895L	KIAA0895L	653319	20.3436	38.4414
KIAA0930	KIAA0930	23313	15.7042	12.9035
KIAA1107	KIAA1107	23285	1.00955	1.23972
KIAA1109	KIAA1109	84162	17.5749	18.8581
KIAA1143	KIAA1143	57456	11.4784	12.1015
KIAA1191	KIAA1191	57179	68.4041	69.2582
KIAA1211L	KIAA1211L	343990	2.8622	1.29803
KIAA1217	KIAA1217	56243	2.48972	2.17725
KIAA1257	KIAA1257	57501	1.48599	3.82356
KIAA1324	KIAA1324	57535	0.543185	0.630774
KIAA1324L	KIAA1324L	222223	9.21455	10.5485
KIAA1328	KIAA1328	57536	3.78716	3.55477
KIAA1522	KIAA1522	57648	2.0758	2.0931
KIAA1549	KIAA1549	57670	5.14645	5.76537
KIAA1549L	KIAA1549L	25758	9.73627	17.0554
KIAA1586	KIAA1586	57691	8.84224	8.63159
KIAA1614	KIAA1614	57710	1.8111	2.07347
KIAA1671	KIAA1671	85379	4.60471	3.5667
KIAA1755	KIAA1755	85449	2.13147	0.561656
KIAA1841	KIAA1841	84542	21.769	22.0571
KIAA1958	KIAA1958	158405	7.79549	6.06385
KIAA2013	KIAA2013	90231	16.4011	17.8944
KIAA2026	KIAA2026	158358	11.5441	10.0678
KIDINS220	KIDINS220	57498	37.3787	41.3324
KIF11	KIF11	3832	27.5199	23.3311
KIF12	KIF12	113220	0.230466	0.165003
KIF13A	KIF13A	63971	12.3875	10.801
KIF13B	KIF13B	23303	3.09123	6.03726
KIF14	KIF14	9928	8.41113	5.71213
KIF15	KIF15	56992	12.1936	16.9085
KIF16B	KIF16B	55614	0.774028	1.10858
KIF17	KIF17	57576	0.675093	1.02307
KIF18A	KIF18A	81930	10.7783	7.24977
KIF18B	KIF18B	146909	18.7114	20.4855
KIF19	KIF19	124602	0.117223	0.295749
KIF1A	KIF1A	547	41.3524	49.6839
KIF1B	KIF1B	23095	59.4718	59.2797
KIF1C	KIF1C	10749	19.4847	28.4232
KIF20A	KIF20A	10112	28.2374	23.6259
KIF20B	KIF20B	9585	12.7414	9.27532
KIF21A	KIF21A	55605	45.8578	64.5764
KIF21B	KIF21B	23046	0.831021	0.657257
KIF22	KIF22	3835	39.2533	55.2213
KIF23	KIF23	9493	26.5493	22.5466
KIF24	KIF24	347240	2.64159	3.52382
KIF25	KIF25	3834	0	0
KIF26A	KIF26A	26153	0.126952	0.55243
KIF26B	KIF26B	55083	5.47216	3.744
KIF27	KIF27	55582	1.72738	1.40813
KIF2A	KIF2A	3796	28.7659	23.806
KIF2C	KIF2C	11004	32.2594	26.2583
KIF3A	KIF3A	11127	13.299	11.6327
KIF3B	KIF3B	9371	18.9283	20.6958
KIF3C	KIF3C	3797	24.5139	23.5531
KIF4A	KIF4A	24137	22.2201	17.4509
KIF4B	KIF4B	285643	0.216783	0.241768
KIF5A	KIF5A	3798	11.8052	11.1289
KIF5B	KIF5B	3799	84.5999	69.9331
KIF5C	KIF5C	3800	41.9667	62.0462
KIF6	KIF6	221458	0.296347	0.676857
KIF7	KIF7	374654	3.39629	4.78477
KIF9	KIF9	64147	8.59264	7.8481
KIF9-AS1	KIF9-AS1	285352	1.69542	0.704118
KIFAP3	KIFAP3	22920	38.0724	22.6797
KIFC1	KIFC1	3833	0.0913223	0.0194334
KIFC2	KIFC2	90990	20.3769	31.4528
KIFC3	KIFC3	3801	0.869439	0.730585
KIN	KIN	22944	14.5312	10.9738
KIRREL2	KIRREL2	84063	0.133511	0.0887858
KIRREL3	KIRREL3	84623	0.628636	0.346447
KISS1R	KISS1R	84634	0.0966313	0.0674735
KIT	KIT	3815	0.376771	0.851857
KITLG	KITLG	4254	41.8517	28.4199
KLC1	KLC1	3831	156.813	174.332
KLC2	KLC2	64837	20.3317	27.0704
KLC4	KLC4	89953	14.9517	23.5583
KLF10	KLF10	7071	7.53556	3.79216
KLF11	KLF11	8462	2.49214	3.26801
KLF12	KLF12	11278	9.08299	8.00419
KLF13	KLF13	51621	26.2954	20.9026
KLF15	KLF15	28999	3.66082	4.77718
KLF16	KLF16	83855	12.7034	11.1298
KLF2	KLF2	10365	1.45562	0.804357
KLF2P1	KLF2P1	106480253	0	0.116225
KLF3	KLF3	51274	28.4679	18.5595
KLF4	KLF4	9314	0.529895	0.348333
KLF5	KLF5	688	1.08946	0.944518
KLF6	KLF6	1316	36.3388	40.397
KLF7	KLF7	8609	11.0281	8.6776
KLF7-IT1	KLF7-IT1	100874272	0.297543	0.324566
KLF8	KLF8	11279	0.985941	1.23763
KLF9	KLF9	687	1.66364	0.74159
KLHDC1	KLHDC1	122773	1.08355	1.75956
KLHDC10	KLHDC10	23008	12.239	10.9585
KLHDC2	KLHDC2	23588	32.9889	30.4386
KLHDC3	KLHDC3	116138	63.7132	70.238
KLHDC4	KLHDC4	54758	11.124	15.8143
KLHDC8A	KLHDC8A	55220	186.474	331.044
KLHDC8B	KLHDC8B	200942	21.1825	25.636
KLHDC9	KLHDC9	126823	7.10141	11.024
KLHL12	KLHL12	59349	18.5072	20.935
KLHL13	KLHL13	90293	5.04066	4.466
KLHL14	KLHL14	57565	0.123195	0.0473296
KLHL15	KLHL15	80311	2.57388	1.75402
KLHL17	KLHL17	339451	9.66121	18.6052
KLHL18	KLHL18	23276	10.1183	11.0784
KLHL2	KLHL2	11275	11.2427	11.4161
KLHL20	KLHL20	27252	11.7294	10.5551
KLHL21	KLHL21	9903	12.6669	11.7318
KLHL22	KLHL22	84861	16.7752	22.3122
KLHL23	KLHL23	151230	13.4196	14.7998
KLHL24	KLHL24	54800	8.88596	4.94478
KLHL25	KLHL25	64410	19.4462	21.4159
KLHL26	KLHL26	55295	5.76222	5.60245
KLHL28	KLHL28	54813	5.93685	3.85776
KLHL29	KLHL29	114818	2.3671	5.18179
KLHL2P1	KLHL2P1	729249	0	0
KLHL3	KLHL3	26249	0.256736	0.637904
KLHL31	KLHL31	401265	0.272824	0.105293
KLHL32	KLHL32	114792	0.474031	0.616563
KLHL35	KLHL35	283212	0.960759	0.868774
KLHL36	KLHL36	79786	13.1734	11.5894
KLHL4	KLHL4	56062	19.9848	18.6498
KLHL41	KLHL41	10324	0.386946	0.144169
KLHL42	KLHL42	57542	13.1465	16.7408
KLHL5	KLHL5	51088	21.4122	21.0904
KLHL7	KLHL7	55975	82.9446	97.6267
KLHL8	KLHL8	57563	4.86423	4.33003
KLHL9	KLHL9	55958	36.4944	36.1823
KLK14	KLK14	43847	0.195124	0.262039
KLKB1	KLKB1	3818	0.786462	0.337907
KLLN	KLLN	100144748	0.652057	0.787652
KLRG1	KLRG1	10219	2.77633	2.48665
KLRK1	KLRK1	22914	0.119934	0.108189
KMT2A	KMT2A	4297	1.82642	1.32619
KMT2C	KMT2C	58508	13.5136	11.5041
KMT2D	KMT2D	8085	20.7306	19.9224
KMT2E	KMT2E	55904	27.6489	23.7627
KMT2E-AS1	KMT2E-AS1	100216545	1.86248	1.87857
KNDC1	KNDC1	85442	0.267498	0.478409
KNOP1	KNOP1	400506	23.6308	23.5586
KNSTRN	KNSTRN	90417	35.1989	31.9477
KNTC1	KNTC1	9735	20.2901	30.118
KPNA1	KPNA1	3836	25.1093	29.4775
KPNA2	KPNA2	3838	4.08427	3.09342
KPNA3	KPNA3	3839	34.6229	25.8489
KPNA4	KPNA4	3840	19.8706	13.3961
KPNA5	KPNA5	3841	6.95552	4.68161
KPNA6	KPNA6	23633	16.7831	13.345
KPNB1	KPNB1	3837	168.045	170.014
KPTN	KPTN	11133	8.72586	8.65718
KRAS	KRAS	3845	22.4872	15.5087
KRBA1	KRBA1	84626	6.01789	9.5369
KRBA2	KRBA2	124751	2.50778	3.20494
KRBOX4	KRBOX4	55634	10.4334	10.117
KRCC1	KRCC1	51315	21.9345	20.413
KREMEN1	KREMEN1	83999	11.3685	18.0189
KREMEN2	KREMEN2	79412	0.45107	0.453864
KRI1	KRI1	65095	12.7272	14.5453
KRIT1	KRIT1	889	17.8514	16.1716
KRR1	KRR1	11103	17.1599	13.3561
KRR1P1	KRR1P1	100422486	0	0
KRT10	KRT10	3858	10.6426	11.7785
KRT17	KRT17	3872	0.172294	0.184305
KRT18	KRT18	3875	1.89835	0.74078
KRT18P34	KRT18P34	391589	0.425799	0.542774
KRT18P4	KRT18P4	391256	0.0418804	0.224503
KRT18P5	KRT18P5	728300	0.417668	0.850752
KRT18P59	KRT18P59	399965	0.0583554	0.333319
KRT18P63	KRT18P63	100288868	0.0583293	0.0628482
KRT8	KRT8	3856	0.731105	0.408382
KRT80	KRT80	144501	0.672561	1.43383
KRT8P12	KRT8P12	90133	5.88376	4.84208
KRT8P15	KRT8P15	645834	0.145831	0.234133
KRT8P33	KRT8P33	100418737	0.522012	0.23952
KRT8P39	KRT8P39	100418781	0.147944	0.277163
KRT8P46	KRT8P46	100418744	0.148798	0.199121
KRTAP5-1	KRTAP5-1	387264	0.183624	0.132015
KRTAP5-AS1	KRTAP5-AS1	338651	0.33694	0.0707868
KRTCAP2	KRTCAP2	200185	75.5294	87.2596
KRTCAP3	KRTCAP3	200634	2.68465	1.95691
KSR1	KSR1	8844	37.2544	58.408
KTI12	KTI12	112970	6.66354	6.69106
KTN1	KTN1	3895	95.9263	86.815
KTN1-AS1	KTN1-AS1	100129075	2.79089	1.71296
KXD1	KXD1	79036	54.2187	62.2251
L1CAM	L1CAM	3897	0.686438	0.793108
L1TD1	L1TD1	54596	0.22589	0
L2HGDH	L2HGDH	79944	3.83292	3.21303
L3HYPDH	L3HYPDH	112849	33.4664	44.3274
L3MBTL1	L3MBTL1	26013	8.8647	8.22508
L3MBTL2	L3MBTL2	83746	10.4294	15.5646
L3MBTL3	L3MBTL3	84456	7.75842	12.2226
L3MBTL4	L3MBTL4	91133	0.741122	1.46991
LACC1	LACC1	144811	1.2374	1.28971
LACTB	LACTB	114294	9.50782	5.51963
LACTB2	LACTB2	51110	4.62928	6.12156
LAG3	LAG3	3902	0.609541	0.874896
LAGE3	LAGE3	8270	0.0606417	3.07313
LAMA1	LAMA1	284217	28.9699	32.4711
LAMA2	LAMA2	3908	2.26848	2.35766
LAMA3	LAMA3	3909	0.246855	0.0441582
LAMA5	LAMA5	3911	35.3408	58.6722
LAMB1	LAMB1	3912	98.9096	72.0883
LAMB2	LAMB2	3913	150.634	244.679
LAMB3	LAMB3	3914	0.393476	0.308732
LAMB4	LAMB4	22798	0.60309	0.149477
LAMC1	LAMC1	3915	171.486	166.474
LAMC2	LAMC2	3918	0.46686	0.0786625
LAMC3	LAMC3	10319	0.621056	0.0409868
LAMP1	LAMP1	3916	158.705	177.499
LAMP2	LAMP2	3920	89.5612	89.9387
LAMP3	LAMP3	27074	0.173027	0.0775064
LAMP5	LAMP5	24141	3.30495	0.742133
LAMTOR1	LAMTOR1	55004	58.6775	74.9215
LAMTOR2	LAMTOR2	28956	49.7327	63.4887
LAMTOR3	LAMTOR3	8649	47.5649	40.2837
LAMTOR4	LAMTOR4	389541	90.6872	115.824
LAMTOR5	LAMTOR5	10542	138.572	154.351
LAMTOR5-AS1	LAMTOR5-AS1	101410535	0.999822	0.892808
LANCL1	LANCL1	10314	23.7742	24.4253
LANCL2	LANCL2	55915	12.3517	11.2493
LAP3	LAP3	51056	41.9543	49.2443
LAP3P2	LAP3P2	389386	0.400075	0.311427
LAPTM4A	LAPTM4A	9741	160.469	115.857
LAPTM4B	LAPTM4B	55353	133.082	110.538
LAPTM5	LAPTM5	7805	0.248575	0.0481738
LARP1	LARP1	23367	36.6426	43.5368
LARP1B	LARP1B	55132	10.4026	8.50216
LARP4	LARP4	113251	18.932	12.8369
LARP4B	LARP4B	23185	14.6444	13.6966
LARP6	LARP6	55323	22.8144	12.8184
LARP7	LARP7	51574	47.0031	44.3889
LARS2	LARS2	23395	13.7626	16.807
LAS1L	LAS1L	81887	17.0092	25.3735
LASP1	LASP1	3927	66.6057	66.6907
LAT	LAT	27040	2.64388	2.89538
LATS1	LATS1	9113	8.25148	7.36469
LATS2	LATS2	26524	4.03791	3.48009
LAYN	LAYN	143903	2.20306	5.06317
LBH	LBH	81606	15.491	24.6689
LBR	LBR	3930	39.0068	37.2225
LBX2	LBX2	85474	0.212546	0.0714431
LBX2-AS1	LBX2-AS1	151534	0.22047	0.181244
LCA5	LCA5	167691	3.1587	0.627271
LCA5L	LCA5L	150082	2.2519	1.79046
LCAT	LCAT	3931	23.7181	65.0382
LCLAT1	LCLAT1	253558	5.70429	4.64493
LCMT1	LCMT1	51451	26.2387	28.5818
LCMT2	LCMT2	9836	5.98505	6.9987
LCN12	LCN12	286256	0.919693	0.672161
LCNL1	LCNL1	401562	0.184847	0.256067
LCOR	LCOR	84458	7.73535	4.94467
LCORL	LCORL	254251	7.0295	6.24206
LCP1	LCP1	3936	0.149337	0.0367401
LCTL	LCTL	197021	9.92479	19.5856
LDB1	LDB1	8861	25.6148	28.3465
LDB2	LDB2	9079	3.54913	1.82915
LDB3	LDB3	11155	0.743981	0.0437284
LDHA	LDHA	3939	21.5051	21.3276
LDHAP2	LDHAP2	100190799	0.23774	0.788214
LDHAP4	LDHAP4	158222	1.19603	1.22681
LDHAP7	LDHAP7	100190800	0.178158	0.128015
LDHB	LDHB	3945	678.549	699.531
LDHD	LDHD	197257	0.232843	0.798746
LDLR	LDLR	3949	39.9453	38.41
LDLRAD2	LDLRAD2	401944	0.163059	0.145306
LDLRAD3	LDLRAD3	143458	58.4875	54.6416
LDLRAD4	LDLRAD4	753	5.05297	6.11728
LDLRAP1	LDLRAP1	26119	4.29643	5.19967
LEAP2	LEAP2	116842	1.44689	1.74561
LEF1	LEF1	51176	9.02674	4.14095
LEF1-AS1	LEF1-AS1	641518	0.552913	0.141731
LEFTY1	LEFTY1	10637	0.198244	0.0369245
LEMD1	LEMD1	93273	10.6117	6.94268
LEMD2	LEMD2	221496	49.759	61.9086
LEMD3	LEMD3	23592	12.0484	10.267
LENEP	LENEP	55891	0.3014	0
LENG8	LENG8	114823	1.48045	0.825897
LEO1	LEO1	123169	17.6611	18.778
LEPR	LEPR	3953	2.66529	3.54238
LEPROT	LEPROT	54741	25.1972	33.1837
LEPROTL1	LEPROTL1	23484	39.2306	37.9842
LETM1	LETM1	3954	15.0989	19.2915
LETM2	LETM2	137994	5.28745	4.31528
LETMD1	LETMD1	25875	24.2991	24.5253
LFNG	LFNG	3955	22.7985	17.9925
LGALS1	LGALS1	3956	680.184	752.891
LGALS3	LGALS3	3958	215.145	209.491
LGALS3BP	LGALS3BP	3959	104.014	159.743
LGALS4	LGALS4	3960	0.389925	0.0853092
LGALS8	LGALS8	3964	13.8626	13.3318
LGALS9	LGALS9	3965	4.81385	2.87978
LGALSL	LGALSL	29094	9.12251	8.1802
LGI1	LGI1	9211	15.604	27.8615
LGI2	LGI2	55203	0.5593	1.03071
LGI4	LGI4	163175	0.147117	0.112217
LGMN	LGMN	5641	40.9123	44.6171
LGR4	LGR4	55366	67.0865	53.8013
LGR5	LGR5	8549	0.407828	0.403708
LGR6	LGR6	59352	0.199908	0.122554
LHFPL1	LHFPL1	340596	0	0.166331
