SYMBOL,ENTREZID,Control 1a C1A_NA,Control 1b C1B_NA,Control 2a C2A_NA,Control 2b C2B_NA,Control 3a C3a_NA,Control 3b C3b_NA,Control 4a C4a_NA,Tissue (HPA),Cell type (HPA),Level (HPA),Reliability (HPA)
IRX2,153572,1.98468,1.93416,3.3118,2.6342,0.708935,0.898302,0.393569,NA,NA,NA,NA
IRX3,79191,5.51809,5.57289,7.09266,6.75146,0,0,0.175439,NA,NA,NA,NA
IRX5,10265,1.46483,1.30281,1.46459,1.2415,0,0,0.157409,NA,NA,NA,NA
ISCA1,81689,6.19794,5.8564,6.94743,8.24993,5.83592,6.18546,8.20023,NA,NA,NA,NA
ISCA1P1,389293,0.707919,1.87264,0.740548,0.948657,1.50029,1.06564,1.37426,NA,NA,NA,NA
ISCA2,122961,14.5313,15.9174,17.0719,16.0588,18.0895,17.8529,20.8067,cerebral-cortex,glial-cells,Medium,Approved
ISCU,23479,81.6712,83.2738,82.3968,74.8453,96.5923,103.422,163.414,cerebral-cortex,glial-cells,Low,Approved
ISG15,9636,68.8196,63.3235,15.6004,13.5685,31.0046,40.4171,225.14,NA,NA,NA,NA
ISG20,3669,10.156,6.11098,3.7156,2.78591,1.12418,1.12865,1.99818,NA,NA,NA,NA
ISG20L2,81875,39.3044,35.3907,28.1712,26.8288,29.7865,26.5472,43.3071,cerebral-cortex,glial-cells,Medium,Approved
ISLR,3671,2.93828,2.82877,1.45938,0.841306,0,0,0.115072,NA,NA,NA,NA
ISLR2,57611,0.253087,0.490479,0.169728,0.336324,0.0114549,0.0191948,1.90471,NA,NA,NA,NA
ISOC1,51015,4.14897,4.25691,4.73209,5.5681,2.96809,4.76735,3.51453,NA,NA,NA,NA
ISOC2,79763,34.7835,36.1179,36.4261,29.5733,51.8257,53.1052,81.1847,cerebral-cortex,glial-cells,Medium,Enhanced
IST1,9798,96.7681,100.119,90.0079,88.9407,93.044,96.5311,124.459,cerebral-cortex,glial-cells,Medium,Approved
ISY1,57461,27.6802,26.664,28.3923,24.3381,27.7486,33.7404,26.1985,cerebral-cortex,glial-cells,High,Supported
ISYNA1,51477,47.9139,50.9172,13.3672,9.60371,28.8109,31.2007,41.4027,NA,NA,NA,NA
ITCH,83737,25.2071,24.2031,18.6008,22.1482,20.9184,23.3468,16.3238,cerebral-cortex,glial-cells,Low,Supported
ITFG1,81533,53.8468,55.2105,55.3222,55.4775,92.259,90.8426,73.7789,cerebral-cortex,glial-cells,Low,Approved
ITFG2,55846,29.1135,27.1617,27.1454,29.1586,30.601,19.4634,26.5951,NA,NA,NA,NA
ITGA1,3672,71.9414,77.032,37.2559,33.9996,123.965,150.715,27.2162,NA,NA,NA,NA
ITGA11,22801,168.539,163.337,434.216,308.572,232.015,241.711,316.227,NA,NA,NA,NA
ITGA2,3673,10.4844,9.9286,6.70431,11.2121,12.4348,14.4457,13.2997,NA,NA,NA,NA
ITGA2B,3674,1.14793,0.0116475,0.324009,0.330278,0.336344,0,0,NA,NA,NA,NA
ITGA3,3675,150.705,123.562,460.363,425.5,565.277,481.143,652.479,NA,NA,NA,NA
ITGA4,3676,8.3254,9.08939,8.90716,7.7647,26.2525,24.1251,2.34993,NA,NA,NA,NA
ITGA5,3678,372.088,357.564,560.196,494.904,472.865,556.345,422.339,NA,NA,NA,NA
ITGA6,3655,3.66664,4.99865,13.7578,15.2599,55.2523,35.4059,49.5294,NA,NA,NA,NA
ITGA7,3679,16.3245,16.0403,9.02973,9.65468,4.5982,3.3532,2.6204,NA,NA,NA,NA
ITGA8,8516,14.6302,17.812,0,0.0215433,0.0141853,0.0226701,0.396607,NA,NA,NA,NA
ITGAE,3682,22.5307,21.8176,16.5276,13.4273,42.9382,39.4269,47.4162,NA,NA,NA,NA
ITGAV,3685,180.677,184.594,146.78,147.686,126.403,131.939,42.8375,cerebral-cortex,glial-cells,Low,Supported
ITGB1,3688,1738.42,1735.22,2665.47,2841.33,4091.54,4388.8,1675.34,NA,NA,NA,NA
ITGB1BP1,9270,138.816,134.286,127.777,142.616,229.729,221.173,213.289,NA,NA,NA,NA
ITGB1BP2,26548,0.693731,0.67106,1.35439,1.19979,9.00973,10.8966,9.10035,NA,NA,NA,NA
ITGB1P1,100422691,105.321,107.257,161.337,165.03,259.924,275.109,103.529,NA,NA,NA,NA
ITGB2,3689,0.276078,0.324133,0,0.0994628,0,0.549191,0.022148,cerebral-cortex,glial-cells,Low,Enhanced
ITGB3BP,23421,10.3031,11.1973,6.12489,8.61796,3.14628,4.19599,2.1685,cerebral-cortex,glial-cells,Low,Approved
ITGB4,3691,0.207705,0.655714,0.752496,0.291904,0.368854,0.561282,0.253573,NA,NA,NA,NA
ITGB5,3693,193.65,204.971,236.109,223.765,445.449,458.941,594.736,cerebral-cortex,glial-cells,Low,Approved
ITGB6,3694,0.363674,0.0243016,0.700594,0.421922,0.0444515,0.205535,0.111153,NA,NA,NA,NA
ITGB7,3695,1.00843,0.757815,0.793205,0.770084,0.293547,0.303857,0.693778,NA,NA,NA,NA
ITGB8,3696,0.472932,0.574202,1.35338,1.68666,2.26324,1.74628,0.158809,cerebral-cortex,glial-cells,Medium,Enhanced
ITGBL1,9358,92.4399,101.991,5.62785,5.9909,0.432605,0.187374,77.15,NA,NA,NA,NA
ITIH3,3699,1.04463,0.696899,3.56891,2.55835,3.65431,2.14292,2.39464,NA,NA,NA,NA
ITIH4,3700,3.69256,4.1748,1.04696,1.21129,0.575614,0.699754,2.12909,NA,NA,NA,NA
ITIH4-AS1,100873993,0.581155,0.359184,0.744954,0.156514,0.146672,0,0,NA,NA,NA,NA
ITM2A,9452,0,0.108215,0.399338,0.372771,0.0685856,0,0.485995,NA,NA,NA,NA
ITM2B,9445,295.323,309.7,257.91,257.172,421.927,438.317,516.068,cerebral-cortex,glial-cells,Medium,Approved
ITM2C,81618,158.465,155.601,172.478,151.156,227.037,261.761,327.864,NA,NA,NA,NA
ITPA,3704,46.9504,45.1192,82.3392,65.4907,71.9245,75.5313,72.7187,cerebral-cortex,glial-cells,Low,Approved
ITPK1,3705,16.6822,17.2328,17.1109,14.9948,17.4778,16.0064,27.65,NA,NA,NA,NA
ITPKA,3706,0.138643,0.193378,0.452777,0.696864,0.229442,0.374224,0.157735,cerebral-cortex,glial-cells,Low,Enhanced
ITPKB,3707,1.77126,2.14599,1.18222,1.17085,0.743319,0.744466,0.426761,cerebral-cortex,glial-cells,Medium,Enhanced
ITPKC,80271,7.9491,7.3529,8.86469,4.93348,9.996,9.1301,11.4702,cerebral-cortex,glial-cells,Medium,Approved
ITPR1,3708,1.24289,1.04684,2.71562,2.89634,6.07184,5.97327,3.95274,NA,NA,NA,NA
ITPR2,3709,2.67078,3.6919,4.30346,2.91626,2.25583,2.74402,1.52211,NA,NA,NA,NA
ITPR3,3710,5.70215,5.22544,2.25941,2.27337,0.953956,0.935844,1.293,cerebral-cortex,glial-cells,Low,Approved
ITPRIP,85450,19.8027,18.369,29.1125,28.368,22.7218,31.7894,20.7488,NA,NA,NA,NA
ITPRIPL1,150771,0.334518,0.357488,0.89423,0.525179,0.117166,0.0841196,0,NA,NA,NA,NA
ITPRIPL2,162073,9.49501,8.66008,11.3874,10.0921,9.6149,10.4354,12.111,NA,NA,NA,NA
ITSN1,6453,20.0528,29.705,29.3609,25.574,37.1359,20.0133,17.5635,NA,NA,NA,NA
ITSN2,50618,7.72341,7.82588,6.83168,7.70598,8.84141,9.43256,3.00704,cerebral-cortex,glial-cells,High,Approved
IVD,3712,28.9242,35.3999,22.1711,23.1638,31.4771,35.3225,57.2091,cerebral-cortex,glial-cells,Medium,Enhanced
IVNS1ABP,10625,25.9768,23.9502,25.5241,25.548,13.5596,13.3031,20.1665,cerebral-cortex,glial-cells,Low,Approved
IWS1,55677,24.8983,24.2022,21.8933,21.3966,21.8962,22.9012,15.0255,cerebral-cortex,glial-cells,Low,Supported
IZUMO4,113177,2.51709,2.02721,1.13791,1.21788,2.95194,3.52125,6.65756,NA,NA,NA,NA
JADE1,79960,9.00377,8.5159,7.15531,5.40935,11.7952,10.509,8.39991,cerebral-cortex,glial-cells,Medium,Approved
JADE2,23338,3.57138,3.11104,5.85897,5.58199,4.42594,5.72182,6.43322,NA,NA,NA,NA
JAG2,3714,0.222102,0.42295,0.597989,0.623062,1.47777,1.43674,3.92373,cerebral-cortex,glial-cells,Low,Approved
JAGN1,84522,18.4846,17.7417,17.6332,17.5084,20.5036,16.6992,27.4224,NA,NA,NA,NA
JAK1,3716,52.5752,51.8005,50.6811,45.9797,38.8008,36.5727,36.7792,cerebral-cortex,glial-cells,Low,Approved
JAK2,3717,6.60808,5.89499,3.24337,6.30743,3.4296,2.8638,1.10936,NA,NA,NA,NA
JAK3,3718,3.01956,2.64899,1.00367,0.961995,1.55838,1.62045,2.59358,NA,NA,NA,NA
JAKMIP2,9832,0.579582,0.549941,2.57068,2.99002,1.04177,1.54993,0.998902,NA,NA,NA,NA
JAM2,58494,0.586494,0.254564,2.45216,2.65005,0.186929,0.428505,0.484491,NA,NA,NA,NA
JAM3,83700,64.9157,60.7438,33.9717,38.1346,38.3583,46.2976,57.2663,NA,NA,NA,NA
JARID2,3720,4.40914,4.73837,9.6728,11.0776,3.04723,3.37148,2.34262,cerebral-cortex,glial-cells,Medium,Approved
JARID2-AS1,100506681,0,0.137208,0,0.139031,0.366383,0.195178,0,NA,NA,NA,NA
JAZF1,221895,20.1828,18.5581,23.3512,22.6261,18.2049,21.5701,11.8416,cerebral-cortex,glial-cells,Low,Approved
JAZF1-AS1,100128081,0.233687,0.15622,0.384552,0.161643,0.295048,0.498959,0.386451,NA,NA,NA,NA
JDP2,122953,30.2764,27.1688,22.2709,18.7979,15.8772,17.4698,13.9738,cerebral-cortex,glial-cells,High,Supported
JKAMP,51528,43.6658,39.6477,55.3761,64.9536,86.1442,93.0741,71.4183,cerebral-cortex,glial-cells,Low,Supported
JMJD1C,221037,9.06493,9.78253,7.81325,8.92345,7.65027,7.80041,0.924729,cerebral-cortex,glial-cells,Low,Approved
JMJD1C-AS1,84989,0.255464,0.595177,0.248762,0.180532,0.698842,0.377478,0.588314,NA,NA,NA,NA
JMJD4,65094,15.3248,12.2967,10.7913,10.4953,11.3064,12.9127,15.3052,NA,NA,NA,NA
JMJD6,23210,27.1095,23.5233,38.9088,33.8264,39.8522,41.5784,34.2315,cerebral-cortex,glial-cells,High,Supported
JMJD7,100137047,8.64902,7.51922,7.40255,5.20529,11.475,9.4512,15.4875,NA,NA,NA,NA
JMJD7-PLA2G4B,8681,0.700772,0.546739,0.665415,0.635704,0.378339,0.756096,1.14893,NA,NA,NA,NA
JMJD8,339123,48.8393,42.4021,39.4759,41.901,47.0394,60.5219,42.859,NA,NA,NA,NA
JMY,133746,1.443,1.3939,1.34358,1.44112,0.449236,0.504274,0.284371,NA,NA,NA,NA
JOSD1,9929,38.3183,35.1732,39.2284,44.5029,46.1024,44.01,45.0897,NA,NA,NA,NA
JOSD2,126119,35.8886,33.0301,15.2697,10.9701,40.8325,46.5288,69.7777,NA,NA,NA,NA
JPH2,57158,1.46778,1.17263,3.36075,2.49387,2.20822,2.86697,5.61591,NA,NA,NA,NA
JPX,554203,16.5463,18.538,20.116,14.3188,15.251,17.2117,11.6555,NA,NA,NA,NA
JRK,8629,0.16604,0.0398652,0.405053,0.387837,0.476109,0.558736,0.46462,NA,NA,NA,NA
JRKL,8690,6.87328,7.0624,6.37547,6.41478,5.18228,4.77148,1.63733,NA,NA,NA,NA
JSRP1,126306,0.478032,0.408379,0.0849214,0.0389652,0.230281,0.109357,0.505923,NA,NA,NA,NA
JTB,10899,117.964,116.319,64.9703,54.2373,85.7441,91.5848,92.1003,cerebral-cortex,glial-cells,Medium,Approved
JUN,3725,47.252,46.1354,37.7208,37.2566,42.658,44.5442,64.6712,NA,NA,NA,NA
JUNB,3726,27.0228,25.0302,32.0872,32.8947,24.8792,38.4138,32.0271,NA,NA,NA,NA
JUND,3727,80.711,86.1295,74.2735,83.3737,53.5846,58.1934,53.0836,cerebral-cortex,glial-cells,Medium,Supported
KALRN,8997,1.15961,1.58705,6.93042,9.66884,1.60871,0.982391,2.03832,NA,NA,NA,NA
KANK1,23189,8.61899,7.93447,6.26284,5.61288,9.96545,8.92241,7.35206,cerebral-cortex,glial-cells,High,Approved
KANK2,25959,71.516,66.5447,70.6939,62.2752,57.6354,66.5628,56.8327,cerebral-cortex,glial-cells,Low,Approved
KANK3,256949,0.101182,0.0140921,0,0,0.119575,0.16192,0.139491,NA,NA,NA,NA
KANSL1,284058,3.00584,1.92557,3.04526,2.74191,4.037,3.90332,2.72389,NA,NA,NA,NA
KANSL1L,151050,1.68704,2.02967,2.19611,2.08312,1.16729,2.02597,0.846355,NA,NA,NA,NA
KANSL2,54934,17.6136,17.1953,15.5525,17.3123,15.1005,16.3455,30.0482,NA,NA,NA,NA
KANSL3,55683,14.1479,14.6835,14.7816,11.5044,9.89309,9.93531,14.7564,cerebral-cortex,glial-cells,Medium,Approved
KAT2B,8850,4.16626,5.8422,4.42695,7.03152,5.71049,6.87465,5.75739,cerebral-cortex,glial-cells,Medium,Supported
KAT5,10524,30.45,30.7929,36.9155,24.2834,30.3342,34.4155,32.4489,cerebral-cortex,glial-cells,Medium,Approved
KAT6A,7994,7.13998,7.69469,8.17773,7.1047,5.87546,6.55114,3.43126,cerebral-cortex,glial-cells,Medium,Supported
KAT6B,23522,4.57395,5.14515,5.71679,5.93753,4.18905,3.79998,1.61812,cerebral-cortex,glial-cells,High,Supported
KAT7,11143,13.5657,14.1796,13.2868,15.1241,12.1409,10.8666,13.2078,cerebral-cortex,glial-cells,Low,Approved
KAT8,84148,13.982,15.3336,18.31,15.9407,12.7294,13.9935,13.0274,NA,NA,NA,NA
KATNA1,11104,12.8606,14.3206,10.4738,11.0172,11.7472,11.463,9.06021,cerebral-cortex,glial-cells,Low,Approved
KATNAL1,84056,7.63479,7.46044,7.32596,8.13281,13.9388,14.8163,11.5009,NA,NA,NA,NA
KATNAL2,83473,1.85551,1.84183,1.21568,1.09758,0.400466,0.435882,1.04701,cerebral-cortex,glial-cells,Low,Approved
KATNB1,10300,2.91448,2.25022,3.1485,2.70255,3.90788,3.98159,4.54974,cerebral-cortex,glial-cells,Low,Enhanced
KATNBL1,79768,28.4909,27.2267,18.552,20.0436,15.6802,20.3821,9.18178,NA,NA,NA,NA
KATNBL1P6,729176,2.85773,2.68252,2.21876,2.71659,1.95339,1.59553,1.61118,NA,NA,NA,NA
KAZALD1,81621,52.7561,52.3618,0.662763,0.686182,4.3821,5.75754,6.99625,NA,NA,NA,NA
KAZN,23254,10.7588,9.308,3.77904,3.86469,4.6122,4.13057,11.2454,NA,NA,NA,NA
KBTBD11,9920,1.22372,1.19852,1.17962,1.16053,2.1425,1.91746,1.17186,NA,NA,NA,NA
KBTBD2,25948,11.8209,10.6473,13.8303,15.9153,12.977,10.596,10.1099,NA,NA,NA,NA
KBTBD3,143879,2.22648,2.53566,1.95457,2.49933,3.63611,3.28615,2.94381,NA,NA,NA,NA
KBTBD6,89890,2.43094,2.45423,2.51019,2.64133,1.86202,1.55351,1.48031,NA,NA,NA,NA
KBTBD7,84078,1.06011,1.14476,0.72919,0.802071,0.758871,0.535374,0.705044,NA,NA,NA,NA
KBTBD8,84541,6.27101,6.45316,2.37329,2.24679,4.22142,3.84088,1.44826,NA,NA,NA,NA
KCMF1,56888,46.925,45.1888,43.8243,49.149,50.1487,52.3445,57.4011,NA,NA,NA,NA
KCNA1,3736,0.0423328,0.00895854,0.0619977,0.0920657,0,0,0.00548069,NA,NA,NA,NA
KCNA6,3742,0.0163195,0.00863328,0.268254,0.236133,0.00805384,0,0.0527844,NA,NA,NA,NA
KCNAB1,7881,0.192804,0.224247,0.495621,0.592136,0.449879,0.275863,0.47387,NA,NA,NA,NA
KCNAB2,8514,1.14549,1.51099,2.30329,1.77527,4.643,4.81824,5.65756,NA,NA,NA,NA
KCNAB3,9196,2.3158,2.78284,1.52575,0.956944,0.470079,0.996316,0.486566,NA,NA,NA,NA
KCNC3,3748,0.0215264,0.0221409,0.0907034,0.0627152,0.0443465,0.146261,0.424603,NA,NA,NA,NA
KCNC4,3749,0.817207,0.555748,1.08007,1.00243,0.585227,0.630902,4.10091,NA,NA,NA,NA
KCND3,3752,0.160883,0.150074,0.598737,0.289453,0.133513,0.117022,0.190389,NA,NA,NA,NA
KCNE1,3753,0.044572,0.187702,0.0977754,0.285285,0.0620845,0.0436778,0.114559,NA,NA,NA,NA
KCNE3,10008,0.170957,0.271534,0.750243,0.459115,0.018345,0.0674962,0,cerebral-cortex,glial-cells,Low,Approved
KCNE4,23704,3.22049,3.14189,7.72408,7.62343,7.90084,8.12933,0.165491,NA,NA,NA,NA
KCNG1,3755,42.3424,43.2349,136.434,125.896,35.5874,41.3338,10.4207,cerebral-cortex,glial-cells,Medium,Approved
KCNH1,3756,0.10211,0.0364686,0.795318,0.81526,2.18326,2.48994,0.92988,NA,NA,NA,NA
KCNIP2,30819,1.04199,0.733009,1.29585,0.616632,0.663149,0.217321,0.157997,NA,NA,NA,NA
KCNIP3,30818,2.30376,2.10622,1.96093,1.81618,0.172557,0.17529,0.688009,NA,NA,NA,NA
KCNIP4,80333,0.346481,0.229134,0.257814,0.154822,0.142729,0.314643,0.167184,NA,NA,NA,NA
KCNJ14,3770,0.249119,0.228622,0.321806,0.216366,0.203447,0.271467,0.204381,NA,NA,NA,NA
KCNJ15,3772,0.10255,0.0292406,0.217631,0.477304,1.81385,1.08334,1.5229,NA,NA,NA,NA
KCNJ2,3759,0.229845,0.227143,1.00162,1.01156,2.45165,1.63513,3.27265,cerebral-cortex,glial-cells,Low,Approved
KCNJ2-AS1,400617,0.051987,0.162968,0.143043,0.133308,0.301342,0.176816,0.342281,NA,NA,NA,NA
KCNJ6,3763,0.0585918,0.185927,0.182725,0.12564,0.165431,0.0880682,1.38866,NA,NA,NA,NA
KCNJ8,3764,0,0.0159179,3.6523,3.47528,0.151721,0.0226374,0.0194762,NA,NA,NA,NA
KCNK1,3775,2.64465,2.78056,2.32903,1.54403,0,0.0504972,0.532219,cerebral-cortex,glial-cells,Low,Approved
KCNK2,3776,17.2553,15.0564,6.35995,6.53612,3.17226,3.67662,4.50651,NA,NA,NA,NA
KCNK3,3777,0.392031,0.420653,0.294579,0.402669,0.647255,0.706221,1.52979,NA,NA,NA,NA
KCNK6,9424,13.9347,12.4255,5.65551,4.46607,9.98965,13.7101,35.6588,NA,NA,NA,NA
KCNK7,10089,0.211747,0,0.221507,0.187357,0.19041,0.202762,0.0787497,NA,NA,NA,NA
KCNMA1,3778,19.4065,18.8689,35.7034,38.8481,84.8213,69.7506,91.999,NA,NA,NA,NA
KCNMB3,27094,0.913817,0.862075,0.587951,0.329893,0.339441,0.350847,0,NA,NA,NA,NA
KCNMB4,27345,0.363589,0.205679,1.13507,2.69125,1.28129,1.43054,1.4665,cerebral-cortex,glial-cells,Medium,Enhanced
KCNN2,3781,0.926977,0.704189,0.24898,0.0457641,2.68366,1.89124,1.78472,NA,NA,NA,NA
KCNN3,3782,0.250273,0.128655,1.47687,2.59137,0.318759,0.272184,0.0292264,NA,NA,NA,NA
KCNN4,3783,2.07706,2.01765,19.9587,25.0372,2.60868,1.85078,8.88865,NA,NA,NA,NA
KCNQ1OT1,10984,0.253687,0.257386,0.131749,0.126526,0.116887,0.113164,0.030282,NA,NA,NA,NA
KCNQ5,56479,2.93931,2.79813,0.112813,0.253675,1.06425,1.34484,0.524525,NA,NA,NA,NA
KCNRG,283518,0.860567,1.10959,0.595054,0.80749,0.389315,0.464131,0.688044,NA,NA,NA,NA
KCNS1,3787,0.18973,0.152574,0.484333,0.691817,0.410937,0.331174,0.79586,NA,NA,NA,NA
KCNS3,3790,0.466226,0.462346,0.0968981,0.115895,1.17172,0.302011,0,cerebral-cortex,glial-cells,Low,Approved
KCNT2,343450,1.42408,0.712922,1.61588,0.767567,0.667945,0.523446,0.0171959,NA,NA,NA,NA
KCNU1,157855,0.00941312,0,0,0.0100955,0.15965,1.10723,1.25334,NA,NA,NA,NA
KCTD1,284252,5.76206,5.97955,7.00531,6.62661,7.22339,5.04726,6.607,NA,NA,NA,NA
KCTD10,83892,71.5985,66.5809,97.2319,83.9565,81.3955,87.6614,104.259,NA,NA,NA,NA
KCTD11,147040,14.2044,13.628,7.38592,5.95198,11.777,13.276,14.8736,cerebral-cortex,glial-cells,Low,Approved
KCTD12,115207,1.34342,1.52757,1.53542,2.00985,0.0766301,0.150829,0.12906,NA,NA,NA,NA
KCTD13,253980,10.5115,12.8513,13.7095,9.15943,11.7683,16.1863,16.5227,cerebral-cortex,glial-cells,Low,Enhanced
KCTD14,65987,0.256606,0.229073,0.623455,0.285944,0.154013,0.27051,0.119881,NA,NA,NA,NA
KCTD15,79047,53.4134,53.8411,72.3701,59.3503,14.4049,19.8819,27.0675,NA,NA,NA,NA
KCTD16,57528,0.670096,0.56061,0.24668,0.270749,0.836343,1.38355,1.1096,cerebral-cortex,glial-cells,Low,Approved
KCTD17,79734,19.998,21.3787,20.7274,16.5045,19.2572,23.1123,32.9648,NA,NA,NA,NA
KCTD18,130535,6.64574,6.69756,4.84738,5.51242,6.2931,6.32828,7.62939,NA,NA,NA,NA
KCTD2,23510,10.0812,12.2544,13.175,9.69534,9.00424,11.5311,13.572,NA,NA,NA,NA
KCTD20,222658,59.9165,56.7803,66.2341,57.4809,106.123,102.898,85.2948,cerebral-cortex,glial-cells,Low,Approved
KCTD21,283219,8.61397,9.49064,9.82534,7.24263,10.9452,13.9646,11.2703,NA,NA,NA,NA
KCTD21-AS1,100289388,2.47587,2.84807,3.98071,2.09296,1.92287,2.73385,3.71828,NA,NA,NA,NA
KCTD3,51133,22.6456,24.9631,24.1387,26.1405,18.5457,19.7507,12.6626,cerebral-cortex,glial-cells,Low,Approved
KCTD4,386618,0.178315,0.0545891,1.01759,0.70077,2.55048,2.19966,7.19143,NA,NA,NA,NA
KCTD5,54442,26.1028,24.7321,24.033,22.5859,26.8186,27.6625,38.8968,NA,NA,NA,NA
KCTD6,200845,6.38863,8.16379,6.5028,7.40698,8.15996,8.97846,4.01638,NA,NA,NA,NA
KCTD7,154881,9.05718,4.75628,12.2055,10.8189,14.7126,19.3275,13.4985,NA,NA,NA,NA
KCTD8,386617,0,0,0.131005,0,0.353324,0.188115,0.0357199,NA,NA,NA,NA
KCTD9,54793,17.915,18.8974,13.0632,16.3083,30.1239,26.8296,16.1053,NA,NA,NA,NA
KCTD9P1,100422273,0.545248,0.396644,0.392136,0.219268,0.962645,1.12819,0.2647,NA,NA,NA,NA
KCTD9P2,643535,1.3379,1.20115,1.27234,1.82602,0.973484,0.976168,0.524849,NA,NA,NA,NA
KDELC1P1,100144494,0.125832,0.159773,0.0789792,0.134943,0.390992,0.113611,0.260647,NA,NA,NA,NA
KDELR1,10945,210.127,206.946,228.597,218.721,292.673,321.694,356.356,cerebral-cortex,glial-cells,Medium,Approved
KDELR2,11014,361.324,361.149,284.083,306.187,394.74,398.493,446.788,cerebral-cortex,glial-cells,Medium,Approved
KDELR3,11015,175.524,171.911,116.8,119.274,231.364,261.047,327.797,NA,NA,NA,NA
KDM1A,23028,57.8655,57.9216,56.1338,64.6973,44.6997,40.2181,35.8425,cerebral-cortex,glial-cells,Medium,Supported
KDM1B,221656,6.33567,7.23152,5.76654,6.3347,8.03944,7.21419,7.30445,NA,NA,NA,NA
KDM2A,22992,24.1643,22.7945,20.6128,23.4161,25.8949,24.796,22.5547,cerebral-cortex,glial-cells,Medium,Supported
KDM3A,55818,12.7723,9.16803,10.7045,18.709,15.1516,17.4242,8.44905,NA,NA,NA,NA
KDM3B,51780,13.0107,12.2685,12.5545,14.8301,11.4918,11.2597,12.2554,cerebral-cortex,glial-cells,High,Supported
KDM4A,9682,16.6904,19.762,20.6731,22.808,16.8781,16.5791,23.0966,NA,NA,NA,NA
KDM4A-AS1,100132774,2.27724,0.99911,1.14074,1.13377,0.402747,1.33301,2.15443,NA,NA,NA,NA
KDM4B,23030,10.3777,13.3741,13.5291,12.9571,14.8028,26.2491,25.6249,NA,NA,NA,NA
KDM4C,23081,5.79144,6.21014,6.0554,5.42836,7.68417,6.21895,5.04824,NA,NA,NA,NA
KDM5A,5927,18.3714,17.6207,22.7533,21.6535,23.1874,20.2606,18.9528,NA,NA,NA,NA
KDM5B,10765,32.6,33.8792,38.027,43.4637,27.0508,37.7365,26.2592,NA,NA,NA,NA
KDM5D,8284,12.7782,13.2438,10.9249,8.49957,7.2417,8.61967,6.67632,NA,NA,NA,NA
KDM6A,7403,8.60367,6.51128,11.1386,9.11955,6.82318,6.27857,5.99874,NA,NA,NA,NA
KDM6B,23135,6.52727,7.57061,10.8349,11.1652,6.01404,6.31675,4.06145,cerebral-cortex,glial-cells,Medium,Supported
KDM7A,80853,2.53383,3.44454,4.46159,3.48439,2.359,3.03386,0.802736,NA,NA,NA,NA
KDM8,79831,3.98752,3.91351,3.92428,2.09286,2.6286,3.37603,2.82237,NA,NA,NA,NA
KDR,3791,0.0675628,0.0716847,0.275205,0.651881,0,0,0.0701165,NA,NA,NA,NA
KDSR,2531,24.777,23.3488,24.6761,23.564,29.3275,35.701,43.6355,cerebral-cortex,glial-cells,Medium,Approved
KEAP1,9817,64.5334,54.3267,62.9451,41.691,59.7353,63.0828,73.0125,cerebral-cortex,glial-cells,High,Approved
KHDC1,80759,4.14468,4.53567,3.65319,2.8282,0.17107,0.290054,1.07723,NA,NA,NA,NA
KHDRBS1,10657,65.6746,63.059,62.5105,71.9561,47.0524,46.4572,36.8827,cerebral-cortex,glial-cells,High,Supported
KHDRBS3,10656,24.5759,26.3519,14.1168,15.9541,21.5614,18.0336,16.2941,NA,NA,NA,NA
KHK,3795,0.678653,0.438114,0.156936,0.211134,0.408595,0.180062,0.245564,NA,NA,NA,NA
KHNYN,23351,19.0048,18.8594,20.7327,18.3987,18.2935,18.8974,18.9078,NA,NA,NA,NA
KHSRP,8570,129.593,119.295,118.669,133.16,86.3444,89.865,86.249,cerebral-cortex,glial-cells,High,Supported
KHSRPP1,402359,0.735221,0.377858,0.549364,0.495605,0.712051,0.916691,0.516709,NA,NA,NA,NA
KIAA0040,9674,0.576318,0.396392,0.00801528,0.0154551,0.0649652,0.134233,0.242458,cerebral-cortex,glial-cells,Low,Approved
KIAA0100,9703,54.1485,54.0037,52.9601,51.6626,69.0989,77.2216,96.8637,NA,NA,NA,NA
KIAA0232,9778,7.82886,7.73357,7.29996,8.5645,9.79661,6.3239,5.60704,cerebral-cortex,glial-cells,Medium,Approved
KIAA0319L,79932,15.5359,16.6059,21.71,20.478,28.4524,31.7716,43.8166,NA,NA,NA,NA
KIAA0355,9710,2.77879,3.21082,7.58351,6.4505,2.45414,2.64191,3.77512,NA,NA,NA,NA
KIAA0408,9729,1.27909,1.39843,3.09256,3.46494,2.11488,1.86626,1.00111,NA,NA,NA,NA
KIAA0513,9764,4.24143,4.00765,6.85872,4.9981,5.97344,5.51591,6.46752,cerebral-cortex,glial-cells,Low,Enhanced
KIAA0556,23247,7.64491,7.94782,9.17933,8.79533,8.88538,9.08149,11.2813,cerebral-cortex,glial-cells,Low,Enhanced
KIAA0586,9786,5.93571,6.06906,6.82466,5.2856,3.57629,3.5302,0.972176,NA,NA,NA,NA
KIAA0753,9851,12.4995,11.5148,10.4453,10.8916,9.92859,10.3818,6.86258,cerebral-cortex,glial-cells,Low,Enhanced
KIAA0754,643314,5.8544,5.34821,9.02852,10.2137,9.09928,7.19994,6.65007,NA,NA,NA,NA
KIAA0825,285600,0.359928,0.429574,0.246263,0.370391,0.317657,0.338395,0.187895,NA,NA,NA,NA
