gene_symbol	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
TDG	cerebral-cortex	glial-cells	Medium	Supported
RITA1	cerebral-cortex	glial-cells	Medium	Supported
MMAB	cerebral-cortex	glial-cells	Medium	Approved
GLTP	cerebral-cortex	glial-cells	Low	Approved
TCHP	cerebral-cortex	glial-cells	Low	Supported
TARBP2	cerebral-cortex	glial-cells	High	Approved
GPR84	cerebral-cortex	glial-cells	Low	Enhanced
NABP2	cerebral-cortex	glial-cells	Low	Supported
SMARCC2	cerebral-cortex	glial-cells	High	Supported
CERS5	cerebral-cortex	glial-cells	Medium	Approved
MAP3K12	cerebral-cortex	glial-cells	Low	Enhanced
GALNT6	cerebral-cortex	glial-cells	Low	Enhanced
C12orf10	cerebral-cortex	glial-cells	Low	Approved
ZNF740	cerebral-cortex	glial-cells	Medium	Approved
ESD	cerebral-cortex	glial-cells	Medium	Approved
SBNO1	cerebral-cortex	glial-cells	Medium	Approved
SETD1B	cerebral-cortex	glial-cells	Low	Approved
VPS37B	cerebral-cortex	glial-cells	Low	Enhanced
RBM26	cerebral-cortex	glial-cells	Medium	Approved
ABHD13	cerebral-cortex	glial-cells	Medium	Approved
GRTP1	cerebral-cortex	glial-cells	Low	Approved
TMX1	cerebral-cortex	glial-cells	Low	Approved
STON2	cerebral-cortex	glial-cells	Low	Enhanced
PTGR2	cerebral-cortex	glial-cells	Low	Approved
JDP2	cerebral-cortex	glial-cells	High	Supported
WARS	cerebral-cortex	glial-cells	Low	Enhanced
TCF12	cerebral-cortex	glial-cells	Medium	Approved
ZSCAN29	cerebral-cortex	glial-cells	Medium	Enhanced
LYSMD2	cerebral-cortex	glial-cells	Low	Approved
TLE3	cerebral-cortex	glial-cells	Low	Approved
ANP32A	cerebral-cortex	glial-cells	Medium	Supported
ETFA	cerebral-cortex	glial-cells	Low	Enhanced
HMG20A	cerebral-cortex	glial-cells	High	Supported
WDR61	cerebral-cortex	glial-cells	Medium	Enhanced
NEIL1	cerebral-cortex	glial-cells	Medium	Approved
IGF1R	cerebral-cortex	glial-cells	Medium	Approved
ARRDC4	cerebral-cortex	glial-cells	Medium	Approved
PIF1	cerebral-cortex	glial-cells	High	Supported
PML	cerebral-cortex	glial-cells	Low	Supported
LINS1	cerebral-cortex	glial-cells	Low	Approved
SCAMP2	cerebral-cortex	glial-cells	Low	Approved
POLG	cerebral-cortex	glial-cells	Low	Approved
FANCI	cerebral-cortex	glial-cells	Medium	Approved
ABHD2	cerebral-cortex	glial-cells	Low	Approved
NTRK3	cerebral-cortex	glial-cells	Low	Approved
UNC45A	cerebral-cortex	glial-cells	Low	Approved
GLYR1	cerebral-cortex	glial-cells	High	Enhanced
ARMC5	cerebral-cortex	glial-cells	Medium	Approved
PARN	cerebral-cortex	glial-cells	High	Supported
FTO	cerebral-cortex	glial-cells	Low	Enhanced
UQCRC2	cerebral-cortex	glial-cells	Low	Enhanced
CPNE2	cerebral-cortex	glial-cells	Low	Approved
KATNB1	cerebral-cortex	glial-cells	Low	Enhanced
GCSH	cerebral-cortex	glial-cells	High	Approved
CMTM3	cerebral-cortex	glial-cells	High	Approved
NOL3	cerebral-cortex	glial-cells	Low	Enhanced
NDUFB10	cerebral-cortex	glial-cells	Medium	Supported
DEF8	cerebral-cortex	glial-cells	Medium	Approved
TCF25	cerebral-cortex	glial-cells	Low	Enhanced
GALNS	cerebral-cortex	glial-cells	Medium	Supported
NCOR1	cerebral-cortex	glial-cells	Low	Supported
COPS3	cerebral-cortex	glial-cells	Medium	Approved
MYOCD	cerebral-cortex	glial-cells	Medium	Approved
TOB1	cerebral-cortex	glial-cells	Low	Approved
VPS53	cerebral-cortex	glial-cells	Low	Approved
SGSM2	cerebral-cortex	glial-cells	Medium	Approved
SCRN2	cerebral-cortex	glial-cells	Low	Enhanced
ARSG	cerebral-cortex	glial-cells	Low	Enhanced
CLTC	cerebral-cortex	glial-cells	Medium	Approved
BCAS3	cerebral-cortex	glial-cells	Medium	Approved
PTRH2	cerebral-cortex	glial-cells	High	Supported
SS18	cerebral-cortex	glial-cells	Low	Supported
AFG3L2	cerebral-cortex	glial-cells	Medium	Enhanced
RPRD1A	cerebral-cortex	glial-cells	High	Supported
ESCO1	cerebral-cortex	glial-cells	Low	Approved
OSBPL1A	cerebral-cortex	glial-cells	Medium	Supported
PELP1	cerebral-cortex	glial-cells	Medium	Supported
NPC1	cerebral-cortex	glial-cells	Medium	Approved
WRAP53	cerebral-cortex	glial-cells	Low	Enhanced
ARHGDIA	cerebral-cortex	glial-cells	Low	Approved
SLC16A3	cerebral-cortex	glial-cells	Low	Approved
EIF4A3	cerebral-cortex	glial-cells	High	Supported
CSNK1D	cerebral-cortex	glial-cells	Medium	Approved
FN3KRP	cerebral-cortex	glial-cells	Low	Approved
RPTOR	cerebral-cortex	glial-cells	Low	Approved
FOXK2	cerebral-cortex	glial-cells	Low	Approved
TRIM65	cerebral-cortex	glial-cells	Medium	Approved
CBX8	cerebral-cortex	glial-cells	Low	Approved
SECTM1	cerebral-cortex	glial-cells	Low	Approved
ZNF750	cerebral-cortex	glial-cells	Low	Enhanced
CBX4	cerebral-cortex	glial-cells	High	Approved
MBD1	cerebral-cortex	glial-cells	Low	Approved
TNFRSF11A	cerebral-cortex	glial-cells	Low	Approved
CACNA1A	cerebral-cortex	glial-cells	High	Enhanced
BRD4	cerebral-cortex	glial-cells	High	Supported
NFIC	cerebral-cortex	glial-cells	Medium	Supported
SH3GL1	cerebral-cortex	glial-cells	Low	Approved
CCDC97	cerebral-cortex	glial-cells	Low	Enhanced
SIRT3	cerebral-cortex	glial-cells	Medium	Approved
HUNK	cerebral-cortex	glial-cells	Low	Approved
SOD1	cerebral-cortex	glial-cells	Medium	Enhanced
SIK1	cerebral-cortex	glial-cells	High	Approved
TMEM50B	cerebral-cortex	glial-cells	Low	Approved
DOPEY2	cerebral-cortex	glial-cells	Medium	Approved
URB1	cerebral-cortex	glial-cells	Medium	Supported
AKT1	cerebral-cortex	glial-cells	Medium	Supported
SAE1	cerebral-cortex	glial-cells	Low	Supported
CBLC	cerebral-cortex	glial-cells	Low	Approved
TIMM29	cerebral-cortex	glial-cells	High	Approved
CARM1	cerebral-cortex	glial-cells	Low	Supported
SLC47A1	cerebral-cortex	glial-cells	Low	Enhanced
PSMB6	cerebral-cortex	glial-cells	Medium	Supported
RPL13A	cerebral-cortex	glial-cells	Low	Approved
SLC2A5	cerebral-cortex	glial-cells	Medium	Enhanced
PEX14	cerebral-cortex	glial-cells	Low	Supported
ZNF593	cerebral-cortex	glial-cells	High	Supported
ITGB3BP	cerebral-cortex	glial-cells	Low	Approved
SERBP1	cerebral-cortex	glial-cells	Medium	Supported
PRKACB	cerebral-cortex	glial-cells	Low	Approved
LMO4	cerebral-cortex	glial-cells	Low	Approved
STRIP1	cerebral-cortex	glial-cells	Low	Approved
PSMA5	cerebral-cortex	glial-cells	Medium	Approved
C1orf162	cerebral-cortex	glial-cells	High	Approved
CD53	cerebral-cortex	glial-cells	Low	Enhanced
ALDH9A1	cerebral-cortex	glial-cells	Medium	Approved
TIPRL	cerebral-cortex	glial-cells	Low	Approved
POGK	cerebral-cortex	glial-cells	Medium	Approved
ADCY10	cerebral-cortex	glial-cells	Low	Approved
FCGR2A	cerebral-cortex	glial-cells	Low	Enhanced
PFDN2	cerebral-cortex	glial-cells	Low	Approved
RRNAD1	cerebral-cortex	glial-cells	Medium	Approved
MRPL24	cerebral-cortex	glial-cells	Low	Approved
ISG20L2	cerebral-cortex	glial-cells	Medium	Approved
HDGF	cerebral-cortex	glial-cells	Medium	Enhanced
XPR1	cerebral-cortex	glial-cells	Low	Supported
TOR1AIP1	cerebral-cortex	glial-cells	Low	Enhanced
RGL1	cerebral-cortex	glial-cells	Low	Approved
LYPLAL1	cerebral-cortex	glial-cells	Low	Approved
TUFT1	cerebral-cortex	glial-cells	Medium	Approved
ZNF687	cerebral-cortex	glial-cells	High	Approved
TARS2	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4	cerebral-cortex	glial-cells	Medium	Approved
MCL1	cerebral-cortex	glial-cells	Medium	Approved
RFX5	cerebral-cortex	glial-cells	High	Supported
PI4KB	cerebral-cortex	glial-cells	Low	Approved
ANP32E	cerebral-cortex	glial-cells	Medium	Supported
MINDY1	cerebral-cortex	glial-cells	Low	Approved
CERS2	cerebral-cortex	glial-cells	Medium	Approved
MRPL9	cerebral-cortex	glial-cells	Low	Approved
POGZ	cerebral-cortex	glial-cells	High	Enhanced
TAF1A	cerebral-cortex	glial-cells	Medium	Approved
DUSP10	cerebral-cortex	glial-cells	Medium	Approved
TP53BP2	cerebral-cortex	glial-cells	Medium	Supported
ATP8B2	cerebral-cortex	glial-cells	Low	Approved
JTB	cerebral-cortex	glial-cells	Medium	Approved
TPM3	cerebral-cortex	glial-cells	Medium	Approved
UBAP2L	cerebral-cortex	glial-cells	Medium	Approved
CREB3L4	cerebral-cortex	glial-cells	Low	Enhanced
C1orf43	cerebral-cortex	glial-cells	Medium	Approved
GATAD2B	cerebral-cortex	glial-cells	Medium	Approved
ILF2	cerebral-cortex	glial-cells	High	Supported
RIT1	cerebral-cortex	glial-cells	Low	Approved
C1orf131	cerebral-cortex	glial-cells	Medium	Enhanced
GALNT2	cerebral-cortex	glial-cells	Low	Supported
SCCPDH	cerebral-cortex	glial-cells	High	Enhanced
ACP1	cerebral-cortex	glial-cells	Low	Approved
SNAP47	cerebral-cortex	glial-cells	Low	Supported
SDE2	cerebral-cortex	glial-cells	Medium	Approved
ITPKB	cerebral-cortex	glial-cells	Medium	Enhanced
GUK1	cerebral-cortex	glial-cells	Medium	Approved
C1orf35	cerebral-cortex	glial-cells	Low	Approved
PARP1	cerebral-cortex	glial-cells	Low	Supported
PPFIA4	cerebral-cortex	glial-cells	Low	Enhanced
ARL8A	cerebral-cortex	glial-cells	High	Approved
PDIA6	cerebral-cortex	glial-cells	Medium	Enhanced
ATP6V1C2	cerebral-cortex	glial-cells	High	Approved
HNRNPLL	cerebral-cortex	glial-cells	Medium	Approved
EML4	cerebral-cortex	glial-cells	Low	Enhanced
CALM2	cerebral-cortex	glial-cells	Medium	Approved
RPS27A	cerebral-cortex	glial-cells	High	Supported
SNRPG	cerebral-cortex	glial-cells	Medium	Supported
ZNF514	cerebral-cortex	glial-cells	Medium	Approved
TPRKB	cerebral-cortex	glial-cells	Medium	Approved
SFXN5	cerebral-cortex	glial-cells	Low	Approved
SLC20A1	cerebral-cortex	glial-cells	Medium	Approved
FAHD2B	cerebral-cortex	glial-cells	Medium	Approved
AFF3	cerebral-cortex	glial-cells	Low	Approved
UBXN4	cerebral-cortex	glial-cells	Medium	Approved
NXPH2	cerebral-cortex	glial-cells	Low	Approved
GPR17	cerebral-cortex	glial-cells	Medium	Enhanced
SCRN3	cerebral-cortex	glial-cells	Medium	Approved
LNPK	cerebral-cortex	glial-cells	High	Approved
DLX1	cerebral-cortex	glial-cells	Low	Approved
UBR3	cerebral-cortex	glial-cells	Low	Approved
GULP1	cerebral-cortex	glial-cells	Low	Enhanced
FAM171B	cerebral-cortex	glial-cells	Low	Approved
HSPD1	cerebral-cortex	glial-cells	Low	Supported
UNC80	cerebral-cortex	glial-cells	Low	Enhanced
VGLL4	cerebral-cortex	glial-cells	Medium	Approved
RAB5A	cerebral-cortex	glial-cells	Low	Approved
STK11IP	cerebral-cortex	glial-cells	Medium	Approved
EAF1	cerebral-cortex	glial-cells	Medium	Supported
DYNC1LI1	cerebral-cortex	glial-cells	Low	Approved
SLC25A38	cerebral-cortex	glial-cells	Medium	Approved
GOLGA4	cerebral-cortex	glial-cells	Medium	Supported
RPL32	cerebral-cortex	glial-cells	Low	Enhanced
IL17RD	cerebral-cortex	glial-cells	Low	Approved
SLC25A26	cerebral-cortex	glial-cells	Medium	Supported
UBA3	cerebral-cortex	glial-cells	Low	Supported
ARL6IP5	cerebral-cortex	glial-cells	Low	Supported
TMF1	cerebral-cortex	glial-cells	Medium	Approved
LRIG1	cerebral-cortex	glial-cells	Low	Approved
ABHD10	cerebral-cortex	glial-cells	Low	Supported
ADPRH	cerebral-cortex	glial-cells	Low	Approved
ATG3	cerebral-cortex	glial-cells	Medium	Enhanced
TMEM108	cerebral-cortex	glial-cells	Low	Enhanced
EIF2A	cerebral-cortex	glial-cells	Low	Approved
ALDH1L1	cerebral-cortex	glial-cells	Medium	Enhanced
TRPC1	cerebral-cortex	glial-cells	Medium	Supported
NCEH1	cerebral-cortex	glial-cells	Medium	Enhanced
AMT	cerebral-cortex	glial-cells	Low	Supported
DCAF1	cerebral-cortex	glial-cells	Medium	Approved
MANF	cerebral-cortex	glial-cells	Low	Approved
VWA5B2	cerebral-cortex	glial-cells	Medium	Enhanced
FIP1L1	cerebral-cortex	glial-cells	Low	Supported
CAMK2D	cerebral-cortex	glial-cells	Low	Approved
CISD2	cerebral-cortex	glial-cells	Medium	Approved
ANK2	cerebral-cortex	glial-cells	Medium	Enhanced
TIFA	cerebral-cortex	glial-cells	Low	Approved
METTL14	cerebral-cortex	glial-cells	Medium	Supported
NAF1	cerebral-cortex	glial-cells	Low	Approved
RPS3A	cerebral-cortex	glial-cells	Medium	Approved
NDUFS6	cerebral-cortex	glial-cells	Medium	Supported
OSMR	cerebral-cortex	glial-cells	Low	Approved
PLK2	cerebral-cortex	glial-cells	Low	Approved
PIK3R1	cerebral-cortex	glial-cells	Medium	Approved
SSBP2	cerebral-cortex	glial-cells	High	Approved
BTF3	cerebral-cortex	glial-cells	Medium	Approved
SPATA9	cerebral-cortex	glial-cells	Low	Approved
FEM1C	cerebral-cortex	glial-cells	Low	Approved
COMMD10	cerebral-cortex	glial-cells	Low	Approved
YIPF5	cerebral-cortex	glial-cells	Low	Supported
DDX46	cerebral-cortex	glial-cells	Medium	Supported
FBXO38	cerebral-cortex	glial-cells	Low	Approved
PCYOX1L	cerebral-cortex	glial-cells	Low	Approved
CPLX2	cerebral-cortex	glial-cells	Medium	Supported
TBC1D7	cerebral-cortex	glial-cells	Medium	Approved
FARS2	cerebral-cortex	glial-cells	Low	Approved
ZMAT2	cerebral-cortex	glial-cells	Medium	Approved
GFRA3	cerebral-cortex	glial-cells	Low	Approved
TRIM7	cerebral-cortex	glial-cells	Medium	Approved
FAM193B	cerebral-cortex	glial-cells	High	Approved
TNFRSF21	cerebral-cortex	glial-cells	Medium	Approved
MUT	cerebral-cortex	glial-cells	Low	Enhanced
DAAM2	cerebral-cortex	glial-cells	Low	Approved
TTBK1	cerebral-cortex	glial-cells	Low	Enhanced
NFKBIE	cerebral-cortex	glial-cells	Medium	Supported
PHIP	cerebral-cortex	glial-cells	Low	Approved
PM20D2	cerebral-cortex	glial-cells	Medium	Approved
SLC18B1	cerebral-cortex	glial-cells	Medium	Approved
SHPRH	cerebral-cortex	glial-cells	Medium	Approved
TIAM2	cerebral-cortex	glial-cells	Low	Approved
TMEM181	cerebral-cortex	glial-cells	High	Approved
WTAP	cerebral-cortex	glial-cells	Medium	Supported
SLC22A3	cerebral-cortex	glial-cells	Medium	Approved
C7orf50	cerebral-cortex	glial-cells	Low	Approved
SDK1	cerebral-cortex	glial-cells	Low	Approved
MDH2	cerebral-cortex	glial-cells	Medium	Enhanced
NIPSNAP2	cerebral-cortex	glial-cells	Medium	Enhanced
CCT6A	cerebral-cortex	glial-cells	Low	Supported
C7orf43	cerebral-cortex	glial-cells	Low	Approved
SLC12A9	cerebral-cortex	glial-cells	Low	Approved
GIGYF1	cerebral-cortex	glial-cells	High	Enhanced
TRIM4	cerebral-cortex	glial-cells	Medium	Approved
MEPCE	cerebral-cortex	glial-cells	Medium	Supported
NCAPG2	cerebral-cortex	glial-cells	High	Approved
SHROOM2	cerebral-cortex	glial-cells	Medium	Approved
LUC7L2	cerebral-cortex	glial-cells	Medium	Approved
SH3KBP1	cerebral-cortex	glial-cells	Low	Enhanced
TMEM47	cerebral-cortex	glial-cells	High	Approved
CASK	cerebral-cortex	glial-cells	Low	Enhanced
MSN	cerebral-cortex	glial-cells	Low	Enhanced
HDAC8	cerebral-cortex	glial-cells	Medium	Supported
NDUFB11	cerebral-cortex	glial-cells	Medium	Supported
ZMYM3	cerebral-cortex	glial-cells	Medium	Approved
TAF1	cerebral-cortex	glial-cells	High	Supported
NONO	cerebral-cortex	glial-cells	High	Enhanced
OGT	cerebral-cortex	glial-cells	Low	Approved
ZNF711	cerebral-cortex	glial-cells	High	Enhanced
DIAPH2	cerebral-cortex	glial-cells	Low	Enhanced
ARHGAP36	cerebral-cortex	glial-cells	Low	Enhanced
RBMX	cerebral-cortex	glial-cells	Medium	Supported
MCPH1	cerebral-cortex	glial-cells	Medium	Supported
NSDHL	cerebral-cortex	glial-cells	Low	Enhanced
CETN2	cerebral-cortex	glial-cells	Low	Approved
RPL10	cerebral-cortex	glial-cells	High	Enhanced
CCDC25	cerebral-cortex	glial-cells	Medium	Approved
BIN3	cerebral-cortex	glial-cells	Low	Approved
PLPBP	cerebral-cortex	glial-cells	Low	Approved
ERLIN2	cerebral-cortex	glial-cells	High	Supported
TACC1	cerebral-cortex	glial-cells	Medium	Approved
MRPS28	cerebral-cortex	glial-cells	Low	Approved
LACTB2	cerebral-cortex	glial-cells	Low	Approved
MTDH	cerebral-cortex	glial-cells	High	Supported
EBAG9	cerebral-cortex	glial-cells	Medium	Enhanced
EIF3H	cerebral-cortex	glial-cells	Medium	Approved
NDUFB9	cerebral-cortex	glial-cells	Low	Approved
NFIB	cerebral-cortex	glial-cells	Medium	Supported
HAUS6	cerebral-cortex	glial-cells	Medium	Approved
CDKN2A	cerebral-cortex	glial-cells	Low	Enhanced
SIGMAR1	cerebral-cortex	glial-cells	Low	Approved
CBWD5	cerebral-cortex	glial-cells	Medium	Approved
IDNK	cerebral-cortex	glial-cells	Low	Approved
AUH	cerebral-cortex	glial-cells	Medium	Enhanced
PLPPR1	cerebral-cortex	glial-cells	Medium	Supported
INIP	cerebral-cortex	glial-cells	Low	Approved
UGCG	cerebral-cortex	glial-cells	Low	Approved
STOM	cerebral-cortex	glial-cells	Low	Approved
GSN	cerebral-cortex	glial-cells	Medium	Supported
MRRF	cerebral-cortex	glial-cells	Medium	Supported
CRB2	cerebral-cortex	glial-cells	Low	Approved
ALAD	cerebral-cortex	glial-cells	Low	Enhanced
WDR31	cerebral-cortex	glial-cells	Low	Approved
SURF2	cerebral-cortex	glial-cells	Low	Approved
SURF6	cerebral-cortex	glial-cells	Medium	Approved
GTF3C5	cerebral-cortex	glial-cells	High	Supported
MIGA2	cerebral-cortex	glial-cells	Low	Approved
GPR107	cerebral-cortex	glial-cells	Medium	Supported
NOTCH1	cerebral-cortex	glial-cells	Low	Supported
NACC2	cerebral-cortex	glial-cells	Low	Approved
USP6NL	cerebral-cortex	glial-cells	Low	Approved
COMMD3	cerebral-cortex	glial-cells	Low	Approved
FAM171A1	cerebral-cortex	glial-cells	Low	Approved
ZEB1	cerebral-cortex	glial-cells	High	Enhanced
LRMDA	cerebral-cortex	glial-cells	Medium	Approved
CAMK2G	cerebral-cortex	glial-cells	Low	Approved
GLUD1	cerebral-cortex	glial-cells	High	Approved
HTR7	cerebral-cortex	glial-cells	Medium	Approved
RPP30	cerebral-cortex	glial-cells	Low	Approved
ADD3	cerebral-cortex	glial-cells	Medium	Supported
DNAJB12	cerebral-cortex	glial-cells	Medium	Approved
TCF7L2	cerebral-cortex	glial-cells	High	Supported
TAF5	cerebral-cortex	glial-cells	High	Supported
PPRC1	cerebral-cortex	glial-cells	Low	Approved
RGS10	cerebral-cortex	glial-cells	Medium	Enhanced
LIN7C	cerebral-cortex	glial-cells	Low	Approved
PGAP2	cerebral-cortex	glial-cells	Low	Approved
HSD17B12	cerebral-cortex	glial-cells	Low	Approved
APIP	cerebral-cortex	glial-cells	Low	Approved
EIF3M	cerebral-cortex	glial-cells	Medium	Approved
SLC43A1	cerebral-cortex	glial-cells	Low	Enhanced
ARFGAP2	cerebral-cortex	glial-cells	Low	Enhanced
CELF1	cerebral-cortex	glial-cells	High	Supported
ENDOD1	cerebral-cortex	glial-cells	High	Enhanced
TENM4	cerebral-cortex	glial-cells	Medium	Approved
HTR3B	cerebral-cortex	glial-cells	Low	Approved
ATM	cerebral-cortex	glial-cells	Medium	Supported
AASDHPPT	cerebral-cortex	glial-cells	Medium	Approved
SLX4IP	cerebral-cortex	glial-cells	Low	Approved
LAMTOR1	cerebral-cortex	glial-cells	Medium	Approved
MTA2	cerebral-cortex	glial-cells	High	Supported
FADS1	cerebral-cortex	glial-cells	Medium	Approved
CPSF7	cerebral-cortex	glial-cells	High	Supported
KIRREL3	cerebral-cortex	glial-cells	Medium	Enhanced
DSN1	cerebral-cortex	glial-cells	Low	Enhanced
SOGA1	cerebral-cortex	glial-cells	Low	Approved
LSM14B	cerebral-cortex	glial-cells	Low	Approved
PPP4C	cerebral-cortex	glial-cells	Low	Supported
HIRIP3	cerebral-cortex	glial-cells	Low	Approved
TAOK2	cerebral-cortex	glial-cells	Low	Approved
TMEM219	cerebral-cortex	glial-cells	Low	Approved
HMGA2	cerebral-cortex	glial-cells	Medium	Approved
CNTN5	cerebral-cortex	glial-cells	Low	Approved
MPP7	cerebral-cortex	glial-cells	Low	Enhanced
CWC15	cerebral-cortex	glial-cells	Medium	Supported
CDH8	cerebral-cortex	glial-cells	Low	Approved
LATS2	cerebral-cortex	glial-cells	Medium	Approved
SAP18	cerebral-cortex	glial-cells	Medium	Supported
CTAGE5	cerebral-cortex	glial-cells	Low	Approved
HNMT	cerebral-cortex	glial-cells	Medium	Approved
PDCD4	cerebral-cortex	glial-cells	Medium	Enhanced
CCDC102B	cerebral-cortex	glial-cells	Low	Approved
CNDP1	cerebral-cortex	glial-cells	Low	Enhanced
MTMR12	cerebral-cortex	glial-cells	Medium	Supported
CCT5	cerebral-cortex	glial-cells	Medium	Enhanced
DOCK1	cerebral-cortex	glial-cells	Low	Approved
DLAT	cerebral-cortex	glial-cells	Low	Supported
NKAPD1	cerebral-cortex	glial-cells	Low	Approved
IL18	cerebral-cortex	glial-cells	Low	Enhanced
PIP4K2A	cerebral-cortex	glial-cells	High	Supported
CRIM1	cerebral-cortex	glial-cells	Low	Enhanced
SEC24D	cerebral-cortex	glial-cells	Medium	Approved
ABCB9	cerebral-cortex	glial-cells	Medium	Approved
DHX37	cerebral-cortex	glial-cells	Low	Approved
UBC	cerebral-cortex	glial-cells	High	Supported
DCP1B	cerebral-cortex	glial-cells	High	Approved
THRB	cerebral-cortex	glial-cells	Low	Approved
NGLY1	cerebral-cortex	glial-cells	Low	Approved
OXSM	cerebral-cortex	glial-cells	High	Enhanced
UEVLD	cerebral-cortex	glial-cells	Medium	Approved
UBE3B	cerebral-cortex	glial-cells	Medium	Approved
PLBD2	cerebral-cortex	glial-cells	High	Approved
SLC2A13	cerebral-cortex	glial-cells	Low	Approved
DIP2C	cerebral-cortex	glial-cells	Low	Enhanced
EIF4E	cerebral-cortex	glial-cells	Medium	Supported
NPAS3	cerebral-cortex	glial-cells	Medium	Enhanced
TMEM18	cerebral-cortex	glial-cells	Low	Approved
NDUFC2	cerebral-cortex	glial-cells	Medium	Approved
NEK7	cerebral-cortex	glial-cells	Medium	Approved
FER	cerebral-cortex	glial-cells	Low	Approved
VIPAS39	cerebral-cortex	glial-cells	Low	Approved
SCLT1	cerebral-cortex	glial-cells	High	Approved
EPS8	cerebral-cortex	glial-cells	Medium	Approved
ACAD8	cerebral-cortex	glial-cells	Medium	Enhanced
THYN1	cerebral-cortex	glial-cells	High	Supported
QDPR	cerebral-cortex	glial-cells	Medium	Enhanced
MMAA	cerebral-cortex	glial-cells	Low	Approved
NR3C2	cerebral-cortex	glial-cells	Medium	Enhanced
DPYSL4	cerebral-cortex	glial-cells	Low	Approved
INPP1	cerebral-cortex	glial-cells	Low	Supported
MFSD6	cerebral-cortex	glial-cells	Low	Approved
RNF144A	cerebral-cortex	glial-cells	Low	Approved
ASAP2	cerebral-cortex	glial-cells	Medium	Approved
ADAM17	cerebral-cortex	glial-cells	Low	Approved
SLC25A4	cerebral-cortex	glial-cells	Low	Approved
BICD1	cerebral-cortex	glial-cells	Low	Approved
CCDC122	cerebral-cortex	glial-cells	Low	Approved
GUF1	cerebral-cortex	glial-cells	Low	Approved
CCL28	cerebral-cortex	glial-cells	Low	Supported
BAG3	cerebral-cortex	glial-cells	Medium	Enhanced
MGAT5	cerebral-cortex	glial-cells	Low	Approved
GPATCH11	cerebral-cortex	glial-cells	High	Enhanced
HSPB8	cerebral-cortex	glial-cells	Low	Approved
GEMIN6	cerebral-cortex	glial-cells	Low	Approved
RNF219	cerebral-cortex	glial-cells	Low	Enhanced
ARL14EP	cerebral-cortex	glial-cells	Low	Approved
ATP5F1A	cerebral-cortex	glial-cells	Medium	Enhanced
HAUS1	cerebral-cortex	glial-cells	Low	Supported
PDK1	cerebral-cortex	glial-cells	Low	Approved
TGOLN2	cerebral-cortex	glial-cells	High	Enhanced
POC5	cerebral-cortex	glial-cells	Medium	Approved
TADA1	cerebral-cortex	glial-cells	Low	Approved
HOMER1	cerebral-cortex	glial-cells	Low	Enhanced
XRCC4	cerebral-cortex	glial-cells	High	Supported
RPP38	cerebral-cortex	glial-cells	Low	Approved
NMT2	cerebral-cortex	glial-cells	Medium	Approved
CAMK4	cerebral-cortex	glial-cells	Low	Approved
PFKM	cerebral-cortex	glial-cells	Low	Approved
DMP1	cerebral-cortex	glial-cells	Low	Approved
MBNL1	cerebral-cortex	glial-cells	Low	Enhanced
NADK2	cerebral-cortex	glial-cells	Low	Enhanced
GJA1	cerebral-cortex	glial-cells	Low	Enhanced
GPR180	cerebral-cortex	glial-cells	Low	Approved
HNRNPDL	cerebral-cortex	glial-cells	High	Supported
UTRN	cerebral-cortex	glial-cells	Low	Enhanced
GRM1	cerebral-cortex	glial-cells	Low	Approved
CNTNAP4	cerebral-cortex	glial-cells	Low	Enhanced
PLOD2	cerebral-cortex	glial-cells	Low	Approved
ZIC1	cerebral-cortex	glial-cells	Medium	Supported
CWC27	cerebral-cortex	glial-cells	Low	Approved
SRP19	cerebral-cortex	glial-cells	Low	Approved
CDYL	cerebral-cortex	glial-cells	High	Enhanced
TXNDC11	cerebral-cortex	glial-cells	Medium	Supported
BCL2L11	cerebral-cortex	glial-cells	Low	Approved
ANAPC1	cerebral-cortex	glial-cells	Low	Approved
SCOC	cerebral-cortex	glial-cells	Low	Approved
CETN3	cerebral-cortex	glial-cells	High	Enhanced
SMARCA5	cerebral-cortex	glial-cells	Medium	Supported
RASSF3	cerebral-cortex	glial-cells	Medium	Supported
HNRNPU	cerebral-cortex	glial-cells	High	Supported
RANBP2	cerebral-cortex	glial-cells	Medium	Supported
FAM49B	cerebral-cortex	glial-cells	Low	Approved
LPCAT1	cerebral-cortex	glial-cells	Medium	Enhanced
ING1	cerebral-cortex	glial-cells	Medium	Approved
CNKSR3	cerebral-cortex	glial-cells	Low	Approved
GTF2E1	cerebral-cortex	glial-cells	Medium	Supported
CFDP1	cerebral-cortex	glial-cells	Low	Approved
JAZF1	cerebral-cortex	glial-cells	Low	Approved
KCNJ16	cerebral-cortex	glial-cells	Low	Approved
DDAH1	cerebral-cortex	glial-cells	Low	Enhanced
SREK1	cerebral-cortex	glial-cells	Medium	Enhanced
MSI2	cerebral-cortex	glial-cells	High	Approved
CACNA2D1	cerebral-cortex	glial-cells	Low	Enhanced
PPP2R5E	cerebral-cortex	glial-cells	Low	Approved
IMPACT	cerebral-cortex	glial-cells	Low	Approved
SDHAF4	cerebral-cortex	glial-cells	Medium	Supported
TBCEL	cerebral-cortex	glial-cells	Medium	Approved
NRGN	cerebral-cortex	glial-cells	Medium	Enhanced
TOMM70	cerebral-cortex	glial-cells	Low	Enhanced
