	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2
PIGS	PIGS	94005	23.8717	22.7011
PIGT	PIGT	51604	41.2295	38.8916
PIGU	PIGU	128869	23.8752	20.8339
PIGUP1	PIGUP1	100422342	1.20293	1.63262
PIGV	PIGV	55650	4.78825	4.06316
PIGX	PIGX	54965	13.8679	13.7266
PIGZ	PIGZ	80235	0.110263	0.235819
PIH1D1	PIH1D1	55011	61.1682	60.0697
PIK3AP1	PIK3AP1	118788	0.456073	1.08652
PIK3C2A	PIK3C2A	5286	8.80296	14.5972
PIK3C2B	PIK3C2B	5287	6.1748	7.18193
PIK3C3	PIK3C3	5289	36.8835	35.3721
PIK3CA	PIK3CA	5290	9.07782	15.3418
PIK3CB	PIK3CB	5291	1.89444	3.96416
PIK3CD	PIK3CD	5293	1.08744	2.16032
PIK3IP1	PIK3IP1	113791	1.4534	2.8143
PIK3R1	PIK3R1	5295	14.2392	19.3542
PIK3R3	PIK3R3	8503	17.475	26.408
PIK3R4	PIK3R4	30849	26.3806	13.8769
PIKFYVE	PIKFYVE	200576	6.23847	10.416
PILRA	PILRA	29992	1.36136	1.02087
PILRB	PILRB	29990	17.1952	19.7355
PIM1	PIM1	5292	5.57372	8.53039
PIM3	PIM3	415116	6.41689	7.65951
PIN1	PIN1	5300	96.715	59.8625
PIN4	PIN4	5303	35.4421	22.3732
PIN4P1	PIN4P1	728758	1.54722	0.618485
PINK1	PINK1	65018	34.6231	35.8448
PINK1-AS	PINK1-AS	100861548	2.77009	3.23092
PINLYP	PINLYP	390940	1.83107	1.28224
PINX1	PINX1	54984	11.0037	10.1278
PIP4K2A	PIP4K2A	5305	10.7402	12.9173
PIP4K2B	PIP4K2B	8396	27.567	32.26
PIP4K2C	PIP4K2C	79837	7.42153	10.6308
PIP5K1A	PIP5K1A	8394	37.9236	41.1579
PIP5K1B	PIP5K1B	8395	0.919968	2.58127
PIP5K1C	PIP5K1C	23396	9.41488	13.8894
PIP5KL1	PIP5KL1	138429	2.69524	1.20085
PIPOX	PIPOX	51268	1.83538	3.35096
PIPSL	PIPSL	266971	1.67076	1.40123
PIR	PIR	8544	27.9203	33.6297
PISD	PISD	23761	10.6581	15.0722
PITHD1	PITHD1	57095	35.252	35.2833
PITPNA	PITPNA	5306	17.2342	25.6448
PITPNA-AS1	PITPNA-AS1	100306951	35.6613	16.9424
PITPNB	PITPNB	23760	21.3856	38.6953
PITPNC1	PITPNC1	26207	5.08819	7.35132
PITPNM1	PITPNM1	9600	9.05172	16.8043
PITPNM2	PITPNM2	57605	0.786041	2.06838
PITPNM3	PITPNM3	83394	3.91052	2.16442
PITRM1	PITRM1	10531	33.2375	23.6288
PITRM1-AS1	PITRM1-AS1	100507034	0.446945	0.511433
PITX2	PITX2	5308	46.5919	7.92594
PITX3	PITX3	5309	25.5155	12.5698
PIWIL4	PIWIL4	143689	1.36174	0.515926
PJA1	PJA1	64219	42.5767	29.8341
PJA2	PJA2	9867	48.3573	51.0925
PKD1	PKD1	5310	23.6566	29.8855
PKD1P1	PKD1P1	339044	0.672679	0.910814
PKD1P5	PKD1P5	348156	3.71507	3.86969
PKD1P6	PKD1P6	353511	7.00659	9.83182
PKD2	PKD2	5311	15.3109	26.8363
PKDCC	PKDCC	91461	94.6216	105.546
PKDREJ	PKDREJ	10343	0.0741615	0.0983314
PKIA	PKIA	5569	86.2882	34.2258
PKIB	PKIB	5570	45.6449	49.9461
PKIG	PKIG	11142	39.3212	34.5489
PKM	PKM	5315	693.584	694.274
PKMP1	PKMP1	643586	0.827434	0.420734
PKMP3	PKMP3	100419758	2.70825	1.55681
PKMYT1	PKMYT1	9088	42.3063	26.4529
PKN1	PKN1	5585	33.7754	30.7141
PKN2	PKN2	5586	14.7836	19.9489
PKN3	PKN3	29941	7.95573	8.20047
PKNOX1	PKNOX1	5316	12.196	10.3386
PKNOX2	PKNOX2	63876	23.7252	27.1677
PKP2	PKP2	5318	2.04587	0.94741
PKP4	PKP4	8502	20.9106	22.126
PLA2G12A	PLA2G12A	81579	13.5194	8.15717
PLA2G12AP1	PLA2G12AP1	100420258	1.15085	1.36291
PLA2G15	PLA2G15	23659	8.77083	11.4545
PLA2G3	PLA2G3	50487	5.2931	7.71613
PLA2G4A	PLA2G4A	5321	0.865141	2.46825
PLA2G4B	PLA2G4B	100137049	3.61431	2.56256
PLA2G4C	PLA2G4C	8605	1.69615	0.826842
PLA2G6	PLA2G6	8398	7.64007	7.44077
PLA2G7	PLA2G7	7941	0.212683	0.16629
PLA2R1	PLA2R1	22925	0.436528	0.511416
PLAA	PLAA	9373	17.811	20.2384
PLAC8	PLAC8	51316	0.372525	0.242274
PLAC8L1	PLAC8L1	153770	1.09594	1.64279
PLAC9	PLAC9	219348	14.4867	14.8754
PLAG1	PLAG1	5324	8.63134	8.14835
PLAGL1	PLAGL1	5325	28.9513	31.6015
PLAGL2	PLAGL2	5326	8.82654	12.7846
PLAT	PLAT	5327	7.26958	22.4496
PLAU	PLAU	5328	15.9533	43.3312
PLAUR	PLAUR	5329	9.95245	20.4137
PLB1	PLB1	151056	0.315405	0.470102
PLBD1	PLBD1	79887	0.815773	1.02336
PLBD2	PLBD2	196463	4.01337	10.1586
PLCB1	PLCB1	23236	1.21134	1.96103
PLCB2	PLCB2	5330	0.789775	1.76825
PLCB3	PLCB3	5331	11.6084	16.8511
PLCB4	PLCB4	5332	11.4422	11.3099
PLCD1	PLCD1	5333	11.3351	10.7534
PLCD3	PLCD3	113026	5.66561	8.97269
PLCD4	PLCD4	84812	13.0771	8.53079
PLCE1	PLCE1	51196	8.06462	3.72154
PLCE1-AS1	PLCE1-AS1	100128054	0.234441	0.0881298
PLCG1	PLCG1	5335	52.8268	74.9577
PLCG2	PLCG2	5336	0.433835	0.208558
PLCH1	PLCH1	23007	0.366063	2.61993
PLCH2	PLCH2	9651	1.06119	0.168015
PLCL1	PLCL1	5334	1.39853	0.970134
PLCL2	PLCL2	23228	11.9101	5.54008
PLCXD1	PLCXD1	55344	19.9926	20.5465
PLCXD2	PLCXD2	257068	0.861145	1.01429
PLD1	PLD1	5337	6.44439	3.84139
PLD2	PLD2	5338	13.2385	16.0688
PLD3	PLD3	23646	353.17	226.872
PLD4	PLD4	122618	0.0623535	0.171684
PLD5	PLD5	200150	0.414109	0.610861
PLD6	PLD6	201164	0.88637	0.510108
PLEC	PLEC	5339	3.6923	3.76137
PLEKHA1	PLEKHA1	59338	13.7749	16.6108
PLEKHA2	PLEKHA2	59339	8.48367	4.78629
PLEKHA3	PLEKHA3	65977	3.18083	4.87017
PLEKHA4	PLEKHA4	57664	27.8161	14.4925
PLEKHA5	PLEKHA5	54477	10.5677	13.2056
PLEKHA6	PLEKHA6	22874	2.40878	3.54649
PLEKHA7	PLEKHA7	144100	2.8356	1.10444
PLEKHA8	PLEKHA8	84725	10.0276	15.5202
PLEKHA8P1	PLEKHA8P1	51054	2.001	6.96113
PLEKHB1	PLEKHB1	58473	1.44496	0.969164
PLEKHB2	PLEKHB2	55041	15.6109	26.0575
PLEKHD1	PLEKHD1	400224	1.22201	0.649046
PLEKHF1	PLEKHF1	79156	0.728809	1.57693
PLEKHF2	PLEKHF2	79666	7.56265	6.7718
PLEKHG1	PLEKHG1	57480	0.877248	2.61249
PLEKHG2	PLEKHG2	64857	24.7569	33.6614
PLEKHG3	PLEKHG3	26030	15.7442	15.363
PLEKHG4	PLEKHG4	25894	0.139929	0.610342
PLEKHG4B	PLEKHG4B	153478	1.77529	3.64258
PLEKHG5	PLEKHG5	57449	6.67436	7.4337
PLEKHG6	PLEKHG6	55200	0.776221	0.526286
PLEKHH1	PLEKHH1	57475	2.24487	3.65456
PLEKHH2	PLEKHH2	130271	1.4613	1.22995
PLEKHH3	PLEKHH3	79990	13.145	9.88283
PLEKHJ1	PLEKHJ1	55111	93.9912	64.4466
PLEKHM1	PLEKHM1	9842	2.42087	2.86657
PLEKHM2	PLEKHM2	23207	20.562	21.1087
PLEKHM3	PLEKHM3	389072	0.453904	1.46315
PLEKHO1	PLEKHO1	51177	0.846609	0.947117
PLEKHO2	PLEKHO2	80301	6.03542	6.87183
PLGLB1	PLGLB1	5343	2.61986	0.808373
PLGLB2	PLGLB2	5342	0.169801	1.27727
PLGRKT	PLGRKT	55848	32.0245	12.3205
PLIN2	PLIN2	123	13.2772	23.119
PLIN3	PLIN3	10226	53.2226	45.1152
PLIN4	PLIN4	729359	0.225115	0.266914
PLIN5	PLIN5	440503	0.601452	0.287392
PLK1	PLK1	5347	46.6667	49.046
PLK2	PLK2	10769	32.8239	89.3275
PLK3	PLK3	1263	15.39	14.3768
PLK4	PLK4	10733	22.2531	26.0635
PLLP	PLLP	51090	0.166231	0.617694
PLOD1	PLOD1	5351	53.3647	89.9335
PLOD2	PLOD2	5352	10.9832	23.5704
PLOD3	PLOD3	8985	22.8227	41.3967
PLP1	PLP1	5354	10.5314	14.9824
PLP2	PLP2	5355	3.89746	0.290896
PLRG1	PLRG1	5356	37.1396	42.6286
PLS1	PLS1	5357	0.314765	0.859902
PLS3	PLS3	5358	11.0042	7.78396
PLSCR1	PLSCR1	5359	9.2569	15.5387
PLSCR4	PLSCR4	57088	1.41119	1.86315
PLTP	PLTP	5360	14.6851	27.4347
PLXDC1	PLXDC1	57125	10.7139	9.89687
PLXDC2	PLXDC2	84898	5.22952	4.63082
PLXNA1	PLXNA1	5361	21.1386	19.9061
PLXNA2	PLXNA2	5362	15.3151	9.62426
PLXNA3	PLXNA3	55558	1.31703	1.66986
PLXNA4	PLXNA4	91584	0.309576	0.368229
PLXNB1	PLXNB1	5364	12.2405	20.8184
PLXNB2	PLXNB2	23654	68.7101	67.9284
PLXNB3	PLXNB3	5365	0	1.11769
PLXNC1	PLXNC1	10154	5.63282	5.85956
PLXND1	PLXND1	23129	50.728	83.1925
PM20D2	PM20D2	135293	6.78864	6.00457
PMAIP1	PMAIP1	5366	21.0559	24.0734
PMCH	PMCH	5367	0.124892	0.183212
PMEL	PMEL	6490	1.94658	3.39091
PMEPA1	PMEPA1	56937	9.27955	10.7472
PMF1	PMF1	11243	68.2771	51.2189
PMF1-BGLAP	PMF1-BGLAP	100527963	7.63849	6.18703
PMFBP1	PMFBP1	83449	2.35202	1.7607
PML	PML	5371	8.68351	11.0993
PMM1	PMM1	5372	27.5022	19.7822
PMM2	PMM2	5373	10.8661	14.8415
PMP22	PMP22	5376	22.0542	23.472
PMPCA	PMPCA	23203	37.8885	30.7254
PMPCB	PMPCB	9512	50.2174	46.58
PMS1	PMS1	5378	24.0852	17.5193
PMS2	PMS2	5395	4.04155	4.84746
PMS2CL	PMS2CL	441194	5.9234	5.32048
PMS2P1	PMS2P1	5379	8.05364	2.25311
PMS2P3	PMS2P3	5387	0.430698	0.424207
PMS2P4	PMS2P4	5382	1.54114	3.19669
PMS2P5	PMS2P5	5383	0	0.0457076
PMVK	PMVK	10654	36.0301	30.4633
PNCK	PNCK	139728	0	0
PNISR	PNISR	25957	126.575	93.3058
PNKD	PNKD	25953	57.4679	33.0516
PNKP	PNKP	11284	21.0621	19.7787
PNMA1	PNMA1	9240	56.8921	45.6506
PNMA2	PNMA2	10687	3.53175	5.16373
PNMT	PNMT	5409	1.40042	1.0891
PNN	PNN	5411	91.6571	79.592
PNO1	PNO1	56902	16.4196	8.67794
PNP	PNP	4860	4.92556	16.2398
PNPLA2	PNPLA2	57104	17.82	14.6525
PNPLA3	PNPLA3	80339	6.04783	7.63142
PNPLA4	PNPLA4	8228	7.34331	5.74144
PNPLA6	PNPLA6	10908	17.8352	25.9734
PNPLA7	PNPLA7	375775	0.85894	0.542603
PNPLA8	PNPLA8	50640	12.2234	13.8651
PNPO	PNPO	55163	1.29493	3.16445
PNPT1	PNPT1	87178	9.65436	10.1339
PNPT1P1	PNPT1P1	100288506	0.312067	0.0609481
PNRC1	PNRC1	10957	41.0916	38.4801
POC1A	POC1A	25886	11.5686	11.7325
POC1B	POC1B	282809	5.9481	8.68361
POC1B-GALNT4	POC1B-GALNT4	100528030	1.0686	0.71976
POC5	POC5	134359	5.48426	6.62083
PODN	PODN	127435	2.8613	2.7305
PODNL1	PODNL1	79883	1.13106	0.947628
PODXL	PODXL	5420	3.58106	4.50225
PODXL2	PODXL2	50512	12.6498	12.6088
POFUT1	POFUT1	23509	15.8123	22.9446
POFUT2	POFUT2	23275	22.3198	20.3854
POGK	POGK	57645	10.9452	18.7389
POGLUT1	POGLUT1	56983	8.14101	11.9108
POGZ	POGZ	23126	32.5555	40.4392
POLA1	POLA1	5422	10.5779	11.5133
POLA2	POLA2	23649	34.0835	27.9506
POLB	POLB	5423	35.197	26.6479
POLD1	POLD1	5424	32.6827	24.7372
POLD2	POLD2	5425	96.0265	67.0569
POLD3	POLD3	10714	17.8964	25.2027
POLD4	POLD4	57804	29.9411	21.5069
POLDIP3	POLDIP3	84271	38.1645	40.4292
POLE	POLE	5426	32.849	32.0695
POLE2	POLE2	5427	14.649	14.6128
POLE3	POLE3	54107	47.1907	42.8313
POLE4	POLE4	56655	42.5553	33.4139
POLG	POLG	5428	25.6752	25.6992
POLG2	POLG2	11232	1.24446	0.314062
POLH	POLH	5429	4.80988	13.7939
POLI	POLI	11201	11.3316	12.4028
POLK	POLK	51426	6.01014	7.97222
POLL	POLL	27343	13.8141	12.2601
POLM	POLM	27434	6.39643	6.86123
POLN	POLN	353497	1.45057	1.67549
POLQ	POLQ	10721	4.38985	7.23499
POLR1A	POLR1A	25885	6.2265	8.09788
POLR1B	POLR1B	84172	6.0285	10.0028
POLR1C	POLR1C	9533	19.5229	23.4164
POLR1D	POLR1D	51082	132.947	72.8673
POLR1E	POLR1E	64425	19.9391	16.6922
POLR2A	POLR2A	5430	34.1096	52.3966
POLR2B	POLR2B	5431	65.0174	69.3265
POLR2C	POLR2C	5432	44.8038	42.4832
POLR2D	POLR2D	5433	21.9452	24.1782
POLR2E	POLR2E	5434	89.2927	68.1395
POLR2F	POLR2F	5435	106.699	72.9534
POLR2G	POLR2G	5436	123.62	97.327
POLR2H	POLR2H	5437	68.1963	59.5192
POLR2I	POLR2I	5438	42.6128	27.1992
POLR2J	POLR2J	5439	44.178	29.4857
POLR2J3	POLR2J3	548644	23.698	9.94227
POLR2K	POLR2K	5440	59.4119	38.2096
POLR2L	POLR2L	5441	187.481	107.428
POLR2M	POLR2M	81488	28.0011	29.1555
POLR3A	POLR3A	11128	7.33312	8.36315
POLR3B	POLR3B	55703	6.34318	5.50156
POLR3C	POLR3C	10623	2.67854	1.21328
POLR3D	POLR3D	661	19.4092	19.415
POLR3E	POLR3E	55718	21.2371	17.7168
POLR3F	POLR3F	10621	11.5913	9.06198
POLR3G	POLR3G	10622	3.87965	2.7311
POLR3GL	POLR3GL	84265	0.660327	0.275288
POLR3H	POLR3H	171568	16.8834	15.2725
POLR3K	POLR3K	51728	19.1805	16.5561
POLRMT	POLRMT	5442	12.3643	11.6562
POLRMTP1	POLRMTP1	284167	0.381847	0.447064
POM121	POM121	9883	0.20727	1.14742
POM121B	POM121B	100288540	0.134578	0.093937
POM121C	POM121C	100101267	1.52035	0.501809
POMGNT1	POMGNT1	55624	35.2853	26.1464
POMGNT2	POMGNT2	84892	14.9694	11.7938
POMK	POMK	84197	0.626268	1.41713
POMP	POMP	51371	111.515	93.5742
POMT1	POMT1	10585	22.9612	18.1532
POMT2	POMT2	29954	16.6535	18.8782
POMZP3	POMZP3	22932	8.0279	3.38344
PON2	PON2	5445	68.7898	71.7463
POP1	POP1	10940	4.90208	6.88879
POP4	POP4	10775	55.1955	41.7784
POP5	POP5	51367	44.2121	30.4634
POP7	POP7	10248	38.914	36.7637
POPDC2	POPDC2	64091	0.956866	0.554508
POPDC3	POPDC3	64208	11.3506	7.52075
POR	POR	5447	1.81924	5.20986
POSTN	POSTN	10631	147.469	197.119
POT1	POT1	25913	9.427	12.1519
POT1-AS1	POT1-AS1	401398	0.498403	0.14169
POU2F1	POU2F1	5451	3.96536	4.80262
POU2F2	POU2F2	5452	3.20485	6.28849
POU2F3	POU2F3	25833	0.273229	0.501628
POU3F1	POU3F1	5453	1.65631	2.96508
POU3F2	POU3F2	5454	4.2532	13.61
POU3F3	POU3F3	5455	10.4562	15.0398
POU3F4	POU3F4	5456	0.0418715	1.24475
POU4F1	POU4F1	5457	8.60605	1.7432
POU4F2	POU4F2	5458	0.0374511	0.0146194
POU5F1P3	POU5F1P3	642559	0.185802	0.48537
POU5F1P6	POU5F1P6	100009668	0.412105	0
POU6F1	POU6F1	5463	3.49692	4.87584
POU6F2	POU6F2	11281	0.272342	0.255595
PP2D1	PP2D1	151649	0.0281728	0.111891
PPA1	PPA1	5464	78.8432	72.3704
PPA2	PPA2	27068	56.3346	44.2429
PPAN	PPAN	56342	26.1293	21.8295
PPARA	PPARA	5465	1.69069	3.22857
PPARD	PPARD	5467	9.51644	12.1208
PPARG	PPARG	5468	0.118065	0.0563304
PPARGC1A	PPARGC1A	10891	1.67208	0.47646
PPARGC1B	PPARGC1B	133522	1.61766	2.3733
PPAT	PPAT	5471	9.90648	13.8259
PPATP1	PPATP1	100289640	0.040644	0.158964
PPCDC	PPCDC	60490	7.21341	6.69123
PPCS	PPCS	79717	28.3355	25.0077
PPDPF	PPDPF	79144	129.899	107.574
PPEF1	PPEF1	5475	0.14366	0.854797
PPFIA1	PPFIA1	8500	17.2869	22.2616
PPFIA2	PPFIA2	8499	0.977343	1.28216
PPFIA3	PPFIA3	8541	12.941	12.1571
PPFIA4	PPFIA4	8497	35.8523	10.7168
PPFIBP1	PPFIBP1	8496	21.1636	28.8072
PPFIBP2	PPFIBP2	8495	10.4906	10.881
PPHLN1	PPHLN1	51535	34.69	28.8213
PPIA	PPIA	5478	2492.88	1861.2
PPIAL4A	PPIAL4A	653505	0.736472	0.723383
PPIAP11	PPIAP11	5483	4.99642	2.1206
PPIAP16	PPIAP16	5488	1.0916	0.720948
PPIAP19	PPIAP19	390006	17.5436	0.283668
PPIAP2	PPIAP2	170537	0	0.141864
PPIAP22	PPIAP22	653214	251.509	171.518
PPIAP29	PPIAP29	134997	35.0167	6.79441
PPIAP3	PPIAP3	170539	0.515537	0.136052
PPIAP30	PPIAP30	100192204	0.4942	0.260669
PPIAP31	PPIAP31	439953	24.4687	12.5007
PPIAP6	PPIAP6	319128	1.92592	3.88252
PPIB	PPIB	5479	475.719	474.527
PPIC	PPIC	5480	12.1339	12.2781
PPID	PPID	5481	36.2136	29.4012
PPIE	PPIE	10450	35.9731	30.238
PPIEL	PPIEL	728448	0.20525	0.345501
PPIF	PPIF	10105	36.2846	36.2049
PPIG	PPIG	9360	86.2718	47.979
PPIH	PPIH	10465	55.3159	35.7854
PPIL1	PPIL1	51645	60.5901	54.2564
PPIL2	PPIL2	23759	17.9629	19.8578
PPIL3	PPIL3	53938	44.0683	35.0832
PPIL4	PPIL4	85313	21.6519	21.4776
PPIL6	PPIL6	285755	1.13809	0.530469
PPIP5K1	PPIP5K1	9677	0.813896	1.74561
PPIP5K2	PPIP5K2	23262	1.63995	1.95422
PPL	PPL	5493	0.731992	0.95096
PPM1A	PPM1A	5494	23.786	23.9802
PPM1AP1	PPM1AP1	137012	0.0582268	0.456172
PPM1B	PPM1B	5495	23.0081	23.5197
PPM1D	PPM1D	8493	11.374	23.2423
PPM1E	PPM1E	22843	0.533705	1.66685
PPM1F	PPM1F	9647	24.7871	18.5377
PPM1G	PPM1G	5496	66.7235	81.3846
PPM1H	PPM1H	57460	0.781871	0.701037
PPM1J	PPM1J	333926	1.02834	1.21827
PPM1K	PPM1K	152926	6.00516	6.20493
PPM1L	PPM1L	151742	3.40912	2.38921
PPM1M	PPM1M	132160	10.561	9.59252
PPM1N	PPM1N	147699	2.03253	2.00151
PPME1	PPME1	51400	59.8525	32.6347
PPOX	PPOX	5498	16.6105	15.2988
PPP1CA	PPP1CA	5499	128.746	120.34
PPP1CB	PPP1CB	5500	78.7401	92.2636
PPP1CC	PPP1CC	5501	126.323	126.181
PPP1R11	PPP1R11	6992	0.129825	0.135434
PPP1R12A	PPP1R12A	4659	38.7784	31.3198
PPP1R12B	PPP1R12B	4660	5.11349	3.66972
PPP1R12C	PPP1R12C	54776	38.9452	44.145
PPP1R13B	PPP1R13B	23368	2.35437	3.94774
PPP1R13L	PPP1R13L	10848	4.76116	3.20608
PPP1R14A	PPP1R14A	94274	3.35874	4.77084
PPP1R14B	PPP1R14B	26472	308.829	119.717
PPP1R14BP2	PPP1R14BP2	729406	2.11492	0
PPP1R14BP3	PPP1R14BP3	100507617	89.336	57.9586
PPP1R14C	PPP1R14C	81706	1.29526	1.07808
PPP1R15A	PPP1R15A	23645	26.4668	22.7316
PPP1R15B	PPP1R15B	84919	12.8949	15.9699
PPP1R16A	PPP1R16A	84988	11.4263	11.8729
PPP1R16B	PPP1R16B	26051	0.0748911	0.256724
PPP1R17	PPP1R17	10842	0.505241	1.24224
PPP1R1A	PPP1R1A	5502	0.385979	0.249545
PPP1R1B	PPP1R1B	84152	2.10718	0.0628686
PPP1R1C	PPP1R1C	151242	0.353896	0.497095
PPP1R2	PPP1R2	5504	20.4812	16.6041
PPP1R21	PPP1R21	129285	12.4491	8.21466
PPP1R26	PPP1R26	9858	4.1642	4.61513
PPP1R26-AS1	PPP1R26-AS1	100506599	1.17632	1.93969
PPP1R27	PPP1R27	116729	0.254562	0.413139
PPP1R32	PPP1R32	220004	2.41276	2.07012
PPP1R35	PPP1R35	221908	32.8241	11.7268
PPP1R36	PPP1R36	145376	0.409871	0.364771
PPP1R37	PPP1R37	284352	12.8449	12.726
PPP1R3B	PPP1R3B	79660	5.4881	4.99914
PPP1R3C	PPP1R3C	5507	4.4763	2.58983
PPP1R3D	PPP1R3D	5509	2.87728	2.78775
PPP1R3E	PPP1R3E	90673	8.39272	6.14782
PPP1R3G	PPP1R3G	648791	0.428385	0.865284
PPP1R42	PPP1R42	286187	0.506506	0.383051
PPP1R7	PPP1R7	5510	67.7111	44.9136
PPP1R8	PPP1R8	5511	34.2568	37.925
PPP1R8P1	PPP1R8P1	5512	0.0643798	0.0504638
PPP1R9A	PPP1R9A	55607	4.28326	5.46625
PPP1R9B	PPP1R9B	84687	23.182	29.615
PPP2CA	PPP2CA	5515	66.8423	92.5611
PPP2CB	PPP2CB	5516	63.5195	62.7847
PPP2R1A	PPP2R1A	5518	146.519	104.9
PPP2R1B	PPP2R1B	5519	5.51462	8.14514
PPP2R2A	PPP2R2A	5520	30.2344	40.2272
PPP2R2B	PPP2R2B	5521	0.240419	0.546906
PPP2R2C	PPP2R2C	5522	0.141119	0.0210049
PPP2R2D	PPP2R2D	55844	1.02088	0.416251
PPP2R3A	PPP2R3A	5523	5.55611	5.96363
PPP2R3B	PPP2R3B	28227	58.8874	33.4205
PPP2R3C	PPP2R3C	55012	35.6888	27.3892
PPP2R5A	PPP2R5A	5525	5.24313	5.31537
PPP2R5B	PPP2R5B	5526	4.95014	7.82836
PPP2R5C	PPP2R5C	5527	61.1331	53.9362
PPP2R5D	PPP2R5D	5528	31.6278	36.9163
PPP2R5E	PPP2R5E	5529	11.7077	13.9192
PPP3CA	PPP3CA	5530	25.6051	15.938
PPP3CB	PPP3CB	5532	58.5587	42.8952
PPP3CC	PPP3CC	5533	6.2072	6.73691
PPP3R1	PPP3R1	5534	36.4139	33.6841
PPP4C	PPP4C	5531	110.422	84.8521
PPP4R1	PPP4R1	9989	41.6868	52.3605
PPP4R1L	PPP4R1L	55370	1.41892	3.16139
PPP4R2	PPP4R2	151987	33.1127	39.1459
PPP4R4	PPP4R4	57718	0.225703	0.176154
PPP5C	PPP5C	5536	53.9469	55.5468
PPP5D1	PPP5D1	100506012	1.63022	0.680291
PPP6C	PPP6C	5537	30.9499	32.937
PPP6R1	PPP6R1	22870	18.6847	20.7645
PPP6R2	PPP6R2	9701	30.5218	28.2732
PPP6R3	PPP6R3	55291	30.9146	38.2331
PPRC1	PPRC1	23082	16.3957	18.1169
PPT1	PPT1	5538	42.5707	45.8069
PPT2	PPT2	9374	0.102801	0
PPTC7	PPTC7	160760	4.05335	4.98331
PPWD1	PPWD1	23398	32.9744	32.644
PQBP1	PQBP1	10084	1.44291	2.26358
PRADC1	PRADC1	84279	39.8257	19.351
PRADC1P1	PRADC1P1	645571	0	0.896108
PRAF2	PRAF2	11230	6.44265	7.88037
PRAM1	PRAM1	84106	0.180516	0.166758
PRAP1	PRAP1	118471	0.357829	0.0551656
PRC1	PRC1	9055	96.9927	76.7399
PRC1-AS1	PRC1-AS1	100507118	0.0457939	0.0709465
PRCC	PRCC	5546	50.4324	45.2049
PRCD	PRCD	768206	0.517035	1.0724
PRCP	PRCP	5547	24.369	30.7733
PRDM1	PRDM1	639	0.148425	0.252479
PRDM10	PRDM10	56980	4.2383	5.50091
PRDM11	PRDM11	56981	1.72885	3.2647
PRDM12	PRDM12	59335	0.120899	0.0566603
PRDM15	PRDM15	63977	2.41424	3.85466
PRDM16	PRDM16	63976	1.56353	0.757439
PRDM2	PRDM2	7799	22.8502	17.6911
PRDM4	PRDM4	11108	10.7822	15.657
PRDM5	PRDM5	11107	2.26496	3.13825
PRDM6	PRDM6	93166	0.213649	0.358788
PRDM8	PRDM8	56978	18.6889	1.71109
PRDX1	PRDX1	5052	372.339	431.379
PRDX2	PRDX2	7001	151.898	131.418
PRDX2P3	PRDX2P3	100418943	0	0.216936
PRDX3	PRDX3	10935	140.15	108.692
PRDX3P1	PRDX3P1	100419031	0.477744	0.525726
PRDX3P2	PRDX3P2	100128092	0.517755	0.408217
PRDX4	PRDX4	10549	87.527	87.423
PRDX5	PRDX5	25824	270.912	196.259
PRDX6	PRDX6	9588	991.902	257.796
PREB	PREB	10113	32.3451	36.3778
PRELID1	PRELID1	27166	110.096	88.5014
PRELID1P1	PRELID1P1	728666	2.29912	0.604084
PRELID1P4	PRELID1P4	390572	0	0
PRELID2	PRELID2	153768	0.867874	0.897073
PRELP	PRELP	5549	0.498289	1.34499
PREP	PREP	5550	21.6508	26.6057
PREPL	PREPL	9581	32.3484	25.8166
PREX1	PREX1	57580	7.14659	11.3068
PREX2	PREX2	80243	0.556245	1.64321
PRG4	PRG4	10216	3.47364	16.4162
PRICKLE1	PRICKLE1	144165	17.8139	11.819
PRICKLE2	PRICKLE2	166336	4.15436	3.38901
PRICKLE4	PRICKLE4	29964	8.95623	9.46951
PRIM1	PRIM1	5557	19.4681	18.3168
PRIM2	PRIM2	5558	7.34513	8.77962
PRIMA1	PRIMA1	145270	0.0319875	0.0499388
PRIMPOL	PRIMPOL	201973	25.285	15.2978
PRKAA1	PRKAA1	5562	12.2723	26.269
PRKAA2	PRKAA2	5563	0.641402	0.764456
PRKAB1	PRKAB1	5564	17.2468	17.7542
PRKAB2	PRKAB2	5565	0.667426	1.39909
PRKACA	PRKACA	5566	52.736	49.289
PRKACB	PRKACB	5567	12.0395	16.0668
PRKAG1	PRKAG1	5571	49.1897	39.5315
PRKAG2	PRKAG2	51422	8.97215	7.43736
PRKAG2-AS1	PRKAG2-AS1	100505483	0.699255	0.390116
PRKAR1A	PRKAR1A	5573	110.661	112.998
PRKAR1B	PRKAR1B	5575	13.2291	8.14047
PRKAR2A	PRKAR2A	5576	15.1201	18.8189
PRKAR2A-AS1	PRKAR2A-AS1	100506637	0.390007	0.508404
PRKAR2B	PRKAR2B	5577	2.52271	2.81872
PRKCA	PRKCA	5578	5.43416	5.96199
PRKCB	PRKCB	5579	0.242143	0.238786
PRKCE	PRKCE	5581	1.8022	3.34638
PRKCG	PRKCG	5582	0.263135	0.146742
PRKCH	PRKCH	5583	1.65427	2.35795
PRKCI	PRKCI	5584	12.1284	14.8551
PRKCQ	PRKCQ	5588	2.44885	2.42802
